DateTime,Entries,UniqueIPs
1472416202,13678,13678
1472437802,13682,13682
1472459402,13697,13697
1472481002,13709,13709
1472502602,12763,12763
1472524202,12782,12782
1472545802,12798,12798
1472567402,12810,12810
1472589002,12015,12015
1472610602,12023,12023
1472632202,12145,12145
1472653803,12154,12154
1472675402,11602,11602
1472697002,11617,11617
1472718605,11631,11631
1472740203,11643,11643
1472761802,11098,11098
1472783402,11113,11113
1472805003,11133,11133
1472826602,11151,11151
1472848202,11023,11023
1472869803,11177,11177
1472891402,11420,11420
1472913003,11577,11577
1472934603,11160,11160
1472956203,11231,11231
1472977802,11297,11297
1472999403,11361,11361
1473021002,10947,10947
1473042602,10991,10991
1473064202,11059,11059
1473085802,11104,11104
1473107402,10763,10763
1473129002,10816,10816
1473150602,10882,10882
1473172202,10940,10940
1473193802,10576,10576
1473215402,10640,10640
1473237003,10698,10698
1473258602,10755,10755
1473280202,10439,10439
1473301802,10485,10485
1473323403,10619,10619
1473345005,10681,10681
1473366603,10359,10359
1473388202,10419,10419
1473409802,10475,10475
1473431403,10524,10524
1473453002,10263,10263
1473474602,10303,10303
1473496202,10352,10352
1473517802,10404,10404
1473539402,10388,10388
1473561002,10438,10438
1473582602,10479,10479
1473604202,10512,10512
1473625803,10478,10478
1473647402,10517,10517
1473669002,10547,10547
1473690602,10595,10595
1473712204,10555,10555
1473733802,10592,10592
1473755402,10624,10624
1473777002,10665,10665
1473798602,10647,10647
1473820203,10675,10675
1473841802,10844,10844
1473863402,10887,10887
1473885002,10840,10840
1473906602,10869,10869
1473928202,10900,10900
1473949803,10931,10931
1473971402,10875,10875
1473993004,10888,10888
1474014603,10928,10928
1474036202,10968,10968
1474057803,10475,10475
1474079403,10519,10519
1474101003,10703,10703
1474122603,10753,10753
1474144202,10756,10756
1474165802,10902,10902
1474187402,10965,10965
1474209002,11019,11019
1474230602,11017,11017
1474252202,11077,11077
1474273804,11108,11108
1474295402,11183,11183
1474317004,11242,11242
1474338602,11311,11311
1474360204,11368,11368
1474381803,11426,11426
1474403403,11441,11441
1474425003,11517,11517
1474446603,11565,11565
1474468203,11614,11614
1474489802,11606,11606
1474511403,11648,11648
1474533003,11695,11695
1474554603,11756,11756
1474576202,11212,11212
1474597803,11261,11261
1474619402,11312,11312
1474641003,11384,11384
1474662602,11408,11408
1474684202,11486,11486
1474705802,11542,11542
1474727403,11605,11605
1474749003,11500,11500
1474770602,11567,11567
1474792205,11637,11637
1474813802,11726,11726
1474835402,11759,11759
1474857005,11826,11826
1474878602,11878,11878
1474900202,11954,11954
1474921803,11969,11969
1474943402,12022,12022
1474965002,12090,12090
1474986602,12155,12155
1475008202,12162,12162
1475029803,12235,12235
1475051403,12288,12288
1475073003,12357,12357
1475094602,11733,11733
1475116203,11801,11801
1475137802,12113,12113
1475159402,12262,12262
1475181002,11759,11759
1475202603,11855,11855
1475224202,12002,12002
1475245802,12222,12222
1475267403,12298,12298
1475289002,12428,12428
1475310603,12530,12530
1475332202,12681,12681
1475353802,12595,12595
1475375402,12708,12708
1475397003,12839,12839
1475418602,12949,12949
1475440206,12870,12870
1475461802,12995,12995
