DateTime,AddedIPs,RemovedIPs
1477022788,1,0
1477066004,0,1
1477091194,1,0
1477112801,0,1
1477116395,1,1
1477137990,1,0
1477152393,0,1
1477202769,1,0
1477217168,0,1
1477224380,1,0
1477238779,0,1
1477249443,0,1
1477260377,1,0
1477278368,1,0
1477292787,0,1
1477296232,0,1
1477303581,1,0
1477307196,1,0
1477346780,0,1
1477357584,1,1
1477393589,1,0
1477422399,0,1
1477458376,1,0
1477472771,0,1
1477476384,1,0
1477505049,0,2
1477508781,1,0
1477523042,0,1
1477526793,2,0
1477541175,0,1
1477548236,0,1
1477559166,1,0
1477584383,1,0
1477587981,0,1
1477598775,1,1
1477602390,1,0
1477616791,0,1
1477623851,0,1
1477634780,2,0
1477649186,0,1
1477685052,0,1
1477695962,1,0
1477721050,0,1
1477728400,1,0
1477739195,1,0
1477746383,0,1
1477749992,1,0
1477753584,0,1
1477760789,1,0
1477778789,0,1
1477861439,0,1
1477865184,1,0
1477872379,1,0
1477886789,0,1
1477901184,1,0
1477922777,0,1
1477951583,1,0
1477966047,0,1
1477973745,1,0
1477987777,0,1
1477998649,1,0
1478012944,0,1
1478045287,1,0
1478059905,0,1
1478071388,1,0
1478085332,0,1
1478092783,1,0
1478113669,0,1
1478135176,1,0
1478149570,0,1
1478181987,1,0
1478185582,0,1
1478196253,0,1
1478307975,1,0
1478329448,0,1
1478336779,1,0
1478361842,0,1
1478369177,1,0
1478383446,0,1
1478390779,1,0
1478405042,0,1
1478430388,1,0
1478444644,0,1
1478448392,1,0
1478473436,0,1
1478498797,1,0
1478520243,0,1
1478592417,1,0
1478606663,0,1
1478646415,1,0
1478660659,0,1
1478667992,1,0
1478693055,0,1
1478729197,1,0
1478743452,0,1
1478765190,1,0
1478793853,0,1
1478811985,1,0
1478826250,0,1
1483956699,1,0
1484348650,0,1
1486537615,15,0
1486541223,6,0
1486544800,14,0
1486548407,14,0
1486552015,4,2
1486555602,2,1
1486559207,7,4
1486562812,2,3
1486566421,9,3
1486570004,3,2
1486573606,3,5
1486577216,4,4
1486580822,8,4
1486584408,1,1
1486588013,1,4
1486591616,4,6
1486595210,6,4
1486598804,12,5
1486602408,4,2
1486606016,6,4
1486609608,3,3
1486613207,3,8
1486616810,4,4
1486620413,5,2
1486624024,2,7
1486627646,2,2
1486631224,8,6
1486634799,5,2
1486638413,7,1
1486642001,4,0
1486645842,0,3
1486649333,5,0
1486652855,2,3
1486656423,2,12
1486660039,8,10
1486663623,4,7
1486667321,11,1
1486671067,1,0
1486674538,2,5
1486678071,6,1
1486681623,4,16
1486685274,2,5
1486688805,6,6
1486692412,2,6
1486696009,8,2
1486699604,4,1
1486703200,2,5
1486706808,3,0
1486710409,3,2
1486713999,3,6
1486717612,2,4
1486721199,5,4
1486724807,4,6
1486728398,6,1
1486732009,5,5
1486735598,7,6
1486739207,1,2
1486742813,1,3
1486746410,4,3
1486750010,5,7
1486753603,2,5
1486757202,3,5
1486760802,9,5
1486764404,4,5
1486768002,4,2
1486771599,8,3
1486775220,2,6
1486778804,6,0
1486782426,2,1
1486786007,6,4
1486789610,4,3
1486793214,1,1
1486796831,3,5
1486800401,2,12
1486804006,4,4
1486807626,5,1
1486811212,4,6
1486814805,6,1
1486818400,8,4
1486822007,4,1
1486825623,5,2
