DateTime,Entries,UniqueIPs
1477137990,2,2
1477152393,1,1
1477202769,2,2
1477217168,1,1
1477224380,2,2
1477238779,1,1
1477249443,0,0
1477260377,1,1
1477278368,2,2
1477292787,1,1
1477296232,0,0
1477303581,1,1
1477307196,2,2
1477346780,1,1
1477357584,1,1
1477393589,2,2
1477422399,1,1
1477458376,2,2
1477472771,1,1
1477476384,2,2
1477505049,0,0
1477508781,1,1
1477523042,0,0
1477526793,2,2
1477541175,1,1
1477548236,0,0
1477559166,1,1
1477584383,2,2
1477587981,1,1
1477598775,1,1
1477602390,2,2
1477616791,1,1
1477623851,0,0
1477634780,2,2
1477649186,1,1
1477685052,0,0
1477695962,1,1
1477721050,0,0
1477728400,1,1
1477739195,2,2
1477746383,1,1
1477749992,2,2
1477753584,1,1
1477760789,2,2
1477778789,1,1
1477861439,0,0
1477865184,1,1
1477872379,2,2
1477886789,1,1
1477901184,2,2
1477922777,1,1
1477951583,2,2
1477966047,1,1
1477973745,2,2
1477987777,1,1
1477998649,2,2
1478012944,1,1
1478045287,2,2
1478059905,1,1
1478071388,2,2
1478085332,1,1
1478092783,2,2
1478113669,1,1
1478135176,2,2
1478149570,1,1
1478181987,2,2
1478185582,1,1
1478196253,0,0
1478307975,1,1
1478329448,0,0
1478336779,1,1
1478361842,0,0
1478369177,1,1
1478383446,0,0
1478390779,1,1
1478405042,0,0
1478430388,1,1
1478444644,0,0
1478448392,1,1
1478473436,0,0
1478498797,1,1
1478520243,0,0
1478592417,1,1
1478606663,0,0
1478646415,1,1
1478660659,0,0
1478667992,1,1
1478693055,0,0
1478729197,1,1
1478743452,0,0
1478765190,1,1
1478793853,0,0
1478811985,1,1
1478826250,0,0
1483956699,1,1
1484348650,0,0
1486537615,15,15
1486541223,21,21
1486544800,35,35
1486548407,49,49
1486552015,51,51
1486555602,52,52
1486559207,55,55
1486562812,54,54
1486566421,60,60
1486570004,61,61
1486573606,59,59
1486577216,59,59
1486580822,63,63
1486584408,63,63
1486588013,60,60
1486591616,58,58
1486595210,60,60
1486598804,67,67
1486602408,69,69
1486606016,71,71
1486609608,71,71
1486613207,66,66
1486616810,66,66
1486620413,69,69
1486624024,64,64
1486627646,64,64
1486631224,66,66
1486634799,69,69
1486638413,75,75
1486642001,79,79
1486645842,76,76
1486649333,81,81
1486652855,80,80
1486656423,70,70
1486660039,68,68
1486663623,65,65
1486667321,75,75
1486671067,76,76
1486674538,73,73
1486678071,78,78
1486681623,66,66
1486685274,63,63
1486688805,63,63
1486692412,59,59
1486696009,65,65
1486699604,68,68
1486703200,65,65
1486706808,68,68
1486710409,69,69
1486713999,66,66
1486717612,64,64
1486721199,65,65
1486724807,63,63
1486728398,68,68
1486732009,68,68
1486735598,69,69
1486739207,68,68
1486742813,66,66
1486746410,67,67
1486750010,65,65
1486753603,62,62
1486757202,60,60
1486760802,64,64
1486764404,63,63
1486768002,65,65
1486771599,70,70
1486775220,66,66
1486778804,72,72
1486782426,73,73
1486786007,75,75
1486789610,76,76
1486793214,76,76
1486796831,74,74
1486800401,64,64
1486804006,64,64
1486807626,68,68
1486811212,66,66
1486814805,71,71
1486818400,75,75
1486822007,78,78
1486825623,81,81
1486829205,72,72
1486832811,72,72
1486836408,64,64
1486840006,68,68
1486843611,69,69
1486847199,68,68
1486850802,68,68
1486854402,68,68
1486858007,68,68
1486861612,70,70
1486865207,71,71
1486868795,62,62
1486872406,68,68
1486876001,64,64
1486879601,65,65
1486883231,68,68
1486886802,68,68
1486890410,72,72
1486894009,66,66
1486897599,65,65
1486901210,64,64
1486904809,65,65
1486908404,71,71
1486915622,75,75
1486919573,74,74
1486923349,78,78
1486926531,77,77
1486930014,80,80
1486933601,82,82
1486937201,76,76
1486940816,76,76
1486944402,74,74
1486948013,74,74
1486951603,79,79
1486955209,81,81
1486958805,81,81
1486962405,76,76
1486966006,69,69
1486969616,66,66
1486973210,69,69
1486976797,72,72
1486980402,70,70
1486984010,70,70
1486987607,66,66
1486991207,67,67
1486994806,66,66
1486998413,65,65
1487002000,74,74
1487005601,70,70
1487009204,63,63
1487012859,65,65
1487016415,58,58
1487020072,66,66
1487023608,69,69
1487027210,71,71
1487030802,80,80
1487034422,72,72
1487038008,69,69
1487041617,72,72
1487045209,62,62
1487048808,58,58
1487052407,57,57
1487058799,59,59
1487062406,69,69
1487066004,70,70
1487069604,71,71
1487073202,76,76
1487074900,76,76
1487077609,82,82
1487081206,83,83
1487084811,78,78
1487088407,80,80
1487092005,74,74
1487095613,72,72
1487103002,73,73
1487106399,70,70
1487110015,68,68
1487113617,61,61
1487117200,62,62
1487120803,69,69
1487124409,73,73
1487128011,73,73
1487131615,67,67
1487135191,67,67
1487138828,66,66
1487142426,67,67
1487146001,67,67
1487149611,61,61
1487153212,66,66
1487156815,70,70
1487160419,68,68
1487164019,71,71
1487167621,66,66
1487171209,67,67
1487174798,66,66
1487178425,73,73
1487182026,74,74
1487185606,68,68
1487189203,70,70
1487192812,66,66
1487196405,73,73
1487200012,70,70
1487203601,67,67
1487207204,68,68
1487210796,63,63
1487214411,70,70
1487218008,72,72
1487221598,75,75
1487225208,77,77
1487228808,72,72
1487232401,63,63
1487236014,63,63
1487239593,64,64
1487243204,63,63
1487246813,67,67
1487250640,65,65
1487254401,63,63
1487257734,69,69
1487261493,64,64
1487264822,63,63
1487268404,63,63
1487272013,57,57
1487275599,63,63
1487279223,69,69
1487282801,71,71
1487286404,70,70
1487290003,65,65
1487293603,70,70
1487297201,69,69
1487300802,68,68
1487304416,62,62
1487308011,68,68
1487311598,71,71
1487315202,72,72
1487318820,76,76
1487322399,71,71
1487325990,71,71
1487329615,70,70
1487333210,71,71
1487336799,68,68
1487340404,68,68
1487344000,63,63
1487347622,63,63
1487351201,62,62
1487354803,58,58
1487358413,57,57
1487362009,68,68
1487365598,67,67
1487369204,70,70
1487372806,68,68
1487376400,65,65
1487380005,62,62
