DateTime,AddedIPs,RemovedIPs
1475359540,2,1
1475366988,1,0
1475377543,0,1
1475380991,0,2
1475388241,1,0
1475395385,1,0
1475406369,0,1
1475427916,1,2
1475431442,1,0
1475442370,0,1
1475449544,1,0
1475453261,1,0
1475463776,1,2
1475471103,1,1
1475474709,1,0
1475478176,1,0
1475492671,0,1
1475496324,0,1
1475506966,0,1
1475514151,1,0
1475517768,1,0
1475521359,1,0
1475532166,0,1
1475535946,0,1
1475539733,0,2
1475543042,0,1
1475546712,3,0
1475557364,1,0
1475561127,1,0
1475572640,0,1
1475583438,1,0
1475587037,0,2
1475593524,1,0
1475596948,0,2
1475611350,1,0
1475614949,0,1
1475622149,2,0
1475632952,1,0
1475636555,0,1
1475640151,0,1
1475647355,2,0
1475661752,0,4
1475665352,3,1
1475679880,0,1
1475686954,1,0
1475704954,1,0
1475712128,0,2
1475719352,0,1
1475726554,2,0
1475730149,1,0
1475740954,0,1
1475748152,0,1
1475755352,2,0
1475769752,0,2
1475773355,1,0
1475776952,0,1
1475787753,1,0
1475791356,0,1
1475794953,1,0
1475802149,0,1
1475805756,2,0
1475820157,0,3
1475827349,2,0
1475834555,1,0
1475845353,0,1
1475848953,0,1
1475852553,1,0
1475863352,1,1
1475866950,0,2
1475877751,1,0
1475881349,1,0
1475892160,0,1
1475895784,1,1
1475899354,2,0
1475917355,0,2
1475928154,1,0
1475931758,0,1
1475935357,1,0
1475938948,2,0
1475953357,0,1
1475960561,1,0
1475967757,0,1
1475971325,0,2
1475978555,0,1
1475982151,1,0
1475985748,1,0
1476007355,1,1
1476010950,1,0
1476014549,0,1
1476018149,1,0
1476021755,0,1
1476025346,1,1
1476036147,1,0
1476039752,1,0
1476057750,0,1
1476064956,1,0
1476104540,0,2
1476111749,0,1
1476169354,0,1
1476172964,1,0
1476180156,0,2
1476237761,1,1
1476248560,1,0
1476280956,0,1
1476284559,1,0
1476298958,0,1
1476334951,1,0
1476349353,0,1
1476356556,1,0
1476385355,0,1
1476396228,1,0
1476403321,0,1
1476406953,1,0
1476421358,0,1
1476460959,1,0
1476475352,0,1
1476507756,0,1
1476514951,1,0
1476522153,0,1
1476558155,1,0
1476572556,0,1
1476662549,1,0
1476676951,0,1
1476698548,1,0
1476720164,0,1
1476770525,0,1
1476774163,1,0
1476781356,1,0
1476795756,0,1
1476799355,1,0
1476813760,0,1
1476817355,1,0
1476828156,0,1
1476882161,1,0
1476903759,0,1
1476918153,1,0
1476932558,0,1
1476972426,1,0
1476990160,0,1
1477004568,1,0
1477018968,0,1
1477040557,1,0
1477069363,0,1
1477072960,1,0
1477087361,0,1
1477148563,1,0
1477162964,0,1
1477202546,1,0
1477220548,0,1
1477227748,1,0
1477260150,0,1
1477263760,1,0
1477278146,0,1
1477285344,1,0
1477299751,0,1
1477317745,1,0
1477346546,0,1
1477371756,1,0
1477386153,0,1
1477396927,0,1
1477400562,1,0
1477422165,1,0
1477447350,0,1
1477458155,1,0
1477472552,0,1
1477476127,0,1
1477479753,1,0
1477544559,1,0
1477562558,0,1
1477566124,0,1
1477569775,1,0
1477594921,0,1
1477598556,1,0
1477605757,1,0
1477620153,0,1
1477630967,1,0
1477652556,0,1
1477656154,1,0
1477670521,0,2
1477677755,1,0
1477717359,1,0
1477731762,0,1
1477764166,1,0
1477767763,0,1
1477774963,1,0
1477782166,0,1
1477800154,1,0
1477814557,0,1
1477836162,1,0
1477861351,0,1
1477879333,0,1
1477886564,1,0
1477890155,1,0
1477900958,0,1
1477926161,1,0
1477940558,0,1
1477958575,1,0
1477973362,0,1
1477984021,1,1
1477991150,1,0
1477998159,0,1
1478012593,1,0
1478027213,0,1
1478037933,1,0
1478059550,0,1
1478092404,1,0
1478095484,0,1
1478099378,1,0
1478149345,0,1
1478188921,0,1
1478214146,1,0
1478228522,0,1
1478293359,1,0
1478307724,0,1
1478354555,1,0
1478383325,0,1
1478404954,1,0
1478419320,0,1
1478473350,1,0
1478487721,0,1
1478494954,1,0
1478512924,0,1
1478556152,1,0
1478570538,0,1
1478577768,1,0
1478592154,0,1
1478620969,1,0
1478660536,0,1
1478721757,1,0
1478736133,0,1
1478764963,1,0
1478779336,0,1
1478790165,1,0
1478804531,0,1
1478844175,1,0
1478865736,0,1
1478869376,1,0
1478887342,0,1
1478901768,1,0
1478926937,0,1
1478962969,1,0
1479006143,0,1
1479013363,1,0
1479052936,0,1
1479060161,1,0
1479074535,0,1
1479117766,1,0
1479139382,0,1
1479160990,1,0
