DateTime,Entries,UniqueIPs
1476284559,3,3
1476298958,2,2
1476334951,3,3
1476349353,2,2
1476356556,3,3
1476385355,2,2
1476396228,3,3
1476403321,2,2
1476406953,3,3
1476421358,2,2
1476460959,3,3
1476475352,2,2
1476507756,1,1
1476514951,2,2
1476522153,1,1
1476558155,2,2
1476572556,1,1
1476662549,2,2
1476676951,1,1
1476698548,2,2
1476720164,1,1
1476770525,0,0
1476774163,1,1
1476781356,2,2
1476795756,1,1
1476799355,2,2
1476813760,1,1
1476817355,2,2
1476828156,1,1
1476882161,2,2
1476903759,1,1
1476918153,2,2
1476932558,1,1
1476972426,2,2
1476990160,1,1
1477004568,2,2
1477018968,1,1
1477040557,2,2
1477069363,1,1
1477072960,2,2
1477087361,1,1
1477148563,2,2
1477162964,1,1
1477202546,2,2
1477220548,1,1
1477227748,2,2
1477260150,1,1
1477263760,2,2
1477278146,1,1
1477285344,2,2
1477299751,1,1
1477317745,2,2
1477346546,1,1
1477371756,2,2
1477386153,1,1
1477396927,0,0
1477400562,1,1
1477422165,2,2
1477447350,1,1
1477458155,2,2
1477472552,1,1
1477476127,0,0
1477479753,1,1
1477544559,2,2
1477562558,1,1
1477566124,0,0
1477569775,1,1
1477594921,0,0
1477598556,1,1
1477605757,2,2
1477620153,1,1
1477630967,2,2
1477652556,1,1
1477656154,2,2
1477670521,0,0
1477677755,1,1
1477717359,2,2
1477731762,1,1
1477764166,2,2
1477767763,1,1
1477774963,2,2
1477782166,1,1
1477800154,2,2
1477814557,1,1
1477836162,2,2
1477861351,1,1
1477879333,0,0
1477886564,1,1
1477890155,2,2
1477900958,1,1
1477926161,2,2
1477940558,1,1
1477958575,2,2
1477973362,1,1
1477984021,1,1
1477991150,2,2
1477998159,1,1
1478012593,2,2
1478027213,1,1
1478037933,2,2
1478059550,1,1
1478092404,2,2
1478095484,1,1
1478099378,2,2
1478149345,1,1
1478188921,0,0
1478214146,1,1
1478228522,0,0
1478293359,1,1
1478307724,0,0
1478354555,1,1
1478383325,0,0
1478404954,1,1
1478419320,0,0
1478473350,1,1
1478487721,0,0
1478494954,1,1
1478512924,0,0
1478556152,1,1
1478570538,0,0
1478577768,1,1
1478592154,0,0
1478620969,1,1
1478660536,0,0
1478721757,1,1
1478736133,0,0
1478764963,1,1
1478779336,0,0
1478790165,1,1
1478804531,0,0
1478844175,1,1
1478865736,0,0
1478869376,1,1
1478887342,0,0
1478901768,1,1
1478926937,0,0
1478962969,1,1
1479006143,0,0
1479013363,1,1
1479052936,0,0
1479060161,1,1
1479074535,0,0
1479117766,1,1
1479139382,0,0
1479160990,1,1
1479175333,0,0
1479186167,1,1
1479211333,0,0
1479236615,1,1
1479254521,0,0
1479337349,1,1
1479351718,0,0
1479358945,1,1
1479387719,0,0
1479409361,1,1
1479427450,0,0
1479452556,1,1
1479499333,0,0
1479531758,1,1
1479546128,0,0
1479549760,1,1
1479585727,0,0
1479621751,1,1
1479636124,0,0
1479650557,1,1
1479664925,0,0
1479672162,1,1
1479686523,0,0
1479740562,1,1
1479754931,0,0
1479794553,1,1
1479808924,0,0
1479870145,1,1
1479884529,0,0
1479891755,1,1
1479906120,0,0
1479960151,1,1
1479996117,0,0
1480050155,1,1
1480064522,0,0
1480068153,1,1
1480082525,0,0
1480096951,1,1
1480122124,0,0
1480140152,1,1
1480154523,0,0
1480158151,1,1
1480172525,0,0
1480183356,1,1
1480197724,0,0
1480201354,1,1
1480215725,0,0
1480222950,1,1
1480237321,0,0
1480258953,1,1
1480276924,0,0
1480327360,1,1
1480341734,0,0
1480370563,1,1
1480388529,0,0
1480417365,1,1
1480446271,0,0
1480467758,1,1
1480510923,0,0
1480514599,1,1
1480525823,2,2
1480554158,1,1
1480572161,2,2
1480600955,1,1
1480618927,0,0
1480622554,1,1
1480636924,0,0
1480672970,1,1
1480687329,0,0
1480726948,1,1
1480752122,0,0
1480795362,1,1
1480827722,0,0
1480834955,1,1
1480852920,0,0
1480863751,1,1
1480888933,0,0
1480917754,1,1
1480932123,0,0
1480950155,1,1
1480964522,0,0
1480968155,1,1
1480982521,0,0
1481008048,1,1
1481022635,0,0
1481043766,1,1
1481065566,0,0
1481079755,1,1
1481094120,0,0
1481101604,1,1
1481115854,0,0
1481137355,1,1
1481166122,0,0
1481169757,1,1
1481184127,0,0
1481220355,1,1
1481252526,0,0
1481270552,1,1
1481284921,0,0
1481342550,1,1
1481356923,0,0
1481360551,1,1
1481389320,0,0
1481468557,1,1
1481483005,0,0
1481500974,1,1
1481515323,0,0
1481544176,1,1
1481558653,0,0
1481587474,1,1
1481601721,0,0
1481609033,1,1
1481623584,0,0
1481630593,1,1
1481659592,0,0
1481835760,1,1
1481889990,0,0
1481983358,1,1
1481997725,0,0
1482004959,1,1
1482019330,0,0
1482033761,1,1
1482051735,0,0
1482055364,1,1
1482069754,0,0
1482073366,1,1
1482087737,0,0
1482091367,1,1
1482105747,0,0
1482123764,1,1
1482138135,0,0
1482166966,1,1
1482181335,0,0
1482210168,1,1
1482224535,0,0
1482235365,1,1
1482249729,0,0
1482332603,1,1
1482350538,0,0
1482357766,1,1
1482372135,0,0
1482400963,1,1
1482415341,0,0
1482440823,1,1
1482469326,0,0
1482501756,1,1
1482526926,0,0
1482555758,1,1
1482584526,0,0
1482591758,1,1
1482606124,0,0
1482667370,1,1
1482688932,0,0
1482724959,1,1
1482742929,0,0
1482807768,1,1
1482822138,0,0
1482861768,1,1
1482879740,0,0
1482919370,1,1
1482933730,0,0
1482962562,1,1
1482976944,0,0
1483012977,1,1
1483045341,0,0
1483048969,1,1
1483063335,0,0
1483102973,1,1
1483135341,0,0
1483178567,1,1
1483192935,0,0
1483203776,1,1
1483232541,0,0
1483257770,1,1
1483272138,0,0
1483344165,1,1
1483358537,0,0
1483365764,1,1
1483398138,0,0
1483416159,1,1
1483430524,0,0
1483538629,1,1
1483563754,0,0
1483592566,1,1
1483614688,0,0
1483639366,1,1
1483653731,0,0
1483657364,1,1
1483700669,0,0
1483711378,1,1
1483725873,0,0
1483754569,1,1
1483768985,0,0
1483779880,1,1
1483794358,0,0
1483797768,1,1
1483812134,0,0
1483830166,1,1
1483844538,0,0
1484067775,1,1
1484089371,0,0
1484100164,1,1
1484103775,2,2
1484139843,1,1
1484161389,2,2
1484190168,1,1
1484229767,2,2
1484254966,1,1
1484283766,2,2
1484330563,1,1
1484334164,2,2
1484337763,3,3
1484348563,2,2
1484380969,1,1
1484391729,0,0
1484406158,1,1
1484431458,0,0
1484434974,1,1
1484456532,0,0
1484460166,1,1
1484521715,0,0
1484539353,1,1
1484564524,0,0
1484582558,1,1
1484596926,0,0
1484604158,1,1
1484618527,0,0
1484643756,1,1
1484701341,0,0
1484726577,1,1
1484748140,0,0
1484766167,1,1
1484780679,0,0
1484787764,1,1
1484812933,0,0
1484816562,1,1
1484838134,0,0
1484877764,1,1
1484892134,0,0
1484902966,1,1
1484956943,0,0
1484985784,1,1
1485000140,0,0
1485014564,1,1
1485039740,0,0
1485046971,1,1
1485075734,0,0
1485104561,1,1
1485118932,0,0
1485126156,1,1
1485226924,0,0
1485241431,1,1
1485385330,0,0
1485399762,1,1
1485450132,0,0
1485457362,1,1
1485482581,0,0
1485547394,1,1
1485561771,0,0
1485615791,1,1
1485662550,0,0
1485673381,1,1
1485687743,0,0
1485716570,1,1
1485730944,0,0
1485748968,1,1
1485763339,0,0
1485770566,1,1
1485784931,0,0
1485803281,1,1
1485824945,0,0
1485860562,1,1
1485874934,0,0
1485914568,1,1
1485950535,0,0
1485964966,1,1
1485997373,0,0
1486018967,1,1
1486033336,0,0
1486040565,1,1
1486054993,0,0
1486069370,1,1
1486094525,0,0
1486112551,1,1
1486159361,0,0
1486170351,1,1
1486191735,0,0
1486216965,1,1
1486231332,0,0
1486242162,1,1
1486274531,0,0
1486346567,1,1
1486371731,0,0
1486450967,1,1
1486472531,0,0
1486486967,1,1
1486522939,0,0
1486537365,1,1
1486587735,0,0
1486591365,1,1
1486605739,0,0
1486612954,1,1
1486627328,0,0
1486670612,1,1
1486684953,0,0
1486688563,1,1
1486706529,0,0
1486713752,1,1
1486742531,0,0
1486746161,1,1
1486764123,0,0
1486782167,1,1
1486796537,0,0
1486843360,1,1
1486886536,0,0
1486972962,1,1
