DateTime,Entries,UniqueIPs
1477552106,11,11
1477555699,11,11
1477559290,12,12
1477566521,12,12
1477570125,11,11
1477573708,11,11
1477577310,12,12
1477580919,13,13
1477584507,14,14
1477588101,12,12
1477591694,11,11
1477598902,10,10
1477602517,12,12
1477613314,11,11
1477616916,12,12
1477620511,10,10
1477627703,11,11
1477634904,12,12
1477642108,11,11
1477645716,10,10
1477649311,11,11
1477663717,10,10
1477667298,9,9
1477674516,9,9
1477678106,10,10
1477681693,9,9
1477688910,8,8
1477696088,11,11
1477699712,12,12
1477710525,10,10
1477735707,9,9
1477739322,11,11
1477753711,9,9
1477757310,12,12
1477771711,10,10
1477778917,10,10
1477786102,12,12
1477804107,11,11
1477825715,12,12
1477872505,11,11
1477879718,12,12
1477883310,10,10
1477908791,9,9
1477915797,10,10
1477919337,11,11
1477933727,10,10
1477955329,9,9
1477958944,10,10
1477970066,9,9
1477974001,10,10
1477987906,8,8
1477995166,8,8
1478002320,8,8
1478006010,9,9
1478020375,10,10
1478031110,9,9
1478034796,10,10
1478075335,9,9
1478086160,10,10
1478089589,9,9
1478103265,10,10
1478107109,9,9
1478110229,10,10
1478120991,9,9
1478124517,10,10
1478131717,11,11
1478135301,10,10
1478138900,9,9
1478146098,8,8
1478149696,9,9
1478160495,11,11
1478182112,10,10
1478192907,11,11
1478207303,10,10
1478210902,11,11
1478218122,12,12
1478225301,11,11
1478228909,11,11
1478232509,12,12
1478243302,11,11
1478246914,12,12
1478254106,11,11
1478268502,12,12
1478275707,11,11
1478279318,11,11
1478293729,12,12
1478300910,11,11
1478304516,12,12
1478308103,12,12
1478318893,13,13
1478322503,12,12
1478333300,11,11
1478336907,12,12
1478344095,13,13
1478380095,12,12
1478383710,11,11
1478387300,12,12
1478394500,13,13
1478401712,12,12
1478419693,13,13
1478434108,12,12
1478444905,13,13
1478459295,12,12
1478462900,13,13
1478477313,14,14
1478480898,13,13
1478495308,12,12
1478502501,14,14
1478509707,13,13
1478516901,13,13
1478524110,14,14
1478527712,13,13
1478542103,14,14
1478552915,13,13
1478560106,14,14
1478574525,13,13
1478610537,12,12
1478614138,13,13
1478639325,12,12
1478642927,13,13
1478646542,12,12
1478650125,13,13
1478660933,12,12
1478696930,10,10
1478700521,11,11
1478704122,10,10
1478707725,11,11
1478711325,12,12
1478740127,11,11
1478754579,10,10
1478761710,11,11
1478772581,10,10
1478776158,11,11
1478783335,9,9
1478790514,9,9
1478794120,9,9
1478797721,11,11
1478812105,9,9
1478819319,10,10
1478833726,11,11
1478876923,10,10
1478880509,10,10
1478898531,11,11
1478927323,10,10
1478934544,9,9
1478938118,10,10
1478941725,11,11
1478956130,10,10
1478966932,9,9
1478977722,10,10
1478988526,9,9
1478992115,10,10
1479017316,9,9
1479042524,9,9
1479056919,8,8
1479060526,10,10
1479085708,9,9
1479089317,10,10
1479092918,9,9
1479103725,10,10
1479121724,9,9
1479132985,10,10
1479136733,11,11
1479146933,10,10
1479154151,11,11
1479179313,8,8
1479182915,10,10
1479211723,9,9
1479218933,10,10
1479222512,11,11
1479233382,10,10
1479237026,11,11
1479247726,11,11
1479251319,10,10
1479254904,11,11
1479265706,12,12
1479269302,11,11
1479280107,10,10
1479298176,11,11
1479302179,10,10
1479312507,9,9
1479319710,8,8
1479323305,8,8
1479326908,9,9
1479330513,10,10
1479377312,9,9
1479380905,10,10
1479470966,9,9
1479474507,10,10
1479517709,9,9
1479521310,8,8
1479524905,9,9
1479528510,10,10
1479557305,9,9
1479560902,10,10
1479589710,9,9
1479596915,10,10
