DateTime,AddedIPs,RemovedIPs
1480503848,1,0
1480511044,0,1
1480518260,0,1
1480525913,1,0
1480532640,0,1
1480536247,2,0
1480550633,0,1
1480554241,0,1
1480565048,2,0
1480583043,0,1
1480586650,0,1
1480593842,0,1
1480597449,1,0
1480601045,1,0
1480608268,0,1
1480611850,1,0
1480615440,0,1
1480619046,1,1
1480626248,2,0
1480633444,1,1
1480640641,0,1
1480644236,1,0
1480647853,0,1
1480662244,0,1
1480665845,0,1
1480669444,1,1
1480673095,2,0
1480680287,2,0
1480687450,0,1
1480694651,0,1
1480698243,0,1
1480727033,1,0
1480730639,0,1
1480741442,1,1
1480745038,1,0
1480752235,0,1
1480755845,1,0
1480763039,0,1
1480770243,1,1
1480773834,1,0
1480788236,0,1
1480791841,1,0
1480799042,1,1
1480802635,1,0
1480806253,1,0
1480813443,0,1
1480817060,0,1
1480820641,1,0
1480824240,0,1
1480827840,1,0
1480835051,0,2
1480842241,1,0
1480853041,1,1
1480856640,1,1
1480860245,1,0
1480867449,0,2
1480871050,1,1
1480874641,1,0
1480878238,1,1
1480881839,1,0
1480892646,0,1
1480896249,1,0
1480903441,0,1
1480910640,1,1
1480914244,1,0
1480921444,0,1
1480925040,0,1
1480935836,1,1
1480950242,2,0
1480968243,0,1
1480971843,1,0
1480979063,2,0
1481000945,0,1
1481022889,1,0
1481036633,1,2
1481040242,1,1
1481043859,1,0
1481115972,0,1
1481123607,0,1
1481126916,2,0
1481151840,0,1
1481155430,2,1
1481159046,1,0
1481169846,0,2
1481173445,1,0
1481187849,0,1
1481198645,2,0
1481205841,0,1
1481209446,1,0
1481213053,0,2
1481220445,1,0
1481224039,0,1
1481227830,1,0
1481267042,0,1
1481288645,1,0
1481295841,0,1
1481299434,1,0
1481331833,1,0
1481350030,0,2
1481353434,1,0
1481382239,0,1
1481385836,1,0
1481393036,0,1
1481396635,1,0
1481414627,0,1
1481418248,1,0
1481436240,0,1
1481439843,1,0
1481508243,1,0
1481519040,0,1
1481522642,0,2
1481526249,1,0
1481537046,1,0
1481562747,0,1
1481566371,1,0
1481580794,0,1
1481591741,1,0
1481627247,0,1
1481630724,1,0
1481666834,0,1
1481674006,0,1
1481677970,1,0
1481681289,2,0
1481695565,0,1
1481717419,0,1
1481720729,1,0
1481735038,0,1
1481742245,1,0
1481745840,0,1
1481749442,1,1
1481753042,1,1
1481763843,1,0
1481767442,0,1
1481778240,1,0
1481785455,0,1
1481796266,1,0
1481807219,0,1
1481810648,1,0
1481825046,0,1
1481832256,1,0
1481861042,1,0
1481875442,0,1
1481890115,0,1
1481897043,1,0
1481933026,0,2
1481936642,2,1
1481940248,1,0
1481958256,0,1
1481961846,1,0
1482008643,0,2
1482015845,1,0
1482023051,1,0
1482037452,1,0
1482044661,0,1
1482048248,1,0
1482051849,0,2
1482055449,1,0
1482073484,0,1
1482077049,1,0
1482080653,0,1
1482084258,0,1
1482091450,2,0
1482120250,0,1
1482123855,1,0
1482152657,0,1
1482167057,0,1
1482185332,0,1
1482188659,1,0
1482213851,1,0
1482228249,0,1
1482242655,0,1
1482246266,1,0
1482260650,0,1
1482264258,1,0
1482271473,0,1
1482289447,1,0
1482311083,0,1
1482318258,1,0
1482332691,0,1
1482336255,1,1
1482339853,0,1
1482347059,1,0
1482365048,1,0
1482368654,0,1
1482372255,1,0
1482386649,1,0
1482401048,0,1
1482415459,1,0
1482465840,0,1
1482469442,1,1
1482480245,1,0
1482494642,0,1
1482501844,0,1
1482505448,1,0
1482519842,0,1
1482527046,1,0
1482555847,1,0
1482559440,0,1
1482563052,1,0
1482570244,0,1
1482591845,1,0
1482609859,0,1
1482617056,1,0
1482642251,0,1
1482653051,1,0
1482667472,0,1
1482671049,0,1
1482678247,1,0
1482681857,1,0
1482725045,0,1
1482728657,1,0
1482735866,1,0
1482750251,0,1
1482753860,0,1
1482761060,0,1
1482764652,2,0
1482768249,1,0
1482771859,0,1
1482775452,1,0
1482782654,0,1
1482797035,0,1
1482800657,1,0
1482804247,0,1
1482818650,0,1
1482833070,2,1
1482836653,1,0
1482847448,0,1
1482861869,0,1
1482865449,1,0
1482883441,1,0
1482908650,0,2
1482912257,2,0
1482915848,1,0
1482926649,0,3
1482930251,1,0
1482933851,1,0
1482984258,1,0
1482995067,0,1
1482998660,1,1
1483031305,1,1
1483038254,1,0
1483045459,0,2
1483056250,1,0
1483063453,0,1
1483077858,1,0
1483088690,1,0
1483103072,0,1
1483139054,0,2
1483142637,1,0
1483149852,1,0
1483153449,0,1
1483160654,1,0
1483185853,0,1
1483189469,1,0
1483207453,0,1
1483211056,1,0
1483243451,0,1
1483247053,1,0
1483265053,1,1
1483268652,1,0
1483279450,0,1
1483290253,0,1
1483297455,1,1
1483308423,1,0
1483319054,0,1
1483322651,0,1
1483326252,1,2
1483329856,2,0
1483337061,0,1
1483340653,1,0
1483344257,1,0
1483351449,1,0
1483358660,0,1
1483362256,1,0
1483383853,0,1
1483391053,1,0
1483401874,0,1
1483405442,1,1
1483412650,0,1
1483419841,1,0
1483423451,1,0
1483441442,1,0
1483455844,0,1
1483459439,0,1
1483463051,1,0
1483473857,0,1
1483477439,1,0
1483491857,0,1
1483495450,1,0
1483502653,0,1
1483506268,1,0
1483520886,0,1
1483524262,1,0
1483556657,0,1
1483560435,1,0
1483563908,0,1
1483567629,1,0
1483607061,0,1
1483610896,1,1
1483614933,2,0
1483628657,0,1
1483643048,0,1
1483646666,1,1
1483650257,1,1
1483661079,0,1
1483664652,1,1
1483668251,2,0
1483686264,0,1
1483697094,1,0
1483700944,0,1
1483704458,1,0
1483715059,0,1
1483722564,1,0
1483733119,0,1
1483737082,1,0
1483740250,0,1
1483743851,1,0
1483747443,0,1
1483769359,0,1
1483776647,0,1
1483779970,2,0
1483790675,1,1
1483794678,0,1
1483797897,1,1
1483801468,1,0
1483805271,1,1
1483816060,1,0
1483819471,0,1
1483826666,0,1
1483833890,1,0
1483869855,1,0
1483884253,0,1
1483923844,0,1
1483934653,1,0
1483949068,0,1
1483956551,1,0
1483963492,2,0
1483981471,0,1
1483996098,0,1
1483999614,1,0
1484017444,0,1
1484021049,1,0
1484064255,0,1
1484071449,1,0
1484096652,0,1
1484100251,1,0
1484136258,1,0
1484139932,1,0
1484150652,0,1
1484157997,0,1
1484201055,0,1
1484204660,1,0
1484251455,0,1
1484255058,1,0
1484301846,0,1
1484312643,1,0
1484316258,1,0
1484319853,0,2
1484327048,1,1
1484334313,1,1
1484337852,1,0
1484352232,0,1
1484355855,1,1
1484359450,1,0
1484381054,0,1
1484384648,1,1
1484388251,0,1
1484391845,1,0
1484395450,1,0
1484409847,0,2
1484413751,2,0
1484424250,0,1
1484428005,1,1
1484431706,1,0
1484435069,0,1
1484442253,1,0
1484456651,0,1
1484460254,1,0
1484463843,0,1
1484471044,1,0
1484485457,0,1
1484489048,1,0
1484492653,1,0
1484496245,0,2
1484503450,1,1
1484510648,0,3
1484518115,1,1
1484528640,1,0
1484532245,0,1
1484535858,0,1
1484539437,1,0
1484557442,1,0
1484571848,0,2
1484575448,1,0
1484589849,0,1
1484593463,1,0
1484600644,0,1
1484604246,1,0
1484607844,0,1
1484611430,1,0
1484625849,0,1
1484629450,1,0
1484643844,1,0
1484647440,0,1
1484651049,1,0
1484654647,0,2
1484658239,0,1
1484661845,1,1
1484669273,2,0
1484672647,1,1
1484679839,1,0
1484683443,1,1
1484687040,1,1
1484701459,0,1
1484705059,1,0
1484708658,0,1
1484726666,0,1
1484733858,2,0
1484741057,0,1
1484748262,1,1
