DateTime,Entries,UniqueIPs
1482642251,16,16
1482653051,17,17
1482667472,16,16
1482671049,15,15
1482678247,16,16
1482681857,17,17
1482725045,16,16
1482728657,17,17
1482735866,18,18
1482750251,17,17
1482753860,16,16
1482761060,15,15
1482764652,17,17
1482768249,18,18
1482771859,17,17
1482775452,18,18
1482782654,17,17
1482797035,16,16
1482800657,17,17
1482804247,16,16
1482818650,15,15
1482833070,16,16
1482836653,17,17
1482847448,16,16
1482861869,15,15
1482865449,16,16
1482883441,17,17
1482908650,15,15
1482912257,17,17
1482915848,18,18
1482926649,15,15
1482930251,16,16
1482933851,17,17
1482984258,18,18
1482995067,17,17
1482998660,17,17
1483031305,17,17
1483038254,18,18
1483045459,16,16
1483056250,17,17
1483063453,16,16
1483077858,17,17
1483088690,18,18
1483103072,17,17
1483139054,15,15
1483142637,16,16
1483149852,17,17
1483153449,16,16
1483160654,17,17
1483185853,16,16
1483189469,17,17
1483207453,16,16
1483211056,17,17
1483243451,16,16
1483247053,17,17
1483265053,17,17
1483268652,18,18
1483279450,17,17
1483290253,16,16
1483297455,16,16
1483308423,17,17
1483319054,16,16
1483322651,15,15
1483326252,14,14
1483329856,16,16
1483337061,15,15
1483340653,16,16
1483344257,17,17
1483351449,18,18
1483358660,17,17
1483362256,18,18
1483383853,17,17
1483391053,18,18
1483401874,17,17
1483405442,17,17
1483412650,16,16
1483419841,17,17
1483423451,18,18
1483441442,19,19
1483455844,18,18
1483459439,17,17
1483463051,18,18
1483473857,17,17
1483477439,18,18
1483491857,17,17
1483495450,18,18
1483502653,17,17
1483506268,18,18
1483520886,17,17
1483524262,18,18
1483556657,17,17
1483560435,18,18
1483563908,17,17
1483567629,18,18
1483607061,17,17
1483610896,17,17
1483614933,19,19
1483628657,18,18
1483643048,17,17
1483646666,17,17
1483650257,17,17
1483661079,16,16
1483664652,16,16
1483668251,18,18
1483686264,17,17
1483697094,18,18
1483700944,17,17
1483704458,18,18
1483715059,17,17
1483722564,18,18
1483733119,17,17
1483737082,18,18
1483740250,17,17
1483743851,18,18
1483747443,17,17
1483769359,16,16
1483776647,15,15
1483779970,17,17
1483790675,17,17
1483794678,16,16
1483797897,16,16
1483801468,17,17
1483805271,17,17
1483816060,18,18
1483819471,17,17
1483826666,16,16
1483833890,17,17
1483869855,18,18
1483884253,17,17
1483923844,16,16
1483934653,17,17
1483949068,16,16
1483956551,17,17
1483963492,19,19
1483981471,18,18
1483996098,17,17
1483999614,18,18
1484017444,17,17
1484021049,18,18
1484064255,17,17
1484071449,18,18
1484096652,17,17
1484100251,18,18
1484136258,19,19
1484139932,20,20
1484150652,19,19
1484157997,18,18
1484201055,17,17
1484204660,18,18
1484251455,17,17
1484255058,18,18
1484301846,17,17
1484312643,18,18
1484316258,19,19
1484319853,17,17
1484327048,17,17
1484334313,17,17
1484337852,18,18
1484352232,17,17
1484355855,17,17
1484359450,18,18
1484381054,17,17
1484384648,17,17
1484388251,16,16
1484391845,17,17
1484395450,18,18
1484409847,16,16
1484413751,18,18
1484424250,17,17
1484428005,17,17
1484431706,18,18
1484435069,17,17
1484442253,18,18
1484456651,17,17
1484460254,18,18
1484463843,17,17
1484471044,18,18
1484485457,17,17
1484489048,18,18
1484492653,19,19
1484496245,17,17
1484503450,17,17
1484510648,14,14
1484518115,14,14
1484528640,15,15
1484532245,14,14
1484535858,13,13
1484539437,14,14
1484557442,15,15
1484571848,13,13
1484575448,14,14
1484589849,13,13
1484593463,14,14
1484600644,13,13
1484604246,14,14
1484607844,13,13
1484611430,14,14
1484625849,13,13
1484629450,14,14
1484643844,15,15
1484647440,14,14
1484651049,15,15
1484654647,13,13
1484658239,12,12
1484661845,12,12
1484669273,14,14
1484672647,14,14
1484679839,15,15
1484683443,15,15
1484687040,15,15
1484701459,14,14
1484705059,15,15
1484708658,14,14
1484726666,13,13
1484733858,15,15
1484741057,14,14
1484748262,14,14
1484777302,12,12
1484780985,13,13
1484784236,14,14
1484787850,13,13
1484791452,14,14
1484798656,14,14
1484805857,13,13
1484813050,14,14
1484820261,15,15
1484831052,14,14
1484841866,13,13
1484845464,14,14
1484856258,16,16
1484859858,15,15
1484881465,14,14
1484885058,15,15
1484888650,16,16
1484892247,15,15
1484895859,14,14
1484903053,13,13
1484906655,12,12
1484910260,13,13
1484921049,14,14
1484928253,15,15
1484931853,14,14
1484935457,15,15
1484957043,13,13
1484960653,14,14
1484964260,15,15
1484967849,13,13
1484971455,15,15
1484975048,14,14
1484982256,15,15
1484989452,15,15
1484993058,14,14
1484996651,13,13
1485000259,14,14
1485003875,14,14
1485018257,15,15
1485021855,15,15
1485025451,15,15
1485029054,15,15
1485032658,15,15
1485036249,16,16
1485039856,15,15
1485043438,14,14
1485050650,13,13
1485054248,12,12
1485057855,15,15
1485065068,15,15
1485072253,12,12
1485075852,11,11
1485079457,12,12
1485083049,11,11
1485086656,12,12
1485090253,13,13
1485101055,13,13
1485115453,14,14
1485119048,15,15
1485122654,16,16
1485126243,15,15
1485129841,14,14
1485144243,13,13
