DateTime,Entries,UniqueIPs
1483240088,119,119
1483243679,120,120
1483247291,119,119
1483250892,116,116
1483254499,120,120
1483258100,121,121
1483261703,119,119
1483265297,117,117
1483268901,117,117
1483272497,117,117
1483276096,120,120
1483279686,120,120
1483283309,121,121
1483286891,119,119
1483290490,122,122
1483294096,122,122
1483297692,123,123
1483301300,122,122
1483305079,120,120
1483308660,122,122
1483312089,121,121
1483315690,119,119
1483319291,119,119
1483322890,113,113
1483326490,117,117
1483330092,118,118
1483337301,121,121
1483340893,122,122
1483344501,121,121
1483348099,120,120
1483351689,121,121
1483355298,120,120
1483358910,122,122
1483362507,123,123
1483366088,121,121
1483369709,119,119
1483373303,119,119
1483384099,121,121
1483387694,121,121
1483391293,122,122
1483394896,120,120
1483398491,119,119
1483402102,120,120
1483405690,118,118
1483409278,117,117
1483412894,118,118
1483416491,121,121
1483420086,119,119
1483423679,120,120
1483427284,120,120
1483430873,111,111
1483434475,117,117
1483438070,118,118
1483441676,119,119
1483445294,117,117
1483448869,121,121
1483452489,118,118
1483459679,116,116
1483463278,115,115
1483466885,116,116
1483470487,115,115
1483474094,118,118
1483477674,120,120
1483481277,118,118
1483484882,119,119
1483488485,116,116
1483492091,116,116
1483495683,114,114
1483499289,119,119
1483502890,120,120
1483510275,122,122
1483513729,122,122
1483517490,118,118
1483521245,118,118
1483524520,118,118
1483528512,112,112
1483531907,115,115
1483535730,115,115
1483538985,115,115
1483542710,115,115
1483546672,110,110
1483549803,117,117
1483553291,117,117
1483556896,118,118
1483560712,119,119
1483564166,117,117
1483567992,114,114
1483571680,114,114
1483575540,117,117
1483578610,115,115
1483582082,113,113
1483585685,114,114
1483589289,116,116
1483592886,113,113
1483596473,118,118
1483600135,117,117
1483603699,114,114
1483607302,114,114
1483611183,111,111
1483615261,112,112
1483618934,113,113
1483622458,115,115
1483625423,115,115
1483628897,114,114
1483632492,117,117
1483636088,116,116
1483643278,118,118
1483646902,120,120
1483650493,118,118
1483654092,120,120
1483661320,119,119
1483664888,118,118
1483668489,120,120
1483672083,121,121
1483675692,119,119
1483679285,116,116
1483682883,118,118
1483686537,121,121
1483690085,120,120
1483693781,119,119
1483701193,118,118
1483704971,114,114
1483708505,116,116
1483711698,117,117
1483715304,115,115
1483719018,116,116
1483722812,116,116
1483726383,113,113
1483729992,111,111
1483733363,109,109
1483737377,113,113
1483740488,115,115
1483744080,116,116
1483747685,118,118
1483751287,120,120
1483754899,121,121
1483762090,120,120
1483765672,119,119
1483769708,118,118
1483772899,121,121
1483777265,120,120
1483780462,114,114
1483784555,115,115
1483787726,116,116
1483791171,113,113
1483794925,111,111
1483798308,110,110
1483801711,116,116
1483809199,115,115
1483812492,118,118
1483816289,118,118
1483826907,116,116
1483834268,118,118
1483837693,120,120
1483841344,119,119
1483844884,121,121
1483848489,120,120
1483852089,118,118
1483855690,119,119
1483859291,120,120
1483862876,121,121
1483866489,122,122
1483870089,120,120
1483877286,120,120
1483888093,118,118
1483891686,121,121
1483898890,120,120
1483902487,120,120
1483906097,117,117
1483909688,117,117
1483913285,118,118
1483916889,117,117
1483920491,117,117
1483924074,119,119
1483927685,120,120
1483934887,120,120
1483938481,119,119
1483949339,119,119
1483953093,120,120
1483956931,121,121
1483960329,120,120
1483963835,120,120
1483967290,122,122
1483970882,121,121
1483974483,121,121
1483978116,120,120
1483981723,120,120
1483992492,120,120
1483996458,117,117
1483999846,117,117
1484003289,120,120
1484006878,121,121
1484010495,122,122
1484014080,122,122
1484021287,119,119
1484024880,115,115
1484028480,119,119
1484032096,120,120
1484039301,118,118
1484042915,117,117
1484046482,118,118
1484050089,118,118
1484057301,119,119
1484061106,116,116
1484064494,115,115
1484068098,117,117
1484071683,116,116
1484075292,121,121
