DateTime,Entries,UniqueIPs
1484234940,3324,3324
1484236883,3330,3330
1484238780,3334,3334
1484240684,3390,3390
1484242865,1422,1422
1484244791,1301,1301
1484246677,1298,1298
1484248583,1267,1267
1484250530,1269,1269
1484252434,1272,1272
1484254359,1272,1272
1484256272,1269,1269
1484258219,1269,1269
1484260118,1270,1270
1484262135,1252,1252
1484263947,1253,1253
1484265904,600,600
1484267804,600,600
1484269724,605,605
1484271641,609,609
1484273583,611,611
1484275472,607,607
1484277434,616,616
1484279335,629,629
1484281256,622,622
1484283192,801,801
1484285103,1277,1277
1484287000,1275,1275
1484288941,1273,1273
1484290915,1270,1270
1484292776,1271,1271
1484294676,1271,1271
1484296626,1270,1270
1484298528,1271,1271
1484300452,1272,1272
1484302355,1274,1274
1484304292,1270,1270
1484306198,1263,1263
1484308150,1264,1264
1484310074,1267,1267
1484311971,1266,1266
1484313887,1263,1263
1484315787,1266,1266
1484317981,1265,1265
1484319903,1266,1266
1484321810,1267,1267
1484323734,1269,1269
1484325926,1256,1256
1484327795,1172,1172
1484329721,1166,1166
1484331876,1168,1168
1484333795,1166,1166
1484335705,1165,1165
1484337772,1170,1170
1484339781,1167,1167
1484341691,1169,1169
1484343625,1172,1172
1484345554,1167,1167
1484347452,1169,1169
1484349386,1165,1165
1484351315,1169,1169
1484353475,1171,1171
1484355392,1170,1170
1484357316,1172,1172
1484359274,1171,1171
1484361145,1172,1172
1484363057,1158,1158
1484364988,1140,1140
1484366934,1118,1118
1484368833,1095,1095
1484370765,1096,1096
1484372671,1096,1096
1484374585,1101,1101
1484376519,1104,1104
1484378430,1102,1102
1484380335,1104,1104
1484382292,1107,1107
1484384338,1097,1097
1484386355,1080,1080
1484388284,1076,1076
1484390198,1083,1083
1484392184,1084,1084
1484394041,1088,1088
1484395967,1086,1086
1484397886,1083,1083
1484399995,799,799
1484402227,392,392
1484404616,391,391
1484406870,390,390
1484408921,391,391
1484410854,393,393
1484412785,392,392
1484414690,393,393
1484416589,392,392
1484418515,391,391
1484420502,392,392
1484422365,396,396
1484424267,392,392
1484426188,395,395
1484428108,393,393
1484430020,393,393
1484431949,396,396
1484433858,394,394
1484435781,395,395
1484437697,391,391
1484439732,394,394
1484441548,392,392
1484443468,393,393
1484445394,395,395
1484447319,396,396
1484449303,396,396
1484451171,415,415
1484453324,431,431
1484455230,446,446
1484457154,444,444
1484459071,445,445
1484461246,441,441
1484463173,440,440
1484465078,444,444
1484467011,443,443
1484468914,445,445
1484470916,439,439
1484472746,442,442
1484474948,442,442
1484476828,435,435
1484478781,430,430
1484480663,426,426
1484482602,422,422
1484484505,415,415
1484486461,413,413
1484488381,409,409
1484490297,409,409
1484492200,411,411
1484494132,413,413
1484496116,414,414
1484497986,412,412
1484499870,413,413
1484501809,412,412
1484503714,412,412
1484505637,412,412
1484507546,409,409
1484510482,401,401
1484512374,399,399
1484514268,402,402
1484516190,404,404
1484518119,402,402
1484520020,405,405
1484521951,405,405
1484523868,405,405
1484525805,405,405
1484527742,407,407
1484529627,403,403
1484531574,400,400
1484533456,402,402
1484535377,400,400
1484537292,398,398
1484539295,378,378
1484541143,375,375
1484543055,383,383
1484544987,381,381
1484546904,381,381
1484548815,380,380
1484550744,381,381
1484552647,378,378
1484554607,378,378
