DateTime,AddedIPs,RemovedIPs
1442003313,2,0
1442090745,0,1
1442265516,1,1
1442352721,1,1
1442440300,2,1
1442614819,3,0
1442701832,1,2
1442789147,3,2
1442876485,0,1
1442963938,1,0
1443050946,1,4
1443138353,2,0
1443225387,1,1
1443312593,1,0
1443400100,5,0
1443487585,10,1
1443661934,0,3
1443749330,1,0
1443836856,0,2
1443924344,0,1
1444099323,1,0
1444186507,1,0
1444273843,1,3
1444361276,1,1
1444623539,0,2
1444711065,2,0
1444798510,1,1
1444885804,2,1
1444973274,2,2
1445060761,0,1
1445148093,2,0
1445244811,1,2
1445419698,1,0
1445594552,0,5
1445681966,2,1
1445769513,1,2
1445856892,0,5
1445944206,0,1
1446031681,0,6
1446119298,0,5
1446206429,4,3
1446293945,0,1
1446381425,2,2
1446470673,1,0
1446645358,0,1
1446733514,1,1
1446824324,1,0
1446911364,2,8
1446998583,1,0
1447173428,1,0
1447260882,1,2
1447348178,2,1
1447435693,2,2
1447523149,1,2
1447610441,1,1
1447697943,0,1
1447785414,3,4
1447872972,1,5
1447960477,0,4
1448049420,4,1
1448136589,1,0
1448224066,2,0
1448312013,1,2
1448402349,3,0
1448489389,1,0
1448578600,1,0
1448666129,1,0
1448753267,1,0
1448840782,0,2
1448928125,1,0
1449015513,4,1
1449103118,1,0
1449190457,2,0
1449277818,0,1
1449370836,0,2
1449458334,1,3
1449552920,1,1
1449640270,5,2
1449727834,2,0
1449815240,4,2
1449902303,1,2
1449989659,4,1
1450076998,3,2
1450164469,1,1
1450251954,1,2
1450339280,1,0
1450426725,1,2
1450601174,1,1
1450688447,0,1
1450775541,1,1
1450862880,0,1
1450949933,1,1
1451037280,1,1
1451129556,2,3
1451216768,1,1
1451304073,1,0
1451391297,1,0
1451478448,2,0
1451565941,4,2
1451653287,3,1
1451740719,1,0
1451828215,0,1
1451915664,3,2
1452002992,0,1
1452090016,5,1
1452177496,2,2
1452312112,0,6
1452399551,0,1
1452487119,10,2
1452574500,1,1
1452661838,5,4
1452749306,1,0
1452836771,1,3
1452924150,2,0
1453011584,1,0
1453098820,2,0
1453185886,15,0
1453273006,3,1
1453360140,5,1
1453447256,4,0
1453534380,3,1
1453621515,3,1
1453708618,1,0
1453796021,1,1
1453883095,1,0
1453970467,2,0
1454057565,2,1
1454144704,2,1
1454231810,1,3
1454318942,0,1
1454406059,0,1
1454493285,1,2
1454580392,14,0
1454667655,0,2
1454754788,1,1
1454842094,0,1
1454929268,0,1
1455016435,1,0
1455103512,2,14
1455190605,3,1
1455277757,0,1
1455364870,1,0
1455451974,1,0
1455539088,1,2
1455626247,0,2
1455713348,2,2
1455800459,1,4
1455887595,1,6
1455974681,2,1
1456061864,0,4
1456148938,0,3
1456236081,0,4
1456323238,1,0
1456410371,0,1
1456497457,11,8
1456584602,1,6
1456671700,2,5
1456758837,2,7
1456845925,0,7
1456933051,1,0
1457020176,2,2
1457107312,0,3
1457194440,7,2
1457281535,3,1
1457368714,2,0
1457543211,0,2
1457630629,3,1
1457717861,1,3
1457804987,0,1
1457892105,3,0
1458066391,3,0
1458153745,0,2
1458241062,1,1
1458328188,1,2
1458502441,3,0
1458589521,2,0
1458676662,5,0
1458850819,3,1
1458937962,1,1
1459025080,2,1
1459112211,6,2
1459199681,1,0
1459287002,2,0
1459374375,18,2
1459461499,2,3
1459548635,8,1
1459635741,2,1
1459722966,4,1
1459810585,4,4
1459897801,4,0
1459985164,1,3
1460072261,7,0
1460159426,0,1
1460246575,1,0
1460334052,5,1
1460421249,5,2
1460508394,0,2
1460595733,0,22
1460682875,3,1
1460857047,1,4
1460944185,2,0
1461031329,12,1
1461118432,4,2
1461205572,34,3
1461292703,1,1
1461379704,1,3
1461466867,3,4
1461553951,1,2
1461641170,2,2
1461728185,1,5
1461815300,0,3
1461902429,2,1
1461989562,1,19
1462076649,0,4
1462163786,1,1
1462250907,1,0
1462338070,0,2
1462425152,2,2
1462512280,2,2
1462599393,2,0
1462686535,1,3
1462773664,0,1
1462860754,0,3
1462947879,1,1
1463034976,3,3
1463209234,2,2
1463296394,1,2
1463383458,0,1
1463470595,3,2
1463557721,1,2
1463644834,0,8
1463731949,2,2
1463819059,3,36
1463906184,1,3
1463993302,1,1
1464080454,1,0
1464167744,3,3
1464254821,3,0
1464342023,1,6
1464429094,1,0
1464516272,0,3
1464603386,0,4
1464690574,1,3
1464777637,2,0
1464864750,1,4
1464951892,1,1
1465039032,10,1
1465126144,0,3
1465213222,2,0
1465300352,2,1
1465474621,4,0
1465561708,22,2
1465648820,1,2
1465823082,4,2
1465910187,4,1
1465997302,2,2
1466084435,2,1
1466258673,2,0
1466345806,2,2
1466432907,2,7
1466520031,1,4
1466607144,1,2
1466694259,0,1
1466781378,2,0
1466868504,1,1
1466955619,1,1
1467042764,0,1
1467129871,1,0
1467216994,1,2
1467304163,2,0
1467391246,3,2
1467478340,1,2
1467565470,1,1
1467652600,3,11
1467739698,1,1
1467826828,1,2
1467913985,237,1
1468001063,6,0
1468088190,2,1
1468175308,4,22
1468262433,2,1
1468349550,3,1
1468436669,0,2
1468523796,182,2
1468610911,0,1
1468698042,0,1
1468785150,0,3
1468872268,3,0
1468959379,2,1
1469046508,1,3
1469133617,5,0
1469220743,3,1
1469307870,3,1
1469395077,5,2
