DateTime,AddedIPs,RemovedIPs
1444186512,76,344
1444273847,89,391
1444361280,83,258
1444448786,60,136
1444536037,74,192
1444623543,65,89
1444711069,253,77
1444798514,140,60
1444885808,58,129
1444973278,63,168
1445060765,107,80
1445148097,64,63
1445244815,79,137
1445332177,78,60
1445419701,71,74
1445507146,101,67
1445594556,151,79
1445681969,88,103
1445769518,83,76
1445856896,79,122
1445944210,72,66
1446031685,68,72
1446119304,74,91
1446206433,165,108
1446293950,85,382
1446381429,92,125
1446470676,90,117
1446557834,104,82
1446645360,545,96
1446733516,656,191
1446824327,266,64
1446911366,180,133
1446998585,76,90
1447086015,71,73
1447173431,357,78
1447260885,84,170
1447348180,62,132
1447435695,67,61
1447523152,70,160
1447610443,74,71
1447697946,57,72
1447785416,59,58
1447872980,67,66
1447960480,63,79
1448049423,79,83
1448136592,50,101
1448224069,76,91
1448312016,173,61
1448402352,61,69
1448489391,72,67
1448578605,56,65
1448666134,72,95
1448753269,74,129
1448840785,72,103
1448928127,68,99
1449015515,159,85
1449103123,236,104
1449190462,321,351
1449277820,86,553
1449370839,59,652
1449458336,47,214
1449552923,100,128
1449640272,182,61
1449727837,380,64
1449815242,91,571
1449902305,144,122
1449989661,85,60
1450077000,69,61
1450164474,50,63
1450251959,88,132
1450339283,58,74
1450426727,78,63
1450513751,83,71
1450601176,75,74
1450688450,69,46
1450775544,66,55
1450862882,71,93
1450949935,79,167
1451037282,76,65
1451129559,87,85
1451216771,72,78
1451304075,79,71
1451391299,88,69
1451478450,80,95
1451565943,69,84
1451653289,53,169
1451740721,65,366
1451828217,71,187
1451915673,67,50
1452002994,70,57
1452090019,65,64
1452177499,74,111
1452312114,105,514
1452399553,85,144
1452487121,71,188
1452574503,169,90
1452661843,63,87
1452749308,69,65
1452836773,82,80
1452924153,84,78
1453011587,69,74
1453098825,96,84
1453185889,54,52
1453273011,108,77
1453360142,69,76
1453447259,70,68
1453534383,68,73
1453621519,73,70
1453708621,75,57
1453796023,64,112
1453883100,78,63
1453970470,71,67
1454057570,59,92
1454144711,62,67
1454231815,72,57
1454318946,75,40
1454406066,73,69
1454493292,83,73
1454580396,90,52
1454667658,56,73
1454754791,75,86
1454842099,83,66
1454929274,69,64
1455016442,58,71
1455103520,94,80
1455190607,104,203
1455277762,69,69
1455364878,66,78
1455451979,71,60
1455539091,81,71
1455626255,589,55
1455713354,305,78
1455800464,111,62
1455887599,71,92
1455974684,68,72
1456061867,76,65
1456148945,72,56
1456236087,61,81
1456323246,80,73
1456410376,101,68
1456497465,163,62
1456584606,132,73
1456671712,69,65
1456758843,142,71
1456845931,72,53
1456933055,70,58
1457020179,70,74
1457107317,76,82
1457194449,10699,48
1457281539,1993,38
1457368720,76,37
1457456041,95,41
1457543216,90,57
1457630635,154,49
1457717867,104,92
1457804994,107,35
