DateTime,Entries,UniqueIPs
1484105562,456,457
1484107000,455,456
1484108432,454,455
1484111559,453,454
1484112982,452,453
1484115852,451,452
1484118093,450,451
1484119456,449,450
1484123789,396,396
1484124499,395,395
1484127390,394,394
1484128894,393,393
1484130981,392,392
1484135328,391,391
1484137706,390,390
1484142039,389,389
1484142739,388,388
1484145866,386,386
1484146580,385,385
1484147293,384,384
1484151626,381,381
1484153050,379,379
1484154265,378,378
1484154985,377,377
1484157155,285,285
1484161453,283,283
1484162197,160,160
1484163619,157,157
1484164337,156,156
1484165341,155,155
1484166451,154,154
1484168665,153,153
1484170817,152,152
1484174408,151,151
1484175169,149,149
1484176821,147,147
1484178248,146,146
1484178993,145,145
1484180429,144,144
1484184023,142,142
1484190505,141,141
1484192648,140,140
1484205150,139,139
1484211867,138,138
1484212577,136,136
1484215729,135,135
1484217852,134,134
1484219299,132,132
1484220031,131,131
1484222193,130,130
1484223626,129,129
1484229372,128,128
1484231551,127,127
1484233008,126,126
1484236586,125,125
1484250258,124,124
1484253849,123,123
1484269272,122,122
1484274741,121,121
1484280070,120,120
1484295851,119,119
1484297217,117,117
1484300192,116,116
1484302347,115,115
1484325636,114,114
1484334525,113,113
1484336651,179,179
1484339067,178,178
1484350599,275,275
1484361859,274,274
1484362580,273,273
1484385145,272,272
1484389466,271,271
1484391892,270,270
1484406855,273,273
1484409134,274,274
1484411555,275,275
1484414675,277,277
1484416119,280,280
1484418994,281,281
1484419959,283,283
1484421616,284,284
1484423052,218,218
1484423787,219,219
1484424492,220,220
1484425943,223,223
1484426660,224,224
1484430985,227,227
1484432416,229,229
1484433163,230,230
1484435302,232,232
1484436020,233,233
1484436747,231,231
1484437472,230,230
1484438905,402,402
1484439625,484,484
1484440339,514,514
1484441059,583,583
1484442528,697,697
1484443216,843,843
1484443952,915,915
1484444651,967,967
1484446094,1090,1090
1484446828,1134,1134
1484447538,1156,1156
1484448264,1157,1157
1484448981,1156,1156
1484454023,1155,1155
1484454759,1154,1154
1484459777,1153,1153
1484465778,1152,1152
1484471558,1151,1151
1484474491,1150,1150
1484482342,1149,1149
1484486653,1083,1083
1484494592,1082,1082
1484500826,1081,1081
1484502263,1080,1080
1484510890,1079,1079
1484512365,1078,1078
1484513785,1076,1076
1484516669,1074,1074
1484524574,1012,1012
1484525317,914,914
1484527940,910,910
1484529372,909,909
1484530812,902,902
1484531564,896,896
1484532980,891,891
1484533715,883,883
1484534431,879,879
1484535152,876,876
1484536120,868,868
1484537780,861,861
1484538509,859,859
1484539285,854,854
1484540653,849,849
1484541384,843,843
1484542903,842,842
1484543535,837,837
1484544267,831,831
1484545714,828,828
1484546469,822,822
1484547856,821,821
1484549303,814,814
1484551465,811,811
1484553693,805,805
1484555299,801,801
1484557464,799,799
1484559141,798,798
1484561304,793,793
1484562020,792,792
1484562773,787,787
1484563462,785,785
1484564503,782,782
1484565409,781,781
1484566831,776,776
1484569244,768,768
1484571382,762,762
1484573537,761,761
1484574250,760,760
1484574991,759,759
1484575702,757,757
1484576425,756,756
1484577141,749,749
1484577858,747,747
1484578575,746,746
1484579294,745,745
1484580032,740,740
1484581460,735,735
1484582178,732,732
1484582925,731,731
1484584374,730,730
1484585662,729,729
1484587937,727,727
1484589682,723,723
1484590374,719,719
1484591052,794,794
1484591786,797,797
1484592492,798,798
1484593314,886,886
1484594212,894,894
1484596338,1018,1020
1484597070,1088,1090
1484597791,1094,1096
1484598512,1093,1095
1484599265,1089,1091
1484600488,1087,1089
1484601877,1086,1088
1484602839,1085,1087
1484603550,1084,1086
1484605240,1080,1082
1484606669,1077,1079
1484609539,1076,1078
1484612452,1074,1076
1484613147,1072,1074
1484616042,1070,1072
1484617458,1068,1070
1484618515,1067,1069
1484619152,1066,1068
1484623996,1062,1064
1484626121,1061,1063
1484627566,1060,1062
1484629714,1059,1061
1484631372,1053,1055
1484632888,1050,1052
1484633547,1049,1051
1484634765,1048,1050
1484636920,1047,1049
1484638584,1043,1045
1484641717,1042,1044
1484643182,1040,1042
1484644112,1039,1041
1484645571,1037,1039
1484647719,1036,1038
1484649161,1035,1037
1484650903,1034,1036
1484652254,1033,1035
1484655396,1032,1034
1484656810,1030,1032
1484658532,1028,1030
1484659478,1025,1027
1484662369,1024,1026
1484666904,1023,1025
1484668335,1022,1024
1484669089,1021,1023
1484670045,1016,1018
1484671457,1014,1016
1484672197,1010,1012
1484675780,1008,1010
1484676521,1007,1009
1484677211,783,785
1484677957,782,784
1484678652,781,783
1484679397,779,781
1484680137,778,780
1484680811,772,774
1484683000,769,771
1484683713,766,768
1484684424,761,763
1484685156,760,762
1484685876,757,759
1484687305,752,754
1484688023,751,753
1484688743,747,749
1484689471,743,745
1484690919,738,740
1484692354,734,736
1484693781,729,731
1484694527,724,726
1484695950,720,722
1484697386,719,721
1484700265,715,717
1484700978,714,716
1484703159,713,715
1484704115,711,713
1484705549,792,794
1484706252,775,777
1484707703,797,799
1484708458,822,824
1484709139,828,830
1484709868,829,831
1484710586,858,860
1484711316,961,963
1484712053,1027,1029
1484712767,1037,1039
1484713454,1097,1099
1484714892,1163,1165
1484715700,1177,1179
1484716601,1174,1176
1484718026,1173,1175
1484719469,1172,1174
1484720443,1170,1172
1484721404,1169,1171
1484722359,1167,1169
1484724017,1165,1167
1484725719,1162,1164
1484727437,1155,1157
1484730519,1151,1153
1484734135,1149,1151
1484736251,1148,1150
1484737710,1147,1149
1484739138,1145,1147
1484743448,1143,1145
1484744191,1141,1143
1484746336,1140,1142
1484747769,1139,1141
1484749228,1136,1138
1484749947,825,825
1484753558,824,824
1484754251,823,823
1484758334,822,822
1484759772,821,821
1484765534,819,819
1484768665,818,818
1484786182,817,817
1484789572,816,816
1484791693,756,756
1484792460,755,755
1484793866,754,754
1484794576,752,752
1484797447,751,751
1484798191,749,749
1484798899,747,747
1484799655,746,746
1484800340,745,745
1484801773,740,740
1484802521,734,734
1484803208,732,732
1484804012,726,726
1484804647,721,721
1484805396,720,720
1484806101,718,718
1484808263,715,715
1484808969,713,713
1484810418,712,712
1484811169,708,708
1484812589,707,707
1484813296,706,706
1484814041,705,705
1484814736,701,701
1484815465,700,700
1484816173,696,696
1484817620,690,690
1484818391,687,687
1484819119,686,686
1484819775,201,201
1484821213,198,198
1484823131,197,197
1484824365,196,196
1484831567,195,195
1484832989,194,194
1484836591,192,192
1484838735,191,191
1484840215,292,292
1484840910,375,375
1484841697,432,432
1484842604,437,437
1484843572,438,438
1484844247,494,494
1484844986,505,505
1484845729,615,615
1484846422,658,658
1484847849,752,752
1484848588,759,759
1484849319,837,837
1484850015,982,984
1484850748,1021,1023
1484851461,1030,1032
1484852190,1046,1048
1484853162,1093,1095
1484854590,1092,1094
1484856090,1090,1092
1484858937,1089,1091
1484861794,1088,1090
1484872367,1087,1089
1484889863,1086,1088
1484898504,1085,1087
1484902904,1084,1086
1484911017,1083,1085
1484920113,1082,1084
1484921560,1078,1080
1484925608,1039,1040
1484927786,991,992
1484930677,988,989
1484932849,986,987
1484934263,980,981
1484935707,979,980
1484936434,971,972
1484937858,965,966
1484938591,954,955
1484940036,945,946
1484941462,939,940
1484942175,937,938
1484943612,932,933
1484944367,924,925
1484946529,918,919
1484947233,917,918
1484947940,916,917
1484948658,914,915
1484949383,909,910
1484950833,908,909
1484951536,907,908
1484952274,905,906
1484952972,902,903
1484953696,901,902
1484954447,900,901
1484955864,898,899
1484957333,895,896
1484959451,891,892
1484960197,888,889
1484961159,884,885
1484962583,882,883
1484964112,878,879
1484965449,877,878
1484966213,872,873
1484967693,870,871
1484969300,868,869
1484970047,867,868
1484970745,866,867
1484972439,856,857
1484976272,854,855
1484977710,853,854
1484979154,851,852
1484981293,850,851
1484982523,849,850
1484983215,846,847
1484985389,843,844
1484986098,841,842
1484988265,840,841
1484988977,839,840
1484989719,837,838
1484991158,901,902
1484991850,934,936
1484992585,941,943
1484993364,939,941
1484995446,997,999
1484996491,1007,1009
1484997413,1160,1162
1484998842,1325,1327
1485000983,1379,1382
1485001719,1429,1432
1485003148,1554,1557
1485004121,1598,1601
1485005560,1700,1703
1485009143,1810,1815
1485010907,1808,1813
1485011537,1807,1812
1485018093,1805,1810
1485018735,1804,1809
1485020917,1802,1807
1485025471,1802,1807
1485029299,1801,1806
1485030038,1800,1805
1485031458,1799,1804
1485034347,1798,1803
1485035781,1796,1801
1485036500,1795,1800
1485037238,1793,1798
1485039371,1792,1797
1485040116,1791,1796
1485047295,1790,1795
1485048743,1789,1794
1485050920,1788,1793
1485051637,1785,1790
1485055217,1784,1789
1485057388,1783,1788
1485061282,1781,1786
1485063390,1779,1784
1485071301,1778,1783
1485074187,1776,1781
1485076340,1632,1636
1485077054,1631,1635
1485077789,1630,1634
1485081177,1465,1469
1485084050,1460,1464
1485085447,1452,1456
1485087851,1444,1448
1485088619,1437,1441
1485090150,1435,1439
1485090755,1427,1431
1485092210,1394,1398
1485095775,1385,1389
1485096524,1374,1378
1485097944,1361,1365
1485099376,1353,1357
