DateTime,AddedIPs,RemovedIPs
1486970438,0,1
1486971150,0,5
1486973295,0,1
1486974747,0,1
1486975471,0,1
1486976906,0,2
1486978335,0,1
1486979058,0,1
1486979769,0,2
1486981222,0,1
1486981949,0,2
1486983389,0,1
1486984093,0,1
1486984838,0,42
1486985534,0,1
1486986997,0,1
1486987963,0,1
1486988652,1,1
1486989390,21,15
1486990370,140,1
1486991327,0,1
1486992267,0,2
1486992990,0,2
1486993712,0,3
1486995412,0,2
1486996091,0,1
1486997795,0,2
1486998493,0,1
1486999483,0,4
1487000174,0,2
1487000949,0,2
1487001689,0,3
1487003298,0,1
1487004036,0,1
1487004755,0,1
1487007154,0,1
1487008582,0,1
1487009327,0,1
1487010277,0,1
1487010973,0,2
1487011709,0,2
1487012482,0,1
1487015295,0,3
1487017006,0,2
1487017961,0,1
1487019383,0,3
1487020845,0,2
1487021539,0,1
1487022266,0,1
1487022970,0,1
1487023721,0,1
1487028250,0,4
1487028992,0,1
1487031853,0,1
1487034082,0,1
1487035244,0,2
1487035932,0,2
1487036659,0,2
1487039545,0,3
1487040261,0,1
1487040970,0,2
1487041723,0,5
1487042420,0,1
1487043161,0,6
1487043851,3,0
1487045294,0,1
1487046044,0,1
1487046736,0,1
1487048173,1,2
1487058037,2,3
1487061370,0,1
1487062116,2,2
1487062878,1,1
1487064252,0,1
1487065693,0,1
1487070493,1,1
1487072666,1,1
1487073415,1,2
1487074855,0,1
1487076259,1,2
1487079883,1,0
1487084933,0,25
1487086351,1,2
1487087815,1,1
1487092105,0,3
1487094983,1,1
1487098570,2,2
1487099313,1,1
1487100749,0,1
1487102199,0,1
1487102901,1,0
1487103636,0,1
1487104355,0,1
1487111056,0,1
1487111803,1,1
1487113950,2,0
1487114652,0,1
1487115392,1,2
1487116108,2,1
1487118509,0,1
1487119970,0,1
1487120920,1,1
1487123324,1,1
1487125716,1,1
1487127149,1,1
1487133405,3,2
1487134916,1,0
1487135541,1,1
1487136982,1,1
1487138480,0,1
1487142127,0,2
1487142737,0,2
1487144903,1,1
1487145693,1,1
1487146339,1,1
1487151374,1,2
1487154510,1,1
1487155958,0,1
1487160503,1,1
1487164108,4,0
1487165542,0,1
1487169869,1,1
1487170582,2,1
1487172984,3,2
1487174476,0,1
1487175157,4,2
1487176117,1,1
1487177575,35,142
1487178518,7,1
1487179217,85,0
1487179964,5,2
1487180649,4,0
1487181400,52,123
1487182103,5,2
1487182830,20,0
1487184258,1,0
1487184980,1,0
1487185707,96,0
1487186426,9,0
1487187667,58,3
1487188340,20,0
1487189073,25,2
1487189776,64,4
1487190504,30,9
1487191219,32,3
1487191971,54,2
1487192679,17,3
1487193387,23,4
1487194122,26,2
1487194842,0,6
1487195541,0,1
