DateTime,Entries,UniqueIPs
1484878346,20330,20411
1484879052,20326,20407
1484879801,20322,20403
1484880508,20316,20397
1484881325,20316,20397
1484882201,20314,20395
1484882893,20314,20395
1484883646,20316,20397
1484884344,20324,20405
1484885103,20318,20399
1484886098,20314,20395
1484886752,20317,20398
1484887469,20312,20393
1484888177,20319,20400
1484888916,20312,20393
1484889612,20316,20397
1484890347,20319,20400
1484891047,20315,20396
1484891787,20316,20397
1484892504,20320,20401
1484893247,20322,20403
1484893940,20328,20409
1484894668,20323,20404
1484895378,20324,20405
1484896098,20331,20412
1484896829,20331,20412
1484897543,20334,20415
1484898262,20328,20409
1484898987,20333,20414
1484899717,20330,20410
1484900415,20335,20415
1484901163,20326,20406
1484901850,20327,20407
1484902589,20331,20411
1484903301,20330,20410
1484904029,20332,20412
1484904746,20333,20413
1484905463,20332,20412
1484906177,20335,20415
1484906902,20334,20414
1484907643,20336,20416
1484908341,20335,20415
1484909061,20335,20415
1484909770,20335,20415
1484911020,20328,20408
1484911693,20329,20409
1484912451,20324,20404
1484913140,20329,20409
1484913872,20327,20407
1484914580,20332,20412
1484915313,20332,20412
1484916018,20334,20414
1484916756,20336,20416
1484917725,20328,20408
1484918672,20327,20407
1484919373,20334,20414
1484920115,20335,20415
1484920887,20337,20417
1484921562,20336,20416
1484922514,20335,20415
1484923210,20339,20419
1484923972,20339,20419
1484924932,20338,20418
1484925611,20339,20419
1484926386,20344,20423
1484927053,20346,20425
1484927789,20343,20422
1484928502,20345,20424
1484929242,20344,20423
1484929944,20345,20424
1484930680,20335,20414
1484931405,20339,20418
1484932101,20338,20417
1484932852,20338,20417
1484933538,20337,20416
1484934265,20335,20414
1484934979,20334,20413
1484935709,20335,20414
1484936437,20341,20420
1484937145,20337,20416
1484937860,20337,20416
1484938594,20331,20410
1484939301,20332,20411
1484940038,20324,20403
1484940746,20319,20398
1484941464,20322,20401
1484942178,20322,20401
1484942914,20319,20398
1484943615,20320,20399
1484944369,20321,20400
1484945053,20323,20402
1484945777,20312,20391
1484946532,20318,20397
1484947236,20321,20400
1484947943,20326,20405
1484948661,20323,20402
1484949385,20324,20403
1484950109,20324,20403
1484950836,20326,20405
1484952276,20319,20398
1484952974,20322,20401
1484953698,20318,20397
1484954450,20313,20392
1484955142,20319,20398
1484955866,20315,20394
1484956575,20313,20392
1484957336,20317,20396
1484958017,20317,20396
1484958769,20322,20401
1484959454,20321,20400
1484960199,20322,20401
1484961162,20324,20403
1484961854,20319,20397
1484962586,20323,20401
1484963297,20319,20397
1484964114,20318,20396
1484964740,20320,20398
1484965452,20317,20395
1484966215,20312,20390
1484966901,20315,20393
1484967696,20314,20392
1484968605,20320,20398
1484969303,20322,20400
1484970049,20328,20406
1484970748,20330,20408
1484971475,20331,20409
1484972442,20324,20402
1484973149,20325,20403
1484973870,20324,20402
1484974584,20324,20402
1484975319,20322,20399
1484976275,20316,20393
1484976976,20315,20392
1484977712,20316,20393
1484978482,20317,20394
1484979156,20314,20391
1484979851,20317,20394
1484980590,20321,20398
1484981295,20321,20398
1484982099,20318,20395
1484982744,20313,20390
1484983472,20310,20387
1484984177,20304,20381
1484984910,20304,20381
1484985678,20306,20383
1484986351,20305,20382
1484987052,20307,20384
1484987794,20313,20390
1484988501,20312,20389
1484989307,20314,20391
1484989943,20308,20385
1484990659,20312,20389
1484991374,20310,20387
1484992109,20309,20386
1484992894,20303,20380
1484993802,20298,20375
1484994499,20298,20375
1484995228,20298,20375
1484995938,20297,20374
1484996919,20301,20378
1484997879,20304,20381
1484998574,20305,20382
1484999318,20308,20385
1485000073,20309,20386
1485000747,20313,20390
1485001457,20313,20390
1485002190,20316,20393
1485002899,20310,20387
1485003709,20312,20389
1485004607,20311,20388
1485005295,20312,20389
1485006024,20312,20389
1485006755,20311,20388
1485007474,20317,20394
1485008177,20318,20395
1485008910,20318,20395
1485009612,20325,20402
1485010438,20317,20394
1485011331,20321,20398
1485012011,20320,20397
1485012756,20322,20399
1485013452,20318,20395
1485014188,20316,20393
1485014895,20322,20400
1485015640,20318,20396
1485016352,20324,20402
1485017064,20326,20404
1485017777,20323,20401
1485018527,20328,20406
1485019218,20333,20411
1485019954,20332,20410
1485020649,20340,20418
1485021389,20338,20416
1485022121,20340,20418
1485022845,20339,20417
1485023550,20341,20419
1485024262,20342,20420
1485024972,20343,20421
1485025697,20336,20414
1485026443,20334,20412
1485027149,20331,20409
1485027868,20337,20415
1485028577,20334,20412
1485029302,20334,20412
1485030041,20330,20408
1485030744,20326,20404
1485031461,20327,20405
1485032180,20323,20401
1485032936,20320,20398
1485033614,20323,20401
1485034350,20325,20403
1485035049,20324,20402
1485035783,20321,20399
1485036503,20324,20402
1485037240,20319,20397
1485037942,20325,20403
1485038659,20321,20399
1485039373,20324,20402
1485040119,20322,20400
1485040840,20319,20397
1485041535,20314,20392
1485042260,20314,20392
1485042978,20309,20387
1485043730,20309,20387
1485044419,20314,20392
1485045154,20311,20389
1485045853,20314,20392
1485046596,20315,20393
1485047297,20311,20389
1485048038,20313,20391
1485048746,20312,20390
1485049468,20312,20390
