DateTime,Entries,UniqueIPs
1487176812,4772,4772
1487177578,4766,4766
1487178521,4762,4762
1487179220,4770,4770
1487179967,4777,4777
1487180652,4778,4778
1487181403,4778,4778
1487182106,4776,4776
1487182833,4789,4789
1487183582,4775,4775
1487184261,4784,4784
1487184983,4793,4793
1487185711,4792,4792
1487186429,4783,4783
1487187670,4789,4789
1487188343,4788,4788
1487189076,4784,4784
1487189779,4794,4794
1487190507,4789,4789
1487191222,4791,4791
1487191974,4792,4792
1487192682,4787,4787
1487193390,4787,4787
1487194125,4777,4777
1487194845,4770,4770
1487195543,4768,4768
1487196283,4761,4761
1487196987,4758,4758
1487197704,4767,4767
1487198433,4759,4759
1487199408,4758,4758
1487200125,4749,4749
1487200821,4739,4739
1487201564,4726,4726
1487202249,4716,4716
1487203013,4722,4722
1487203700,4728,4728
1487204439,4728,4728
1487205147,4723,4723
1487205860,4710,4710
1487206578,4721,4721
1487207310,4712,4712
1487208032,4709,4709
1487208753,4706,4706
1487209461,4690,4690
1487210175,4697,4697
1487210922,4704,4704
1487211631,4705,4705
1487212342,4708,4708
1487213083,4704,4704
1487213787,4708,4708
1487214505,4704,4704
1487215232,4707,4707
1487215953,4706,4706
1487216660,4709,4709
1487217382,4705,4705
1487218095,4714,4714
1487218843,4713,4713
1487219554,4703,4703
1487220269,4695,4695
1487221002,4692,4692
1487221718,4688,4688
1487222441,4690,4690
1487223147,4691,4691
1487223860,4693,4693
1487224592,4697,4697
1487225297,4682,4682
1487226040,4686,4686
1487226756,4688,4688
1487227465,4682,4682
1487228174,4677,4677
1487228917,4688,4688
1487229642,4690,4690
1487230351,4688,4688
1487231053,4688,4688
1487231802,4684,4684
1487232521,4690,4690
1487233499,4686,4686
1487234445,4694,4694
1487235143,4694,4694
1487235877,4693,4693
1487236843,4694,4694
1487237548,4703,4703
1487238265,4705,4705
1487238974,4710,4710
1487239706,4710,4710
1487240451,4719,4719
1487241148,4711,4711
1487241861,4719,4719
1487242574,4710,4710
1487243297,4710,4710
1487244039,4713,4713
1487244748,4708,4708
1487245464,4698,4698
1487246195,4697,4697
1487246916,4699,4699
1487247630,4708,4708
1487248363,4706,4706
1487249050,4703,4703
1487249818,4724,4724
1487250506,4720,4720
1487251232,4726,4726
1487251943,4712,4712
1487252666,4718,4718
1487253375,4725,4725
1487254106,4726,4726
1487254864,4740,4740
1487255551,4739,4739
1487256261,4737,4737
1487256974,4734,4734
1487257732,4727,4727
1487258411,4723,4723
1487259162,4717,4717
1487259852,4729,4729
1487260609,4730,4730
1487261304,4737,4737
1487262024,4737,4737
1487262738,4741,4741
1487263471,4729,4729
1487264196,4745,4745
1487264919,4753,4753
1487265877,4750,4750
1487266584,4765,4765
1487267332,4762,4762
1487268090,4773,4773
1487269006,4769,4769
1487269726,4769,4769
1487270441,4783,4783
1487271143,4770,4770
1487271870,4776,4776
1487272576,4778,4778
1487273311,4768,4768
1487274021,4788,4788
1487274744,4775,4775
1487275481,4775,4775
1487276190,4785,4785
1487276906,4776,4776
1487277620,4777,4777
1487278355,4779,4779
1487279064,4775,4775
1487279787,4768,4768
1487280494,4760,4760
1487281254,4758,4758
1487281943,4757,4757
1487282674,4758,4758
1487283375,4753,4753
1487284108,4757,4757
1487284827,4755,4755
1487285553,4742,4742
1487286259,4740,4740
1487286994,4742,4742
1487287968,4729,4729
1487288656,4723,4723
1487289401,4726,4726
1487290096,4710,4710
1487290839,4717,4717
1487291580,4712,4712
1487292260,4718,4718
1487292999,4711,4711
1487293716,4716,4716
1487294419,4715,4715
1487295149,4726,4726
1487295851,4727,4727
1487296602,4728,4728
1487297297,4728,4728
1487298032,4736,4736
1487298739,4725,4725
1487299465,4720,4720
1487300186,4713,4713
1487300906,4716,4716
1487301627,4719,4719
1487302349,4702,4702
1487303062,4725,4725
1487303794,4730,4730
1487304532,4719,4719
1487305216,4724,4724
1487305950,4725,4725
1487306650,4723,4723
1487307406,4714,4714
1487308097,4715,4715
1487308833,4712,4712
1487309539,4707,4707
1487310265,4711,4711
1487310982,4718,4718
1487311700,4708,4708
1487312424,4716,4716
1487313141,4719,4719
1487313860,4713,4713
1487314579,4715,4715
1487315325,4710,4710
1487316023,4709,4709
1487316768,4707,4707
1487317451,4713,4713
1487318210,4719,4719
1487318905,4709,4709
1487319654,4718,4718
1487320350,4717,4717
1487321062,4734,4734
1487321809,4732,4732
1487322502,4742,4742
1487323226,4753,4753
1487323947,4747,4747
1487324705,4756,4756
1487325385,4747,4747
1487326127,4759,4759
1487326819,4769,4769
1487327566,4775,4775
1487328256,4769,4769
1487328986,4770,4770
1487329695,4757,4757
1487330433,4767,4767
1487331146,4745,4745
1487331861,4770,4770
1487332590,4797,4797
1487333311,4783,4783
1487334037,4780,4780
1487334753,4778,4778
1487335465,4777,4777
1487336196,4784,4784
1487336905,4792,4792
1487337632,4792,4792
1487338351,4780,4780
1487339096,4788,4788
1487339774,4786,4786
1487340518,4784,4784
1487341238,4783,4783
1487341960,4782,4782
1487342650,4784,4784
1487343384,4775,4775
1487344097,4774,4774
1487344850,4785,4785
1487345538,4782,4782
1487346267,4778,4778
1487346990,4779,4779
1487347707,4776,4776
1487348424,4777,4777
1487349146,4774,4774
1487349858,4781,4781
1487350616,4772,4772
1487351294,4767,4767
1487352036,4799,4799
1487352745,4792,4792
1487353504,4783,4783
1487354200,4782,4782
1487354899,4787,4787
1487355624,4791,4791
1487356349,4790,4790
1487357064,4784,4784
1487357781,4793,4793
1487358538,4795,4795
1487359222,4798,4798
1487359961,4796,4796
1487360672,4781,4781
1487361392,4797,4797
1487362098,4791,4791
1487362850,4799,4799
1487363551,4804,4804
1487364274,4786,4786
1487364991,4785,4785
1487365701,4777,4777
1487366432,4786,4786
1487367147,4792,4792
1487367861,4795,4795
1487368574,4797,4797
1487369316,4781,4781
1487370029,4793,4793
1487370762,4787,4787
1487371453,4791,4791
1487372185,4778,4778
1487372896,4778,4778
1487373633,4768,4768
1487374344,4764,4764
1487375063,4762,4762
1487375802,4765,4765
1487376508,4745,4745
1487377226,4745,4745
1487377942,4744,4744
1487378664,4738,4738
1487379401,4741,4741
1487380124,4720,4720
1487380813,4706,4706
1487381566,4717,4717
1487382259,4701,4701
1487383004,4709,4709
1487383705,4711,4711
1487384453,4712,4712
1487385150,4711,4711
1487385864,4688,4688
1487386574,4689,4689
1487387307,4680,4680
1487388034,4682,4682
1487388754,4698,4698
1487389463,4699,4699
1487390189,4704,4704
1487390898,4702,4702
1487391624,4698,4698
1487392342,4701,4701
1487393070,4709,4709
1487393802,4704,4704
1487394506,4699,4699
1487395240,4692,4692
1487395951,4692,4692
1487396663,4680,4680
1487397382,4670,4670
1487398100,4706,4706
1487398837,4703,4703
1487399546,4716,4716
1487400268,4708,4708
1487400981,4667,4667
1487401704,4711,4711
1487402422,4701,4701
1487403143,4708,4708
1487403863,4716,4716
1487404611,4696,4696
1487405301,4730,4730
1487406052,4730,4730
1487406745,4720,4720
1487407463,4722,4722
1487408187,4745,4745
1487408897,4740,4740
1487409635,4737,4737
1487410349,4749,4749
1487411061,4753,4753
1487411784,4754,4754
1487412496,4746,4746
1487413212,4754,4754
1487413961,4754,4754
1487414652,4772,4772
1487415387,4788,4788
1487416116,4774,4774
1487416824,4787,4787
1487417545,4790,4790
1487418261,4770,4770
