DateTime,Entries,UniqueIPs
1487342770,8928,8928
1487344221,8926,8926
1487345331,8928,8928
1487346143,8921,8921
1487346972,8928,8928
1487347818,8925,8925
1487348928,8931,8931
1487349739,8926,8926
1487350728,8926,8926
1487351568,8928,8928
1487352526,8931,8931
1487353515,8930,8930
1487354323,8928,8928
1487355320,8930,8930
1487356122,8931,8931
1487357115,8926,8926
1487357921,8926,8926
1487359665,8930,8930
1487360718,8924,8924
1487361521,8918,8918
1487362516,8920,8920
1487363319,8922,8922
1487364319,8919,8919
1487365121,8917,8917
1487366289,8919,8919
1487367314,8918,8918
1487367741,8919,8919
1487368729,8918,8918
1487369716,8919,8919
1487370526,8921,8921
1487371490,8919,8919
1487372319,8920,8920
1487373166,8921,8921
1487374133,8922,8922
1487376040,8925,8925
1487377719,8934,8934
1487378718,8924,8924
1487379512,8921,8921
1487380453,8920,8920
1487381318,8923,8923
1487382291,8918,8918
1487383122,8911,8911
1487384116,8914,8914
1487384917,8915,8915
1487385741,8902,8902
1487386573,8903,8903
1487387414,8898,8898
1487388514,8902,8902
1487389516,8890,8890
1487390319,8886,8886
1487391314,8891,8891
1487392113,8894,8894
1487392937,8883,8883
1487393912,8886,8886
1487395216,8891,8891
1487396120,8879,8879
1487397375,8878,8878
1487398217,8876,8876
1487400018,8864,8864
1487401117,8862,8862
1487402054,8865,8865
1487402903,8867,8867
1487403915,8860,8860
1487404990,8858,8858
1487406023,8860,8860
1487406492,8861,8861
1487408324,8852,8852
1487409319,8855,8855
1487410220,8854,8854
1487410943,8853,8853
1487411918,8848,8848
1487412917,8850,8850
1487413693,8851,8851
1487414617,8845,8845
1487415513,8846,8846
1487416817,8854,8854
1487417628,8847,8847
1487418141,8845,8845
1487419018,8847,8847
1487419886,8844,8844
1487420893,8845,8845
1487421915,8844,8844
1487423123,8845,8845
1487424019,8849,8849
1487424913,8845,8845
1487425762,8843,8843
1487427888,8847,8847
1487429711,8845,8845
1487431224,8848,8848
1487432541,8853,8853
1487433510,8852,8852
1487434517,8854,8854
1487435292,8858,8858
1487436137,8850,8850
1487437119,8850,8850
1487438889,8853,8853
1487439917,8850,8850
1487441414,8848,8848
1487442483,8850,8850
1487443518,8842,8842
1487444719,8844,8844
1487445254,8845,8845
1487446083,8846,8846
1487447662,8850,8850
1487448615,8847,8847
1487449683,8849,8849
1487450832,8844,8844
1487451761,8842,8842
1487452654,8845,8845
1487453556,8837,8837
1487454499,8839,8839
1487455298,8837,8837
1487456059,8839,8839
1487457915,8836,8836
1487458836,8831,8831
1487459665,8835,8835
1487460479,8841,8841
1487461519,8832,8832
1487463332,8831,8831
1487464702,8829,8829
1487465773,8829,8829
1487466615,8827,8827
1487467681,8829,8829
1487468538,8824,8824
1487469477,8825,8825
1487470423,8826,8826
1487472101,8825,8825
1487473063,8827,8827
1487474122,8825,8825
1487475018,8824,8824
1487475919,8823,8823
1487476766,8821,8821
1487478493,8824,8824
1487479338,8822,8822
1487480277,8825,8825
1487481318,8825,8825
1487482217,8822,8822
1487482938,8822,8822
1487483863,8823,8823
1487484919,8825,8825
1487485816,8819,8819
1487486724,8824,8824
1487487913,8812,8812
1487488818,8814,8814
1487489637,8810,8810
1487490139,8812,8812
1487492053,8812,8812
1487492897,8816,8816
1487493919,8814,8814
1487495120,8815,8815
1487495652,8816,8816
1487498276,8814,8814
1487499233,8814,8814
1487500058,8818,8818
1487500944,8817,8817
1487501829,8819,8819
1487502856,8819,8819
1487503666,8822,8822
1487504724,8815,8815
1487506219,8813,8813
1487507255,8816,8816
1487508145,8809,8809
1487508968,8812,8812
1487509820,8815,8815
1487510856,8816,8816
1487511749,8815,8815
1487512667,8824,8824
1487513716,8823,8823
1487514498,8825,8825
1487516112,8822,8822
1487517325,8818,8818
1487518819,8820,8820
1487519713,8823,8823
1487520588,8820,8820
1487521580,8825,8825
1487523665,8818,8818
1487524516,8822,8822
1487525422,8824,8824
1487526249,8829,8829
1487527043,8834,8834
1487528058,8838,8838
1487529024,8834,8834
1487529877,8831,8831
1487531055,8830,8830
1487532022,8834,8834
1487533221,8831,8831
1487534248,8832,8832
1487535320,8834,8834
1487536092,8838,8838
1487536941,8838,8838
1487537840,8840,8840
1487538922,8844,8844
1487539820,8847,8847
1487540723,8851,8851
1487541780,8857,8857
1487542763,8863,8863
1487543712,8865,8865
1487545043,8869,8869
1487546124,8859,8859
1487547024,8853,8853
1487547747,8857,8857
1487549415,8854,8854
1487550272,8859,8859
1487551515,8862,8862
1487553078,8864,8864
1487554035,8867,8867
1487554938,8869,8869
1487555830,8872,8872
1487556852,8871,8871
1487558057,8867,8867
1487559429,8872,8872
1487560520,8875,8875
1487561426,8870,8870
1487562316,8876,8876
1487563512,8876,8876
1487564829,8936,8936
1487565737,8930,8930
1487566623,8943,8943
1487567717,8940,8940
1487568588,8933,8933
1487569521,8936,8936
1487570714,8932,8932
1487571619,8933,8933
1487572816,8924,8924
1487573712,8931,8931
1487574615,8926,8926
1487575697,8928,8928
1487576722,8932,8932
1487577916,8929,8929
1487578821,8931,8931
1487579685,8929,8929
1487580138,8931,8931
1487581017,8939,8939
1487581825,8941,8941
1487582694,8946,8946
1487583625,8946,8946
1487584617,8949,8949
1487585422,8949,8949
1487586500,8957,8957
1487587519,8955,8955
1487588718,8959,8959
1487589619,8960,8960
1487590825,8958,8958
1487591816,8963,8963
1487592622,8962,8962
1487593696,8964,8964
1487594533,8963,8963
1487595431,8969,8969
1487596456,8968,8968
1487597429,8966,8966
