DateTime,Entries,UniqueIPs
1484649398,1021,1021
1484649742,1020,1020
1484650580,1032,1032
1484651425,1025,1025
1484652620,1026,1026
1484653354,1025,1025
1484654722,1025,1025
1484656173,1029,1029
1484657857,1029,1029
1484658921,1026,1026
1484659700,1030,1030
1484661375,1025,1025
1484662219,1026,1026
1484663423,1024,1024
1484664314,1021,1021
1484665507,1020,1020
1484667024,1022,1022
1484667743,1026,1026
1484669121,1031,1031
1484670028,1035,1035
1484671224,1044,1044
1484672463,1048,1048
1484673326,1051,1051
1484674552,1050,1050
1484675390,1054,1054
1484676323,1057,1057
1484677815,1058,1058
1484678716,1057,1057
1484679378,1061,1061
1484680227,1058,1058
1484681296,1066,1066
1484682976,1069,1069
1484683821,1078,1078
1484684855,1087,1087
1484686577,1089,1089
1484687421,1081,1081
1484689346,1085,1085
1484690722,1092,1092
1484691628,1099,1099
1484692520,1108,1108
1484693415,1115,1115
1484694319,1110,1110
1484695224,1113,1113
1484696723,1108,1108
1484698026,1115,1115
1484699233,1125,1125
1484700162,1121,1121
1484701514,1116,1116
1484702421,1128,1128
1484703316,1131,1131
1484703749,1134,1134
1484705654,1148,1148
1484706493,1149,1149
1484707522,1158,1158
1484708721,1157,1157
1484709624,1161,1161
1484710503,1161,1161
1484710947,1164,1164
1484713225,1178,1178
1484714206,1173,1173
1484715178,1175,1175
1484717101,1183,1183
1484718029,1183,1183
1484719817,1192,1192
1484720717,1199,1199
1484722515,1202,1202
1484723426,1187,1187
1484725522,1202,1202
1484727322,1196,1196
1484728832,1187,1187
1484729723,1192,1192
1484730617,1195,1195
1484731698,1200,1200
1484732559,1199,1199
1484733385,1202,1202
1484734226,1199,1199
1484735427,1199,1199
1484736681,1208,1208
1484737741,1212,1212
1484738637,1216,1216
1484739636,1207,1207
1484739756,1210,1210
1484741127,1199,1199
1484741976,1204,1204
1484743342,1204,1204
1484744181,1208,1208
1484745021,1209,1209
1484746095,1215,1215
1484746952,1215,1215
1484748857,1228,1228
1484749822,1231,1231
1484750663,1230,1230
1484751375,1233,1233
1484752458,1230,1230
1484753264,1235,1235
1484754159,1235,1235
1484755198,1238,1238
1484756054,1243,1243
1484756888,1244,1244
1484757841,1239,1239
1484758576,1240,1240
1484759419,1237,1237
1484760500,1248,1248
1484761757,1248,1248
1484763315,1245,1245
1484764222,1236,1236
1484765121,1239,1239
1484765775,1241,1241
1484766622,1235,1235
1484768688,1232,1232
1484770455,1235,1235
1484771420,1221,1221
1484772149,1220,1220
1484773516,1219,1219
1484775020,1225,1225
1484775850,1228,1228
1484776723,1224,1224
1484777656,1231,1231
1484778621,1221,1221
1484779520,1221,1221
1484781023,1228,1228
1484782222,1224,1224
1484783123,1227,1227
1484783774,1230,1230
1484784618,1228,1228
1484785694,1233,1233
1484786717,1228,1228
1484788523,1226,1226
1484790144,1216,1216
1484791819,1222,1222
1484793757,1220,1220
1484794947,1223,1223
1484796028,1235,1235
1484797349,1235,1235
1484799622,1234,1234
1484800827,1221,1221
1484801722,1225,1225
1484802615,1218,1218
1484803552,1223,1223
1484804423,1223,1223
1484805374,1226,1226
1484806224,1227,1227
1484806454,1228,1228
1484807420,1219,1219
1484808243,1220,1220
1484808981,1230,1230
1484809819,1224,1224
1484810895,1229,1229
1484811754,1225,1225
1484812574,1228,1228
1484813418,1229,1229
1484814250,1231,1231
1484815130,1225,1225
1484816200,1235,1235
1484817021,1237,1237
1484817256,1238,1238
1484818222,1233,1233
1484819130,1233,1233
1484820349,1227,1227
1484821240,1231,1231
1484821695,1234,1234
1484822563,1242,1242
1484824220,1253,1253
1484826147,1254,1254
1484826977,1263,1263
1484827821,1262,1262
1484828894,1269,1269
1484830574,1275,1275
1484831421,1277,1277
1484831657,1278,1278
1484832624,1278,1278
1484833431,1282,1282
1484834179,1284,1284
1484835018,1283,1283
1484836959,1282,1282
1484838311,1277,1277
1484839142,1284,1284
1484840118,1273,1273
1484841521,1265,1265
1484842489,1271,1271
1484843336,1277,1277
1484844322,1273,1273
1484845534,1273,1273
1484846065,1274,1274
1484847012,1272,1272
1484847755,1272,1272
1484848790,1273,1273
1484849724,1277,1277
1484850624,1283,1283
1484851536,1283,1283
1484852177,1285,1285
1484853019,1285,1285
1484855068,1279,1279
1484856335,1283,1283
1484857231,1288,1288
1484858114,1279,1279
1484859234,1287,1287
1484860220,1282,1282
1484861422,1267,1267
1484862317,1271,1271
1484863411,1273,1273
1484864894,1279,1279
1484865919,1282,1282
1484867418,1277,1277
1484868375,1288,1288
1484869353,1278,1278
1484870237,1280,1280
1484871315,1268,1268
1484872223,1271,1271
1484873278,1274,1274
1484874334,1268,1268
1484875228,1275,1275
1484876114,1273,1273
1484877045,1274,1274
1484878619,1265,1265
1484879426,1269,1269
1484880324,1277,1277
1484881528,1269,1269
1484882428,1275,1275
1484882894,1281,1281
1484883753,1280,1280
1484884574,1289,1289
1484885461,1291,1291
1484886369,1297,1297
1484887358,1279,1279
1484888720,1270,1270
1484889631,1275,1275
1484890523,1273,1273
1484891723,1281,1281
1484892617,1282,1282
1484893693,1295,1295
1484895375,1278,1278
1484896222,1270,1270
1484898166,1271,1271
1484899043,1275,1275
1484900060,1271,1271
1484900896,1276,1276
1484903668,1263,1263
1484904627,1255,1255
1484905559,1257,1257
1484906611,1252,1252
1484907635,1256,1256
1484909489,1258,1258
1484910701,1258,1258
1484912699,1252,1252
1484914019,1243,1243
1484914870,1248,1248
1484915693,1243,1243
1484916836,1248,1248
1484918117,1240,1240
1484919576,1231,1231
1484920576,1231,1231
1484921422,1230,1230
1484922619,1224,1224
1484923811,1228,1228
1484925978,1226,1226
1484926960,1221,1221
1484927865,1225,1225
1484928721,1227,1227
1484929646,1232,1232
1484930644,1221,1221
1484932393,1219,1219
1484934587,1219,1219
1484935520,1213,1213
1484936419,1214,1214
1484937320,1201,1201
1484938227,1202,1202
1484939417,1200,1200
1484940484,1206,1206
1484941429,1215,1215
1484944347,1211,1211
1484945716,1211,1211
1484946617,1207,1207
1484947528,1209,1209
1484949375,1213,1213
1484950220,1211,1211
1484951301,1213,1213
1484952154,1207,1207
1484952974,1212,1212
1484953825,1210,1210
1484955024,1208,1208
1484955941,1211,1211
1484957133,1212,1212
1484957654,1215,1215
1484958618,1218,1218
1484961522,1230,1230
1484962957,1225,1225
1484964082,1219,1219
1484964925,1220,1220
1484965824,1202,1202
1484966561,1208,1208
1484967408,1210,1210
1484968221,1207,1207
1484969294,1216,1216
1484970913,1218,1218
1484972117,1221,1221
1484973755,1210,1210
1484974856,1212,1212
1484976036,1222,1222
1484977231,1220,1220
1484978756,1214,1214
1484979640,1222,1222
1484980515,1218,1218
1484981676,1221,1221
1484982618,1217,1217
1484983634,1219,1219
1484984567,1208,1208
1484985931,1201,1201
1484986831,1205,1205
1484987295,1215,1215
1484988160,1221,1221
1484988976,1224,1224
1484989820,1224,1224
1484991777,1213,1213
1484992574,1216,1216
1484993657,1211,1211
1484994622,1210,1210
1484995548,1212,1212
1484996458,1204,1204
1484997265,1204,1204
1484998224,1200,1200
1484999136,1205,1205
1484999775,1211,1211
1485000621,1209,1209
1485001698,1212,1212
1485002563,1204,1204
1485004223,1204,1204
1485005295,1208,1208
1485006341,1199,1199
1485008443,1204,1204
1485008895,1211,1211
1485009992,1208,1208
1485011420,1206,1206
1485012464,1208,1208
1485013358,1197,1197
1485015255,1191,1191
1485016220,1182,1182
1485016971,1186,1186
1485018343,1184,1184
1485019241,1191,1191
1485019696,1194,1194
1485021672,1179,1179
1485022457,1183,1183
1485023421,1177,1177
1485024340,1175,1175
1485026055,1170,1170
1485027024,1158,1158
1485028262,1162,1162
1485029267,1157,1157
1485030231,1165,1165
1485031689,1154,1154
1485032737,1148,1148
1485034088,1152,1152
1485035812,1147,1147
1485036917,1143,1143
1485037819,1132,1132
1485038866,1133,1133
1485041421,1126,1126
1485042343,1127,1127
1485043544,1121,1121
1485044435,1126,1126
1485045381,1123,1123
1485046370,1129,1129
1485047418,1130,1130
1485048620,1116,1116
1485049545,1114,1114
1485050176,1116,1116
1485051020,1115,1115
1485052227,1117,1117
1485053196,1120,1120
1485053773,1120,1120
1485054618,1112,1112
1485055697,1113,1113
1485057376,1104,1104
1485058219,1110,1110
1485059421,1099,1099
1485061054,1098,1098
1485062119,1088,1088
1485063025,1076,1076
1485063784,1077,1077
1485065358,1083,1083
1485066236,1086,1086
1485067358,1083,1083
1485068376,1075,1075
1485069259,1078,1078
1485070511,1080,1080
1485072624,1087,1087
1485073712,1090,1090
1485074760,1085,1085
1485075750,1086,1086
1485076851,1085,1085
1485078175,1079,1079
1485080126,1069,1069
1485081021,1065,1065
1485081779,1070,1070
1485083656,1073,1073
1485084623,1067,1067
1485085372,1064,1064
1485086176,1067,1067
1485087020,1069,1069
1485088974,1069,1069
1485089780,1070,1070
1485090622,1067,1067
1485091658,1068,1068
1485092742,1062,1062
1485094834,1056,1056
1485095865,1054,1054
1485097814,1057,1057
1485098683,1058,1058
1485099931,1046,1046
1485100726,1038,1038
1485101714,1042,1042
1485102624,1046,1046
1485103378,1050,1050
1485105256,1053,1053
1485106133,1059,1059
1485106966,1052,1052
1485108361,1053,1053
1485110552,1041,1041
1485111447,1043,1043
1485112520,1041,1041
1485113424,1038,1038
1485114353,1038,1038
1485116115,1041,1041
1485117026,1034,1034
1485117775,1037,1037
1485119420,1035,1035
1485120494,1037,1037
1485121317,1032,1032
1485122119,1033,1033
1485123021,1028,1028
1485123260,1029,1029
1485124223,1022,1022
1485124972,1025,1025
1485126927,1021,1021
1485127717,1024,1024
1485128750,1008,1008
1485130522,1003,1003
1485131719,1006,1006
1485132975,1009,1009
1485133816,999,999
1485134665,1003,1003
1485136605,1001,1001
1485138015,1001,1001
1485139516,990,990
1485140639,987,987
1485142083,995,995
1485145217,986,986
1485146535,978,978
1485147564,981,981
1485148524,984,984
1485149424,978,978
