DateTime,AddedIPs,RemovedIPs
1487395204,93,8
1487396105,69,184
1487397364,40,72
1487398204,39,138
1487399104,44,1
1487400004,43,268
1487401105,34,139
1487402044,41,12
1487402894,36,0
1487403905,48,296
1487404975,51,160
1487406008,61,1
1487406484,26,0
1487408309,121,466
1487409305,76,15
1487410205,64,250
1487410931,51,76
1487411906,44,192
1487412905,62,33
1487413684,33,1
1487414602,51,271
1487415505,37,143
1487416805,69,13
1487417620,36,208
1487418127,27,79
1487419010,47,0
1487419878,37,166
1487420885,56,1
1487421904,70,510
1487423106,69,143
1487424005,48,2
1487424905,54,317
1487425748,59,96
1487427874,148,210
1487429704,74,397
1487431207,60,285
1487432528,64,442
1487433481,92,1
1487434504,116,256
1487435284,96,0
1487436124,65,350
1487437105,44,164
1487438045,48,11
1487438877,51,1
1487439904,46,324
1487441404,97,160
1487442475,54,1
1487443504,39,339
1487445245,112,167
1487446074,61,1
1487447652,73,360
1487448604,43,139
1487449672,50,1
1487450824,65,328
1487451745,34,183
1487452645,32,1
1487453548,47,228
1487454488,38,57
1487455286,41,168
1487456044,29,0
1487456868,40,2
1487457904,51,282
1487458827,44,161
1487459645,41,0
1487460466,40,2
1487461505,52,320
1487462164,28,0
1487463324,37,118
1487464695,70,199
1487465765,50,73
1487466605,28,157
1487467665,42,1
1487468524,33,229
1487469470,38,0
1487470414,26,153
1487471273,33,1
1487472085,37,274
1487473051,31,0
1487474105,26,136
1487475005,47,300
1487475908,26,140
1487476758,35,195
1487477705,85,10
1487478484,65,0
1487479325,172,254
1487480269,183,1
1487481304,216,125
1487482205,171,182
1487482926,159,107
1487483855,158,0
1487484904,245,127
1487485804,173,218
1487486708,229,0
1487487904,270,236
1487488804,200,0
1487489629,142,238
1487490125,76,0
1487491037,183,0
1487492045,176,337
1487492884,106,0
1487493908,59,336
1487495644,165,123
1487496484,126,0
1487498268,368,220
1487499224,178,158
1487500049,192,0
1487500929,189,173
1487501820,188,1
1487503649,329,219
1487504707,177,413
1487506205,268,278
1487507247,147,0
1487508128,142,672
1487508958,138,1
1487509805,162,452
1487510844,187,1
1487511729,112,519
1487512659,153,0
1487513705,94,659
1487514484,42,0
1487516104,138,797
1487517305,242,537
1487518805,274,715
1487519705,170,0
1487520575,153,377
1487521563,162,0
1487523650,409,1087
1487524504,196,0
1487525405,145,591
1487526233,139,240
1487527034,146,0
1487528043,219,424
1487529005,157,618
1487529864,144,166
1487531033,204,447
1487532007,179,0
1487533205,180,105
1487534240,184,0
1487535305,144,64
1487536084,36,1
1487536927,65,72
1487537832,66,0
1487538909,79,63
1487539805,64,90
1487540709,75,27
1487541763,141,53
1487542755,122,1
1487543704,79,103
1487544127,35,0
1487545035,80,0
1487546105,106,122
1487547006,102,75
1487547726,62,24
1487548564,69,1
1487549404,73,61
1487550264,65,0
1487551504,181,59
1487553069,293,77
1487554026,205,0
1487554930,172,97
1487555821,191,1
1487557636,368,54
1487558704,248,91
1487559629,181,52
1487560504,214,0
1487561409,177,113
1487562305,180,18
1487563504,266,69
1487564822,247,0
1487565728,110,114
1487566616,102,0
1487567704,131,40
1487568579,83,80
1487569504,192,29
1487570704,228,50
1487571604,206,2
1487572805,270,104
1487573704,181,0
1487574604,196,58
1487575684,208,0
1487576704,187,114
1487577904,236,141
1487578805,203,0
1487579677,218,120
1487580125,101,35
1487581009,145,0
