DateTime,AddedIPs,RemovedIPs
1487058315,73,3
1487059269,118,57
1487060052,131,2
1487060899,97,0
1487061779,115,67
1487062645,121,1
1487063440,79,45
1487064273,127,1
1487065108,106,67
1487065333,24,14
1487066469,127,30
1487067321,119,3
1487068213,85,39
1487068931,111,1
1487069769,93,0
1487070616,53,46
1487071510,73,1
1487072534,108,61
1487073639,124,67
1487074457,83,1
1487075420,131,59
1487076477,125,3
1487077515,160,63
1487078414,98,1
1487079620,192,60
1487080513,100,3
1487080844,57,29
1487081712,152,4
1487082491,121,2
1487083331,176,48
1487084358,138,52
1487085254,165,1
1487086215,140,50
1487087773,235,27
1487088614,103,38
1487089690,127,0
1487090533,127,60
1487091328,101,3
1487092160,98,42
1487092980,124,2
1487094019,132,49
1487094974,100,4
1487095818,144,43
1487096891,150,7
1487098861,267,61
1487099718,78,3
1487100652,130,45
1487101523,141,24
1487102178,61,0
1487103017,143,30
1487104100,141,5
1487104945,92,50
1487105793,127,2
1487106615,107,33
1487107691,150,6
1487108715,232,97
1487109591,150,29
1487110516,138,19
1487111418,143,55
1487112312,119,14
1487112970,77,5
1487113818,104,66
1487114060,17,0
1487115015,63,80
1487115733,83,1
1487116858,130,93
1487117717,65,1
1487118614,49,91
1487119434,46,0
1487120442,61,66
1487121251,73,0
1487122214,58,88
1487123064,54,24
1487124054,97,62
1487124912,87,0
1487125841,82,113
1487127316,100,21
1487128211,72,41
1487129342,82,2
1487130314,70,84
1487131256,77,85
1487133310,176,78
1487134366,80,28
1487135411,108,51
1487137513,164,140
1487138438,104,109
1487139305,63,1
1487140213,44,98
1487140935,72,55
1487142060,109,115
1487142858,61,0
1487143697,89,0
1487144714,76,156
1487145579,75,99
1487146514,54,13
1487147390,81,126
1487148313,130,1
1487149239,82,173
1487150121,86,6
1487151022,127,126
1487151915,101,22
1487152723,67,61
1487153717,144,13
1487154609,92,108
1487156095,161,50
1487157504,160,114
1487158341,121,112
1487158944,94,37
1487160057,209,83
1487160912,150,2
1487161814,167,109
1487162711,85,39
1487163638,131,77
1487165051,191,7
1487166001,104,161
1487167042,115,2
1487168120,154,118
1487169019,167,100
1487169826,93,71
1487170834,130,121
1487171851,155,6
1487172491,86,3
1487173336,147,208
1487174456,115,137
1487175314,172,2
1487176207,180,173
1487176934,102,64
1487178048,214,94
1487178852,103,2
1487179810,144,155
1487180713,198,1
1487181659,126,133
1487182812,188,4
1487183708,122,84
1487184519,87,33
1487185370,84,49
1487186165,122,3
1487187006,117,83
1487187913,113,2
1487188803,95,66
1487189607,87,7
1487190584,125,65
1487191484,97,27
1487192282,72,2
1487193312,120,86
1487194210,107,104
1487195113,77,38
1487195998,84,96
1487196917,95,13
1487197795,107,128
1487198712,63,57
1487199599,95,121
1487200816,119,13
1487201627,98,131
1487203196,118,165
1487204530,105,8
1487205963,136,193
1487206803,58,89
1487207706,70,14
1487208599,67,180
1487209512,73,74
1487210359,94,93
1487211173,60,11
1487213112,142,234
1487213991,89,110
1487214914,55,12
1487215837,62,159
1487216714,55,54
1487217589,50,45
1487218457,52,10
1487219393,50,79
1487220312,64,35
1487221187,44,87
1487222113,52,10
1487222980,60,117
1487223739,75,51
1487224798,64,88
1487225651,79,18
1487226491,55,0
1487228116,128,209
1487229013,63,109
1487229833,73,1
1487230690,102,191
1487231710,89,66
1487232040,30,121
1487232917,100,1
1487233789,116,227
1487234712,96,53
1487235579,82,120
1487236831,130,8
1487238140,134,273
1487239181,118,121
1487240419,161,8
1487241318,86,134
1487241744,34,60
1487242572,97,2
1487243415,88,117
1487244490,80,1
1487245332,102,248
1487246374,100,148
1487247314,102,25
1487248189,60,188
1487249055,80,85
1487249770,76,2
1487250614,65,151
1487251736,121,2
