DateTime,Entries,UniqueIPs
1487482936,24181,24181
1487483861,24326,24326
1487484915,24448,24448
1487485812,24415,24415
1487486722,24620,24620
1487487911,24652,24652
1487488816,24812,24812
1487489635,24727,24727
1487490137,24798,24798
1487491043,24970,24970
1487492051,24824,24824
1487492893,24911,24911
1487493917,24666,24666
1487495650,24698,24698
1487496490,24806,24806
1487498274,24945,24945
1487499231,24946,24946
1487500056,25100,25100
1487500941,25112,25112
1487501826,25278,25278
1487503662,25376,25376
1487504722,25166,25166
1487506217,25153,25153
1487507253,25283,25283
1487508142,24788,24788
1487508964,24916,24916
1487509816,24642,24642
1487510852,24817,24817
1487511743,24424,24424
1487512665,24549,24549
1487513712,23998,23998
1487514494,24027,24027
1487516110,23389,23389
1487517320,23148,23148
1487518816,22831,22831
1487519711,22977,22977
1487520585,22759,22759
1487521574,22903,22903
1487523660,22246,22246
1487524513,22418,22418
1487525417,21975,21975
1487526245,21865,21865
1487527041,21985,21985
1487528056,21742,21742
1487529020,21299,21299
1487529874,21274,21274
1487531050,21034,21034
1487532019,21180,21180
1487533216,21273,21273
1487534246,21440,21440
1487535314,21513,21513
1487536090,21540,21540
1487536938,21561,21561
1487537839,21599,21599
1487538918,21610,21610
1487539816,21602,21602
1487540721,21648,21648
1487541775,21742,21742
1487542761,21840,21840
1487543710,21811,21811
1487544135,21847,21847
1487545041,21897,21897
1487546120,21865,21865
1487547020,21915,21915
1487547741,21951,21951
1487548570,22001,22001
1487549412,22020,22020
1487550270,22071,22071
1487551511,22190,22190
1487553076,22394,22394
1487554033,22594,22594
1487554936,22690,22690
1487555827,22861,22861
1487556850,23021,23021
1487558053,23210,23210
1487559424,23465,23465
1487560516,23665,23665
1487561422,23779,23779
1487562313,23931,23931
1487563510,24112,24112
1487564828,24288,24288
1487565736,24343,24343
1487566621,24426,24426
1487567713,24530,24530
1487568585,24547,24547
1487569519,24708,24708
1487570713,24894,24894
1487571615,25079,25079
1487572813,25257,25257
1487573710,25415,25415
1487574613,25572,25572
1487575693,25759,25759
1487576717,25863,25863
1487577912,26019,26019
1487578817,26207,26207
1487579683,26340,26340
1487580136,26407,26407
1487581015,26528,26528
1487581822,26562,26562
1487582691,26614,26614
1487583620,26651,26651
1487584615,26727,26727
1487585420,26742,26742
1487586498,26786,26786
1487587515,26778,26778
1487588714,26776,26776
1487589615,26821,26821
1487590822,26827,26827
1487591814,26872,26872
1487592620,26874,26874
1487593694,26924,26924
1487594531,26914,26914
1487595426,26970,26970
1487596454,26930,26930
1487597427,26919,26919
1487598318,26956,26956
1487599177,26964,26964
1487600051,27000,27000
1487601014,26981,26981
1487601917,27053,27053
1487603716,27330,27330
1487604616,27444,27444
1487605340,27576,27576
1487606205,27731,27731
1487607012,27784,27784
1487607805,27907,27907
1487608731,28030,28030
1487609805,28183,28183
1487610619,28291,28291
1487611820,28425,28425
1487612717,28563,28563
1487613913,28755,28755
1487614451,28833,28833
1487616016,28829,28829
1487616912,28868,28868
1487617782,28877,28877
1487618799,28904,28904
1487619742,28893,28893
1487620596,28915,28915
1487621417,28881,28881
1487622397,28910,28910
1487623218,28870,28870
1487624205,28901,28901
1487625309,28895,28895
1487626542,28857,28857
1487627794,28890,28890
1487628615,28857,28857
