DateTime,Entries,UniqueIPs
1486807050,139,139
1486813295,136,136
1486814829,139,139
1486818921,140,140
1486820539,141,141
1486822029,142,142
1486822856,143,143
1486825402,144,144
1486826502,143,143
1486827817,142,142
1486829069,141,141
1486832222,142,142
1486833328,140,140
1486834779,139,139
1486836340,140,140
1486839682,117,117
1486840522,116,116
1486841971,118,118
1486842914,120,120
1486844350,119,119
1486846975,118,118
1486850254,117,117
1486851120,117,117
1486851920,116,116
1486856152,117,117
1486858826,117,117
1486860058,116,116
1486862114,115,115
1486863599,117,117
1486865016,117,117
1486866076,117,117
1486866887,116,116
1486868398,116,116
1486869325,117,117
1486870938,118,118
1486872245,117,117
1486875660,118,118
1486878010,118,118
1486879447,119,119
1486880614,118,118
1486881467,117,117
1486883657,118,118
1486884998,118,118
1486885815,119,119
1486886792,120,120
1486887689,121,121
1486888098,122,122
1486890142,123,123
1486890859,123,123
1486892030,124,124
1486894387,126,126
1486895426,127,127
1486897425,126,126
1486899664,126,126
1486900581,127,127
1486904600,128,128
1486907117,127,127
1486912526,131,131
1486914249,127,127
1486918920,128,128
1486921633,129,129
1486922649,134,134
1486923912,133,133
1486924884,131,131
1486926274,131,131
1486928659,132,132
1486934497,133,133
1486937978,133,133
1486939231,135,135
1486940541,136,136
1486941403,137,137
1486942806,137,137
1486944854,137,137
1486945823,138,138
1486947750,136,136
1486951330,138,138
1486953740,139,139
1486955654,139,139
1486960330,139,139
1486961121,140,140
1486962170,139,139
1486963644,142,142
1486967420,140,140
1486968272,141,141
1486970057,139,139
1486971019,140,140
1486972228,142,142
1486975344,141,141
1486977535,141,141
1486978952,145,145
1486980624,145,145
1486984822,144,144
1486986023,144,144
1486986931,144,144
1486987821,143,143
1486989925,144,144
1486990914,147,147
1486993521,148,148
1486994517,147,147
1486995320,144,144
1486996227,142,142
1486998113,140,140
1486998925,142,142
1487000723,142,142
1487001595,143,143
1487002520,144,144
1487007033,144,144
1487009724,149,149
1487010628,150,150
1487011335,151,151
1487012346,150,150
1487014232,149,149
1487016114,149,149
1487017899,150,150
1487019719,147,147
1487020524,149,149
1487021365,149,149
1487022984,150,150
1487023819,150,150
1487027725,151,151
1487028626,157,157
1487030492,158,158
1487031500,160,160
1487032298,160,160
1487034085,160,160
1487035217,161,161
1487036542,162,162
1487037380,163,163
