DateTime,Entries,UniqueIPs
1484709610,18635,18635
1484710407,18466,18466
1484710931,18479,18479
1484713209,18380,18380
1484714200,18343,18343
1484715171,18356,18356
1484717094,18353,18353
1484718012,18243,18243
1484718130,18253,18253
1484719809,18272,18272
1484720708,18288,18288
1484722508,18191,18191
1484723412,18081,18081
1484725510,17999,17999
1484727309,17923,17923
1484728813,17801,17801
1484729710,17816,17816
1484730609,17747,17747
1484731690,17763,17763
1484732537,17624,17624
1484733371,17644,17644
1484734211,17559,17559
1484735412,17449,17449
1484736668,17468,17468
1484737733,17368,17368
1484738615,17389,17389
1484739615,17279,17279
1484739737,17280,17280
1484741114,17169,17169
1484741969,17183,17183
1484743331,17005,17005
1484744169,17015,17015
1484745011,16948,16948
1484746087,16968,16968
1484746934,16807,16807
1484748848,16765,16765
1484749813,16663,16663
1484750656,16679,16679
1484751369,16696,16696
1484752448,16509,16509
1484753254,16524,16524
1484754138,16300,16300
1484755191,16283,16283
1484756047,16331,16331
1484756880,16384,16384
1484757824,16297,16297
1484758568,16340,16340
1484759409,16203,16203
1484760490,16225,16225
1484761737,16129,16129
1484763308,16003,16003
1484764212,15869,15869
1484765109,15877,15877
1484765769,15884,15884
1484766609,15778,15778
1484768672,15632,15632
1484770448,15583,15583
1484771410,15477,15477
1484772130,15448,15448
1484773508,15403,15403
1484775009,15272,15272
1484775830,15278,15278
1484776716,15135,15135
1484777649,15135,15135
1484778611,15029,15029
1484779509,15002,15002
1484781013,14911,14911
1484782211,14789,14789
1484783111,14796,14796
1484783767,14801,14801
1484784609,14666,14666
1484785687,14675,14675
1484786707,14508,14508
1484788511,14447,14447
1484790131,14268,14268
1484791810,14179,14179
1484793736,14060,14060
1484794932,13917,13917
1484796010,13927,13927
1484797329,13740,13740
1484799607,13509,13509
1484800813,13338,13338
1484801710,13400,13400
1484802605,13264,13264
1484803545,13278,13278
1484804408,13087,13087
1484805367,13159,13159
1484806217,13122,13122
1484806447,13139,13139
1484807408,12990,12990
1484808225,12999,12999
1484808970,13006,13006
1484809809,12868,12868
1484810888,12878,12878
1484811733,12739,12739
1484812567,12884,12884
1484813410,12723,12723
1484814232,12732,12732
1484815123,12611,12611
1484816188,12620,12620
1484817009,12462,12462
1484817248,12465,12465
1484818209,12334,12334
1484819111,12301,12301
1484820318,12191,12191
1484821215,12204,12204
1484821688,12210,12210
1484822534,12008,12008
1484824210,11835,11835
1484826132,11573,11573
1484826968,11583,11583
1484827809,11266,11266
1484828887,11269,11269
1484830567,11014,11014
1484831409,10686,10686
1484831649,10689,10689
1484832609,10420,10420
1484833410,10427,10427
1484834169,10432,10432
1484835009,10189,10189
1484836932,9872,9872
1484838288,9676,9676
1484839134,9688,9688
1484840110,9355,9355
1484841514,9172,9172
1484842482,9225,9225
1484843329,9286,9286
1484844311,9209,9209
1484845513,9091,9091
1484846050,9097,9097
1484846846,9104,9104
1484847729,8882,8882
1484848783,8771,8771
1484849711,8771,8771
1484850611,8603,8603
1484851518,8533,8533
1484852169,8547,8547
1484853010,8382,8382
1484855044,8272,8272
1484856313,8151,8151
1484857213,8161,8161
1484858107,8053,8053
1484859227,8065,8065
1484860208,7970,7970
1484861409,7888,7888
1484862308,7861,7861
1484863393,7788,7788
1484864887,7799,7799
1484865907,7703,7703
1484867409,7597,7597
1484868361,7604,7604
1484869333,7487,7487
1484870223,7498,7498
1484871309,7448,7448
1484872213,7371,7371
1484873271,7341,7341
1484874313,7292,7292
1484875208,7300,7300
1484876108,7229,7229
1484877039,7235,7235
1484878611,7171,7171
1484879411,7106,7106
1484880314,7118,7118
1484881511,7056,7056
1484882408,7068,7068
1484882888,7069,7069
1484883734,6887,6887
1484884565,6896,6896
1484885448,6840,6840
1484886359,6850,6850
1484887332,6708,6708
1484888707,6714,6714
1484889609,6771,6771
1484890516,6715,6715
1484891711,6727,6727
1484892609,6727,6727
1484893687,6787,6787
1484895368,6774,6774
1484896213,6703,6703
1484898138,6656,6656
1484899033,6661,6661
1484900047,6613,6613
1484900888,6618,6618
1484903653,6534,6534
1484904617,6464,6464
1484905530,6450,6450
1484906582,6403,6403
1484907609,6411,6411
1484909479,6351,6351
1484910693,6283,6283
1484912670,6243,6243
1484914001,6206,6206
1484914847,6220,6220
1484915686,6177,6177
1484916829,6186,6186
1484918107,6152,6152
1484919539,6108,6108
1484920569,6090,6090
1484921410,6052,6052
1484922609,6007,6007
1484923804,6018,6018
1484925971,5948,5948
1484926935,5821,5821
1484927859,5895,5895
1484928714,5876,5876
1484929638,5968,5968
1484930615,5924,5924
1484932379,5926,5926
1484933670,5931,5931
1484934581,5973,5973
1484935498,5971,5971
1484936400,6010,6010
1484937309,6017,6017
1484938221,6043,6043
1484939409,6040,6040
1484940478,6120,6120
1484941403,6117,6117
1484944341,6399,6399
1484945707,6457,6457
1484946608,6476,6476
1484947511,6526,6526
1484949368,6607,6607
1484950210,6621,6621
1484951290,6679,6679
