DateTime,Entries,UniqueIPs
1484972702,8527,8527
1484973302,8529,8529
1484973902,8537,8537
1484974205,8493,8493
1484975402,8488,8488
1484976003,8487,8487
1484976602,8485,8485
1484977202,8479,8479
1484977803,8479,8479
1484978403,8462,8462
1484979003,8565,8565
1484979602,8564,8564
1484980203,8562,8562
1484980802,8661,8661
1484981402,8849,8849
1484982005,8944,8944
1484982603,8945,8945
1484982904,8930,8930
1484983502,8928,8928
1484984102,8977,8977
1484984404,8957,8957
1484985002,8940,8940
1484985305,8938,8938
1484985903,8936,8936
1484986503,8931,8931
1484987104,8927,8927
1484987703,8919,8919
1484988306,8867,8867
1484988903,8858,8858
1484989505,8880,8880
1484990102,8892,8892
1484990403,8902,8902
1484991003,8896,8896
1484991604,8879,8879
1484992203,8870,8870
1484992804,8873,8873
1484993725,8878,8878
1484994306,8877,8877
1484994903,8875,8875
1484995504,8892,8892
1484996403,8909,8909
1484997003,8917,8917
1484997604,8929,8929
1484998204,8936,8936
1484998802,8937,8937
1484999703,8922,8922
1485000302,8922,8922
1485000910,8849,8849
1485001502,8845,8845
1485002103,8892,8892
1485002709,8870,8870
1485003304,8867,8867
1485003903,8864,8864
1485004204,8863,8863
1485004804,8852,8852
1485005106,8831,8831
1485005701,8932,8932
1485006003,8922,8922
1485006603,8916,8916
1485007205,8916,8916
1485007803,8956,8956
1485008402,9001,9001
1485008703,9049,9049
1485009308,8960,8960
1485009904,8848,8848
1485010504,8887,8887
1485011104,8892,8892
1485011702,8878,8878
1485012004,8898,8898
1485012604,8882,8882
1485013203,8883,8883
1485013803,8884,8884
1485014403,8937,8937
1485015005,8944,8944
1485015609,8863,8863
1485016203,8866,8866
1485016802,8846,8846
1485017106,8853,8853
1485017703,8851,8851
1485018302,8946,8946
1485018604,8956,8956
1485019203,8942,8942
1485019506,8953,8953
1485020103,8952,8952
1485020701,9031,9031
1485021002,9034,9034
1485021602,9072,9072
1485022204,9151,9151
1485022807,9091,9091
1485023404,9085,9085
1485024003,9079,9079
1485024606,9016,9016
1485025219,8752,8752
1485025803,8786,8786
1485026404,8800,8800
1485027003,8824,8824
1485027604,8831,8831
1485028203,8826,8826
1485028803,8927,8927
1485029403,8923,8923
1485029707,8914,8914
1485030303,8928,8928
1485030904,8999,8999
1485031207,8955,8955
1485031804,8997,8997
1485032106,8979,8979
1485032703,8979,8979
1485033302,9075,9075
1485033902,9115,9115
1485034205,9114,9114
1485034804,9138,9138
1485035403,9145,9145
1485036003,9216,9216
1485036305,9220,9220
1485036903,9248,9248
1485037509,9212,9212
1485038108,9202,9202
1485038410,9139,9139
1485039002,9293,9293
1485039306,9283,9283
1485039911,9240,9240
1485040504,9232,9232
1485041102,9247,9247
1485041409,9201,9201
1485042003,9211,9211
1485042602,9317,9317
1485043202,9322,9322
1485043804,9352,9352
1485044106,9284,9284
1485044704,9233,9233
1485045307,9257,9257
1485045903,9256,9256
1485046206,9204,9204
1485046803,9203,9203
1485047403,9204,9204
1485048005,9208,9208
1485048309,9161,9161
1485048904,9202,9202
1485049505,9129,9129
1485050105,9082,9082
1485050701,9063,9063
1485051602,9077,9077
1485052202,9106,9106
1485052804,9154,9154
1485053402,9190,9190
1485054004,9184,9184
1485054602,9183,9183
1485055204,9183,9183
1485055802,9183,9183
1485057002,9276,9276
1485057603,9289,9289
1485058201,9291,9291
1485058803,9290,9290
1485060002,9290,9290
1485060602,9282,9282
1485061202,9284,9284
1485061802,9278,9278
1485062403,9276,9276
1485063002,9287,9287
1485063602,9291,9291
1485063903,9287,9287
1485064504,9282,9282
1485065103,9280,9280
1485065406,9193,9193
1485066003,9192,9192
1485067213,9123,9123
1485067811,8969,8969
1485068116,8975,8975
1485068703,8983,8983
1485069602,8971,8971
1485070206,8919,8919
1485070804,8915,8915
1485071403,9004,9004
1485072004,8993,8993
1485072602,8989,8989
