DateTime,Entries,UniqueIPs
1484273547,5368,5481
1484275461,5364,5477
1484277393,5368,5480
1484279319,5353,5465
1484281228,5341,5453
1484283178,5323,5435
1484285067,5320,5431
1484286991,5314,5424
1484288909,5330,5438
1484290899,5331,5439
1484292754,5342,5449
1484294673,5347,5454
1484296595,5361,5468
1484298522,5348,5455
1484300417,5366,5473
1484302345,5373,5479
1484304271,5356,5461
1484306196,5364,5469
1484308121,5351,5456
1484310057,5346,5451
1484311948,5345,5451
1484313866,5330,5437
1484315779,5345,5452
1484317968,5335,5442
1484319900,5346,5453
1484321798,5350,5457
1484323726,5360,5467
1484325634,5361,5468
1484327549,5373,5480
1484329474,5377,5483
1484331400,5388,5494
1484333321,5375,5481
1484335213,5395,5501
1484337167,5374,5480
1484339065,5378,5485
1484340988,5387,5494
1484342907,5403,5511
1484344921,5387,5494
1484346759,5387,5494
1484348675,5382,5490
1484350598,5376,5483
1484352520,5363,5470
1484354426,5353,5460
1484356368,5360,5468
1484358265,5351,5459
1484360190,5345,5452
1484362103,5344,5452
1484364017,5344,5452
1484365936,5333,5440
1484367873,5338,5444
1484369785,5328,5434
1484371713,5324,5431
1484373697,5312,5420
1484375567,5311,5420
1484377730,5304,5413
1484379646,5325,5434
1484381811,5325,5433
1484383715,5328,5436
1484385629,5335,5443
1484387554,5336,5444
1484389465,5344,5452
1484391388,5345,5454
1484393296,5354,5461
1484395298,5355,5462
1484397439,5363,5469
1484399965,5372,5478
1484402218,5371,5477
1484404587,5374,5480
1484406854,5371,5474
1484408913,5375,5478
1484410837,5372,5475
1484412775,5372,5475
1484414674,5379,5482
1484416581,5388,5491
1484418506,5383,5485
1484420492,5397,5499
1484422356,5389,5488
1484424265,5377,5473
1484426185,5373,5469
1484428099,5374,5469
1484430013,5357,5451
1484431946,5352,5445
1484433848,5348,5442
1484435779,5347,5442
1484437693,5335,5430
1484439624,5330,5425
1484441546,5327,5424
1484443465,5320,5418
1484445386,5307,5406
1484447316,5307,5406
1484449300,5299,5398
1484451161,5296,5396
1484453313,5301,5400
1484455226,5299,5397
1484457151,5291,5389
1484459063,5290,5388
1484461232,5274,5374
1484463155,5279,5380
1484465068,5290,5391
1484466992,5278,5379
1484468912,5289,5390
1484470889,5279,5378
1484472743,5287,5387
1484474922,5253,5350
1484476825,5248,5345
1484478754,5240,5337
1484480660,5240,5337
1484482580,5230,5326
1484484495,5228,5323
1484486431,5225,5319
1484488368,5229,5323
1484490265,5237,5332
1484492192,5212,5305
1484494104,5208,5302
1484496103,5199,5293
1484497957,5188,5282
1484499867,5199,5294
1484501790,5185,5282
1484503704,5197,5294
1484505618,5202,5299
1484507543,5201,5298
1484509447,5200,5297
1484511378,5196,5293
1484513306,5185,5283
1484515229,5193,5291
1484517180,5195,5293
1484519070,5212,5310
1484520990,5208,5307
1484522916,5210,5309
1484524880,5206,5305
1484526763,5222,5320
1484528666,5217,5315
1484530588,5210,5308
1484532504,5194,5292
1484534430,5199,5296
1484536606,5211,5308
1484538508,5211,5307
1484540432,5218,5314
1484542378,5208,5304
1484544266,5225,5322
1484546192,5231,5329
1484548113,5235,5334
1484550096,5242,5341
1484551963,5247,5346
1484554119,5237,5336
1484556028,5236,5335
1484558041,5228,5326
1484559865,5233,5331
1484561784,5230,5328
1484563699,5225,5323
1484565640,5226,5324
1484567535,5220,5318
1484569461,5213,5311
1484571381,5220,5318
1484573311,5230,5329
1484575280,5237,5336
1484577140,5247,5346
1484579068,5255,5353
1484580999,5246,5344
1484582923,5231,5329
1484584928,5223,5322
1484586752,5227,5326
1484588661,5223,5325
1484590835,5236,5339
1484592757,5241,5344
1484594662,5261,5364
1484596584,5259,5362
1484598511,5251,5353
1484600486,5234,5335
1484602350,5225,5327
1484604272,5212,5314
1484606187,5203,5304
1484608110,5209,5310
1484610014,5205,5306
1484611962,5221,5323
1484613860,5247,5349
1484616041,5257,5359
1484617974,5260,5362
1484619865,5274,5376
1484621784,5269,5371
1484623706,5279,5382
1484625730,5279,5382
1484627565,5268,5371
1484629712,5256,5359
1484631640,5250,5354
1484633546,5257,5361
1484635447,5270,5374
1484637405,5279,5383
1484639308,5281,5387
1484641240,5286,5392
1484643181,5289,5395
1484645151,5288,5394
1484646987,5289,5395
1484648893,5279,5385
1484650902,5282,5388
1484652754,5282,5390
1484654663,5278,5386
1484656599,5285,5393
1484658531,5279,5386
1484660436,5282,5389
1484662367,5286,5394
1484664263,5280,5389
1484666210,5277,5386
1484668125,5284,5392
1484670044,5280,5388
1484671936,5287,5394
1484674126,5293,5400
1484676093,5294,5401
1484677955,5285,5393
1484680136,5272,5379
1484682027,5271,5377
1484683960,5278,5384
1484685875,5282,5389
1484687787,5282,5391
1484689700,5283,5392
1484691616,5276,5387
1484693545,5272,5385
1484695467,5276,5388
1484697385,5275,5387
1484699324,5271,5383
1484701297,5264,5376
1484703158,5254,5366
1484705071,5257,5370
1484706995,5250,5362
1484708927,5233,5345
1484710830,5225,5337
1484712765,5219,5329
1484714660,5227,5334
1484716599,5220,5326
1484718513,5218,5324
1484720441,5219,5325
1484722358,5232,5338
1484724267,5235,5340
1484726196,5227,5332
1484728096,5233,5338
1484730099,5238,5343
1484732041,5241,5346
1484734134,5243,5348
1484736033,5242,5347
1484737957,5244,5348
1484739870,5242,5346
1484741805,5230,5332
1484743714,5229,5333
1484745625,5228,5332
1484747565,5233,5338
1484749453,5240,5346
1484751254,5243,5349
1484753059,5243,5349
1484754983,5230,5336
1484756902,5231,5338
1484758890,5223,5330
1484760743,5213,5321
1484762920,5206,5314
1484764837,5192,5298
1484766764,5201,5307
1484768664,5194,5299
1484770611,5193,5298
1484772517,5197,5301
1484774443,5196,5299
1484776364,5182,5284
1484778266,5184,5286
1484780184,5167,5268
1484782109,5159,5260
1484784095,5159,5260
1484785977,5143,5244
1484788130,5146,5247
1484790033,5136,5237
1484791953,5140,5241
1484793865,5153,5254
1484795802,5163,5264
1484797713,5175,5276
1484799654,5180,5281
1484801557,5175,5279
1484803471,5179,5284
1484805394,5175,5280
1484807319,5169,5274
1484809322,5165,5269
1484812114,5160,5263
1484814040,5150,5254
1484815976,5148,5252
