DateTime,AddedIPs,RemovedIPs
1484273547,39,49
1484275461,51,38
1484277393,31,49
1484279319,41,29
1484281228,28,46
1484283178,26,29
1484285067,38,22
1484286991,40,34
1484288909,55,51
1484290899,47,49
1484292754,62,48
1484294673,49,61
1484296595,37,48
1484298522,30,40
1484300417,36,29
1484302345,39,39
1484304271,25,42
1484306196,36,24
1484308121,26,38
1484310057,30,25
1484311948,28,30
1484313866,30,28
1484315779,48,27
1484317968,45,39
1484319900,38,53
1484321798,31,37
1484323726,31,32
1484325634,20,33
1484327549,46,19
1484329474,35,43
1484331400,34,32
1484333321,49,39
1484335213,38,49
1484337167,16,34
1484339065,43,20
1484340988,27,42
1484342907,56,26
1484344921,14,59
1484346759,17,14
1484348675,27,16
1484350598,22,26
1484352520,28,23
1484354426,27,30
1484356368,23,27
1484358265,39,21
1484360190,30,37
1484362103,37,30
1484364017,33,37
1484365936,34,31
1484367873,42,31
1484369785,21,46
1484371713,43,20
1484373697,21,46
1484375567,59,22
1484377730,42,51
1484379646,53,46
1484381811,31,53
1484383715,30,33
1484385629,35,30
1484387554,37,36
1484389465,19,40
1484391388,29,19
1484393296,31,29
1484395298,25,31
1484397439,26,23
1484399965,28,29
1484402218,22,28
1484404587,27,18
1484406854,50,26
1484408913,43,46
1484410837,37,45
1484412775,31,39
1484414674,50,34
1484416581,47,46
1484418506,50,41
1484420492,38,49
1484422356,45,40
1484424265,45,44
1484426185,49,47
1484428099,50,48
1484430013,39,48
1484431946,50,41
1484433848,51,58
1484435779,43,50
1484437693,36,42
1484439624,30,37
1484441546,49,27
1484443465,31,53
1484445386,44,28
1484447316,40,39
1484449300,44,47
1484451161,47,39
1484453313,44,48
1484455226,42,47
1484457151,39,37
1484459063,39,42
1484461232,58,44
1484463155,43,52
1484465068,52,43
1484466992,39,54
1484468912,21,42
1484470889,38,23
1484472743,33,35
1484474922,32,32
1484476825,20,36
1484478754,24,22
1484480660,23,25
1484482580,27,22
1484484495,22,27
1484486431,30,20
1484488368,27,30
1484490265,48,26
1484492192,22,45
1484494104,43,24
1484496103,42,39
1484497957,40,42
1484499867,41,34
1484501790,46,45
1484503704,35,44
1484505618,41,34
1484507543,49,42
1484509447,39,50
1484511378,41,40
1484513306,49,39
1484515229,49,47
1484517180,43,50
1484519070,49,44
1484520990,21,56
1484522916,47,19
1484524880,23,46
1484526763,46,27
1484528666,28,39
1484530588,24,31
1484532504,29,21
1484534430,39,37
1484536606,54,34
1484538508,39,45
1484540432,49,46
1484542378,30,49
1484544266,55,34
1484546192,42,53
1484548113,57,48
1484550096,47,42
1484551963,55,56
1484554119,43,50
1484556028,27,49
1484558041,20,30
1484559865,38,22
1484561784,19,36
1484563699,20,23
1484565640,25,20
1484567535,26,21
1484569461,26,24
1484571381,44,24
1484573311,43,40
1484575280,36,49
1484577140,28,38
1484579068,43,21
1484580999,22,43
1484582923,19,30
1484584928,47,20
1484586752,37,45
1484588661,44,31
1484590835,45,47
1484592757,17,48
1484594662,52,15
1484596584,29,51
1484598511,39,31
1484600486,25,39
1484602350,34,27
1484604272,32,35
1484606187,33,33
1484608110,27,30
1484610014,29,24
1484611962,41,28
1484613860,62,44
1484616041,41,63
1484617974,32,42
1484619865,51,29
1484621784,27,51
1484623706,48,28
1484625730,20,48
1484627565,24,17
1484629712,22,26
1484631640,27,27
1484633546,39,29
1484635447,56,38
1484637405,44,48
1484639308,54,42
1484641240,28,59
1484643181,26,31
1484645151,23,25
1484646987,29,20
1484648893,20,33
1484650902,21,22
1484652754,35,21
1484654663,21,32
1484656599,30,23
1484658531,22,30
1484660436,32,22
1484662367,41,23
1484664263,44,42
1484666210,17,54
1484668125,55,15
1484670044,27,50
1484671936,38,31
1484674126,43,37
1484676093,25,45
1484677955,27,20
1484680136,27,28
1484682027,27,24
1484683960,37,30
1484685875,40,32
1484687787,34,46
1484689700,48,29
1484691616,40,49
1484693545,26,44
1484695467,60,29
1484697385,23,56
1484699324,37,27
1484701297,24,36
1484703158,33,25
1484705071,37,30
1484706995,27,39
1484708927,22,26
1484710830,27,21
