DateTime,Entries,UniqueIPs
1479714979,1409,1409
1479725801,1410,1410
1479736840,1412,1412
1479747913,1419,1419
1479758884,1415,1415
1479769880,1410,1410
1479779554,1413,1413
1479790512,1416,1416
1479801152,1411,1411
1479811950,1414,1414
1479822830,1411,1411
1479833749,1411,1411
1479844823,1411,1411
1479856117,1422,1422
1479867127,1428,1428
1479877705,1425,1425
1479888133,1422,1422
1479899006,1427,1427
1479910041,1426,1426
1479920828,1431,1431
1479931862,1433,1433
1479942902,1437,1437
1479953485,1440,1440
1479963731,1439,1439
1479974364,1438,1438
1479985241,1439,1439
1479995886,1448,1448
1480005820,1443,1443
1480016765,1438,1438
1480027672,1437,1437
1480038693,1431,1431
1480049765,1427,1427
1480060238,1427,1427
1480071219,1433,1433
1480082051,1428,1428
1480092893,1419,1419
1480104028,1412,1412
1480115045,1414,1414
1480125815,1415,1415
1480136880,1416,1416
1480147911,1418,1418
1480158815,1413,1413
1480169753,1411,1411
1480180646,1412,1412
1480191436,1411,1411
1480202273,1412,1412
1480213204,1412,1412
1480223975,1409,1409
1480235038,1406,1406
1480245946,1403,1403
1480256826,1401,1401
1480267812,1391,1391
1480278716,1387,1387
1480289741,1379,1379
1480300521,1366,1366
1480311524,1362,1362
1480322645,1352,1352
1480333548,1345,1345
1480344260,1351,1351
1480355287,1348,1348
1480366225,1349,1349
1480377348,1341,1341
1480388186,1340,1340
1480398854,1339,1339
1480409461,1339,1339
1480420367,1329,1329
1480431273,1337,1337
1480441652,1334,1334
1480452615,1338,1338
1480463444,1342,1342
1480474286,1340,1340
1480485230,1335,1335
1480496017,1331,1331
1480506885,1330,1330
1480517946,1335,1335
1480528940,1335,1335
1480539730,1335,1335
1480550573,1337,1337
1480560788,1343,1343
1480571766,1345,1345
1480582561,1343,1343
1480593573,1340,1340
1480604670,1338,1338
1480615469,1336,1336
1480626334,1337,1337
1480637186,1338,1338
1480648274,1337,1337
1480659363,1337,1337
1480669753,1335,1335
1480680620,1339,1339
1480691484,1342,1342
1480702445,1344,1344
1480713009,1342,1342
1480723923,1342,1342
1480734970,1351,1351
1480746023,1350,1350
1480757284,1350,1350
1480768291,1350,1350
1480779271,1347,1347
1480790304,1350,1350
1480801278,1348,1348
1480812195,1344,1344
1480823039,1346,1346
1480834260,1351,1351
1480845248,1350,1350
1480855886,1354,1354
1480866803,1363,1363
1480877600,1366,1366
1480887939,1365,1365
1480898853,1371,1371
1480909847,1377,1377
1480920884,1378,1378
1480931257,1376,1376
1480942061,1376,1376
1480953138,1377,1377
1480964171,1375,1375
1480974944,1377,1377
1480986309,1373,1373
1480997266,1376,1376
1481007882,1371,1371
1481018408,1373,1373
1481029890,1369,1369
1481040846,1370,1370
1481052699,1371,1371
1481063571,1372,1372
1481074316,1373,1373
1481086429,1375,1375
1481097653,1379,1379
1481109794,1383,1383
1481121653,1387,1387
1481132243,1391,1391
1481142997,1392,1392
1481151994,1389,1389
1481162866,1380,1380
1481173863,1382,1382
1481184829,1384,1384
1481195747,1382,1382
1481207063,1380,1380
1481218100,1377,1377
1481228904,1372,1372
1481239860,1369,1369
1481250826,1368,1368
1481261523,1373,1373
1481272425,1376,1376
1481283325,1376,1376
1481294137,1371,1371
1481304999,1372,1372
1481315954,1365,1365
1481326901,1360,1360
1481337379,1361,1361
1481348350,1355,1355
1481359296,1350,1350
1481370152,1353,1353
1481380853,1350,1350
1481391776,1348,1348
1481402609,1347,1347
1481413644,1352,1352
1481424649,1352,1352
1481435729,1349,1349
1481446732,1342,1342
1481456748,1336,1336
1481467467,1337,1337
1481478428,1339,1339
1481489769,1338,1338
1481500598,1335,1335
1481511582,1337,1337
1481522274,1335,1335
1481532607,1332,1332
1481542678,1331,1331
1481553604,1331,1331
1481564262,1329,1329
1481575202,1336,1336
1481585985,1332,1332
1481597003,1330,1330
1481608009,1328,1328
1481619067,1327,1327
1481629385,1319,1319
1481640463,1317,1317
1481651482,1322,1322
1481662487,1319,1319
1481673682,1316,1316
1481684396,1312,1312
1481695238,1307,1307
1481706492,1312,1312
1481717388,1309,1309
1481728581,1309,1309
1481739567,1318,1318
1481750595,1325,1325
1481761627,1331,1331
1481772464,1331,1331
1481783490,1338,1338
1481794800,1339,1339
1481805505,1342,1342
1481816624,1343,1343
1481827285,1345,1345
1481838131,1348,1348
1481849177,1351,1351
1481860041,1355,1355
1481871141,1362,1362
1481881954,1366,1366
1481892959,1370,1370
1481903713,1368,1368
1481914763,1365,1365
1481925821,1365,1365
1481936714,1370,1370
1481947130,1369,1369
1481957981,1365,1365
1481968384,1364,1364
1481979302,1364,1364
1481990453,1359,1359
1482001424,1360,1360
1482012468,1363,1363
1482023712,1358,1358
1482034835,1354,1354
1482045436,1349,1349
1482056404,1344,1344
1482067417,1347,1347
1482078403,1353,1353
1482089341,1350,1350
1482100315,1351,1351
1482138622,1335,1335
1482148726,1332,1332
1482159982,1333,1333
1482170494,1331,1331
1482181164,1328,1328
1482192263,1321,1321
1482203163,1325,1325
1482214069,1326,1326
1482225056,1324,1324
1482236134,1315,1315
1482247216,1315,1315
1482258156,1317,1317
1482269199,1316,1316
1482279770,1316,1316
1482290813,1317,1317
1482301496,1316,1316
1482312457,1318,1318
1482323288,1315,1315
1482334286,1318,1318
1482345193,1317,1317
1482356147,1317,1317
1482367164,1321,1321
1482378080,1321,1321
1482388644,1325,1325
1482399264,1326,1326
1482410085,1326,1326
1482421145,1326,1326
1482432197,1325,1325
1482443085,1323,1323
1482487691,1293,1293
1482498673,1297,1297
1482509754,1300,1300
1482520732,1301,1301
1482531607,1305,1305
1482542631,1304,1304
1482553520,1308,1308
1482564361,1297,1297
1482575136,1301,1301
1482586061,1295,1295
1482597010,1294,1294
1482607898,1294,1294
1482618832,1294,1294
1482629685,1296,1296
1482640744,1294,1294
1482651508,1289,1289
1482662359,1292,1292
1482673408,1292,1292
1482684314,1286,1286
1482695310,1289,1289
1482706294,1293,1293
1482717299,1297,1297
1482728472,1295,1295
1482739325,1295,1295
1482750250,1297,1297
1482761284,1300,1300
1482772457,1303,1303
1482783618,1306,1306
1482794599,1307,1307
1482805607,1312,1312
1482816712,1314,1314
1482827735,1322,1322
1482838783,1315,1315
1482849688,1318,1318
1482860566,1322,1322
1482871610,1326,1326
1482882743,1339,1339
1482893708,1342,1342
1482904840,1347,1347
1482915820,1352,1352
1482926875,1345,1345
1482937915,1352,1352
1482948979,1361,1361
1482959991,1376,1376
1482970970,1386,1386
1482982092,1387,1387
1482993093,1387,1387
1483004145,1397,1397
1483015107,1402,1402
1483025878,1404,1404
1483036578,1405,1405
1483047607,1402,1402
1483058635,1403,1403
1483069450,1404,1404
1483080441,1412,1412
1483091510,1419,1419
1483102857,1412,1412
1483113817,1413,1413
1483124626,1412,1412
1483135686,1414,1414
1483146713,1417,1417
1483157769,1421,1421
1483168325,1423,1423
1483179231,1427,1427
1483190320,1433,1433
1483201030,1437,1437
1483211916,1435,1435
1483222997,1435,1435
1483234051,1443,1443
1483245110,1442,1442
1483255929,1444,1444
1483266888,1443,1443
1483277884,1444,1444
1483288534,1439,1439
1483299437,1441,1441
1483310088,1450,1450
1483321207,1445,1445
1483332162,1442,1442
1483343229,1443,1443
