DateTime,AddedIPs,RemovedIPs
1479446127,123,92
1479456929,92,0
1479467778,85,0
1479478559,334,0
1479489359,246,0
1479500159,239,0
1479510958,247,0
1479806188,3377,7257
1479816956,127,0
1479827755,118,0
1479838556,570,160
1479849357,91,0
1479860217,88,1988
1479871010,34,0
1479881738,69,0
1479892520,7,0
1479903359,136,0
1479914159,75,0
1479924958,81,0
1479935756,87,0
1479946670,79,1301
1479957408,26,0
1479968203,195,0
1479979003,79,0
1479989757,173,0
1480000557,85,0
1480011357,64,0
1480022157,86,0
1480033040,85,1392
1480054521,60,0
1480065393,44,0
1480076158,122,0
1480086958,81,0
1480097757,76,0
1480108557,69,0
1480115757,47,0
1480122950,30,256
1480130202,8,0
1480141062,34,0
1480148126,7,0
1480159053,101,0
1480169844,82,0
1480180641,77,0
1480191442,76,0
1480202243,105,0
1480212962,35,326
1480220241,16,0
1480230991,17,0
1480241724,16,0
1480252649,120,0
1480263431,79,0
1480274230,77,0
1480285029,101,0
1480295763,57,504
1480306624,17,0
1480317476,23,0
1480328209,13,0
1480338958,113,0
1480349759,69,0
1480360557,75,0
1480371356,87,0
1480382120,62,491
1480392999,26,0
1480403815,7,0
1480414572,33,0
1480425361,104,0
1480436161,89,0
1480446961,68,0
1480457761,94,0
1480468521,51,339
1480479338,21,0
1480500920,46,0
1480511760,126,0
1480522561,68,0
1480533361,52,0
1480544160,72,0
1480554996,20,386
1480565724,83,10
1480576589,41,0
1480587383,63,0
1480598161,124,0
1480608961,76,0
1480619763,83,0
1480630561,100,0
1480641417,59,390
1480652206,22,0
1480662920,8,0
1480673792,47,0
1480684561,75,0
1480695361,78,0
1480706161,78,0
1480716961,72,0
1480727720,48,375
1480738643,49,1
1480749393,40,0
1480760223,53,0
1480770962,133,0
1480781762,81,0
1480792561,82,0
1480803361,103,0
1480814121,58,379
1480824936,37,0
1480835721,38,0
1480846521,3,0
1480857363,82,0
1480868162,75,0
1480878962,73,0
1480889763,81,0
1480900520,55,673
1480911370,50,0
1480922121,21,0
1480932998,55,0
1480943763,127,0
1480954563,58,0
1480965363,60,0
1480976162,74,0
1480986921,33,424
1480997741,55,0
1481008591,40,0
1481019415,6,0
1481030164,89,0
1481040965,79,0
1481051764,73,0
1481062564,81,0
1481073432,58,380
1481084232,54,0
1481094992,35,0
1481105816,32,0
1481116565,116,0
1481127365,79,0
1481138166,77,0
1481148965,81,0
1481159720,47,425
1481170643,10,0
1481181405,1,0
1481192187,26,0
1481202964,69,0
1481213765,52,0
1481224565,78,0
1481235366,70,0
1481242604,67,370
1481260613,19,0
1481271407,14,0
1481282271,69,0
1481292965,94,0
1481303765,69,0
1481314565,82,0
1481325366,60,0
1481332533,26,493
1481341382,30,0
1481351508,43,0
1481362051,6,0
1481372272,125,0
1481383027,79,0
1481393767,77,0
1481404567,110,0
1481415405,99,403
1481426255,35,0
1481436923,10,0
1481447806,48,0
1481458567,119,0
1481469366,88,0
1481480167,87,0
1481490968,88,0
1481501805,94,542
1481512644,37,0
1481523326,48,0
1481534122,31,0
1481544970,106,0
1481555769,80,0
1481566548,87,0
1481577353,93,0
1481588214,111,447
1481599017,32,0
1481609826,47,0
1481620582,43,0
1481631359,117,0
1481642158,73,0
1481652960,91,0
1481663758,89,0
1481674585,108,468
1481685391,42,2
1481696257,140,0
1481707014,17,0
1481717761,95,0
1481728560,71,0
1481739361,103,0
1481750161,148,0
1481761029,116,328
1481771832,41,0
1481782522,8,0
1481793324,20,0
1481804162,59,0
1481814962,96,0
1481825762,111,0
1481836560,97,0
1481847404,92,371
1481868924,74,0
1481890564,109,0
1481901362,103,0
1481912160,104,0
1481922925,118,0
1481933828,124,402
1481944526,49,0
1481955425,28,0
1481966186,8,0
1481976962,118,0
1481987761,122,0
1481998561,122,0
1482009362,144,0
1482020200,127,450
1482041815,45,0
1482063364,159,0
1482074163,112,0
1482084962,131,0
1482095761,142,0
1482106603,134,555
1482128193,51,0
1482138989,19,0
1482149772,134,0
1482160563,132,0
1482171361,132,0
1482182160,152,0
1482193020,175,600
1482203796,31,0
1482214526,2,0
1482236164,173,0
1482246962,169,0
1482257763,151,0
1482268563,163,0
1482279446,171,701
1482290147,70,0
1482300927,56,0
1482311722,50,0
1482322626,127,0
1482333362,174,0
1482344163,191,0
1482354964,183,0
1482365799,201,397
1482387423,58,1
1482398203,51,0
1482408964,222,0
1482419761,203,0
1482430563,200,0
1482441364,188,0
1482448563,179,0
1482456872,55,458
1482477399,61,1
1482488224,66,0
1482498963,264,0
1482509763,191,0
1482520564,222,0
1482531364,248,0
1482542122,160,452
1482553043,28,0
1482563723,44,0
1482574565,63,0
1482585365,281,0
1482596164,243,0
1482606965,220,0
1482617765,242,0
1482628522,178,508
1482639331,77,0
1482650123,49,0
1482661002,86,0
1482671764,262,0
1482682565,265,0
1482693364,250,0
1482704165,257,0
1482715050,157,500
1482725855,106,0
1482736632,11,0
1482754663,42,0
1482765373,364,0
1482776169,252,0
1482786965,273,0
1482797848,282,586
1482808612,78,0
1482819325,46,0
1482830122,67,0
1482840966,122,0
1482851765,218,0
1482862564,202,0
1482873366,255,0
1482884199,257,612
1482905858,69,0
1482916523,32,0
1482927373,170,0
1482938166,322,0
1482948967,230,0
1482959766,230,0
1482966966,143,0
1482977770,85,638
1482996939,120,1
1483017437,303,0
1483028247,236,0
1483039049,209,0
1483049858,211,0
1483053449,74,0
1483062235,69,514
1483083189,125,0
1483096862,91,0
1483107369,269,0
1483118168,211,0
1483128969,223,0
1483139768,217,0
1483150611,76,613
1483161414,126,0
1483172146,102,0
1483182925,66,0
1483193769,297,0
1483204569,214,0
1483215369,222,0
1483226168,223,0
1483237012,81,818
1483247849,159,0
1483258524,79,0
1483269404,89,0
1483280169,321,0
1483290968,210,0
1483301769,227,0
1483312569,244,0
1483323400,170,811
1483334264,79,0
1483344924,4,0
1483355724,86,0
1483366569,291,0
1483377369,238,0
1483388170,237,0
1483398969,258,0
1483409813,74,735
1483420614,146,0
1483431412,4,0
1483442203,88,0
1483452969,246,0
1483463769,229,0
1483474570,489,0
1483485345,212,0
1483496228,80,805
1483506946,160,0
1483517725,2,0
1483528524,101,0
1483539363,378,0
1483550164,237,0
1483560965,227,0
1483571764,238,0
1483578932,86,805
1483587300,89,0
1483593479,146,0
1483604174,18,0
1483612089,169,0
1483622345,310,0
1483633102,195,0
1483643894,214,0
1483654694,258,0
1483658292,84,0
1483665986,84,872
1483676479,94,1
1483687029,50,0
1483697773,34,0
1483708734,266,0
