DateTime,Entries,UniqueIPs
1482322626,9326,9326
1482333362,9500,9500
1482344163,9691,9691
1482354964,9874,9874
1482365799,9678,9678
1482387423,9735,9735
1482398203,9786,9786
1482408964,10008,10008
1482419761,10211,10211
1482430563,10411,10411
1482441364,10599,10599
1482448563,10778,10778
1482456872,10375,10375
1482477399,10435,10435
1482488224,10501,10501
1482498963,10765,10765
1482509763,10956,10956
1482520564,11178,11178
1482531364,11426,11426
1482542122,11134,11134
1482553043,11162,11162
1482563723,11206,11206
1482574565,11269,11269
1482585365,11550,11550
1482596164,11793,11793
1482606965,12013,12013
1482617765,12255,12255
1482628522,11925,11925
1482639331,12002,12002
1482650123,12051,12051
1482661002,12137,12137
1482671764,12399,12399
1482682565,12664,12664
1482693364,12914,12914
1482704165,13171,13171
1482715050,12828,12828
1482725855,12934,12934
1482736632,12945,12945
1482754663,12987,12987
1482765373,13351,13351
1482776169,13603,13603
1482786965,13876,13876
1482797848,13572,13572
1482808612,13650,13650
1482819325,13696,13696
1482830122,13763,13763
1482840966,13885,13885
1482851765,14103,14103
1482862564,14305,14305
1482873366,14560,14560
1482884199,14205,14205
1482905858,14274,14274
1482916523,14306,14306
1482927373,14476,14476
1482938166,14798,14798
1482948967,15028,15028
1482959766,15258,15258
1482966966,15401,15401
1482977770,14848,14848
1482996939,14967,14967
1483017437,15270,15270
1483028247,15506,15506
1483039049,15715,15715
1483049858,15926,15926
1483053449,16000,16000
1483062235,15555,15555
1483083189,15680,15680
1483096862,15771,15771
1483107369,16040,16040
1483118168,16251,16251
1483128969,16474,16474
1483139768,16691,16691
1483150611,16154,16154
1483161414,16280,16280
1483172146,16382,16382
1483182925,16448,16448
1483193769,16745,16745
1483204569,16959,16959
1483215369,17181,17181
1483226168,17404,17404
1483237012,16667,16667
1483247849,16826,16826
1483258524,16905,16905
1483269404,16994,16994
1483280169,17315,17315
1483290968,17525,17525
1483301769,17752,17752
1483312569,17996,17996
1483323400,17355,17355
1483334264,17434,17434
1483344924,17438,17438
1483355724,17524,17524
1483366569,17815,17815
1483377369,18053,18053
1483388170,18290,18290
1483398969,18548,18548
1483409813,17887,17887
1483420614,18033,18033
1483431412,18037,18037
1483442203,18125,18125
1483452969,18371,18371
1483463769,18600,18600
1483474570,19089,19089
1483485345,19301,19301
1483496228,18576,18576
1483506946,18736,18736
1483517725,18738,18738
1483528524,18839,18839
1483539363,19217,19217
1483550164,19454,19454
1483560965,19681,19681
1483571764,19919,19919
1483578932,19200,19200
1483587300,19289,19289
1483593479,19435,19435
1483604174,19453,19453
1483612089,19622,19622
1483622345,19932,19932
1483633102,20127,20127
1483643894,20341,20341
1483654694,20599,20599
1483658292,20683,20683
1483665986,19895,19895
1483676479,19988,19988
1483687029,20038,20038
1483697773,20072,20072
1483708734,20338,20338
1483719521,20570,20570
1483730169,20806,20806
1483740970,21066,21066
1483751817,20309,20309
1483759020,20404,20404
1483769857,20422,20422
1483780608,20547,20547
1483791393,20614,20614
1483802170,20931,20931
1483812970,21144,21144
1483823770,21392,21392
1483834662,20545,20545
1483845521,20640,20640
1483856243,20692,20692
1483866928,20850,20850
1483877796,21047,21047
1483888571,21426,21426
1483899370,21664,21664
1483910170,21934,21934
1483921106,21023,21023
1483931813,21063,21063
1483953397,21156,21156
1483964197,21323,21323
1483974971,21648,21648
1483985771,21910,21910
1483996570,22176,22176
1484007434,21400,21400
1484018272,21476,21476
1484029002,21479,21479
1484039726,21484,21484
1484050573,21667,21667
1484061371,21860,21860
1484072171,22065,22065
1484082971,22232,22232
1484093827,21297,21297
1484104612,21330,21330
1484126125,21380,21380
1484136974,21554,21554
1484147773,21728,21728
1484158571,21903,21903
1484169372,22089,22089
1484176572,22226,22226
1484187330,21256,21256
1484198250,21328,21328
1484209002,21360,21360
1484219872,21373,21373
1484230707,21600,21600
1484241488,21744,21744
1484252285,21933,21933
1484263087,22144,22144
1484270637,21229,21229
1484281468,21305,21305
1484298971,21337,21337
1484310013,21495,21495
1484317073,21609,21609
1484327885,21754,21754
1484338677,21897,21897
1484349469,22058,22058
1484356628,21034,21034
1484364731,21061,21061
1484385401,21114,21114
1484396331,21251,21251
1484407052,21421,21421
1484417850,21599,21599
1484428647,21755,21755
1484435859,21874,21874
1484442966,20326,20326
1484453885,20352,20352
1484464576,20393,20393
1484482531,20474,20474
1484493373,20633,20633
1484504172,20789,20789
1484514972,20989,20989
1484525801,19236,19236
1484536670,19261,19261
1484547442,19295,19295
1484568984,19403,19403
1484579774,19632,19632
1484590573,19771,19771
1484601372,19939,19939
1484612251,18762,18762
1484623052,18849,18849
1484633820,18883,18883
1484644667,18906,18906
1484655374,18988,18988
1484666173,19136,19136
1484676975,19317,19317
1484687773,19470,19470
1484698616,18238,18238
1484720127,18282,18282
1484730937,18323,18323
1484741786,18563,18563
1484752573,18721,18721
1484763375,18900,18900
1484774175,19061,19061
1484785078,18093,18093
1484795814,18151,18151
1484806546,18202,18202
1484817325,18213,18213
1484828174,18280,18280
1484838974,18423,18423
1484849773,18592,18592
1484860575,18754,18754
1484871429,17824,17824
1484889441,17873,17873
1484911036,17925,17925
1484921775,18174,18174
1484932580,18294,18294
1484943375,18423,18423
1484954176,18529,18529
1484961368,17476,17476
1484968561,17477,17477
1484976335,17527,17527
1484983478,17565,17565
1484991005,17577,17577
1485001096,17600,17600
1485011865,17680,17680
1485022656,17756,17756
1485033447,17836,17836
1485040650,17905,17905
1485051381,16753,16753
1485062426,16810,16810
1485072953,16838,16838
1485080768,16856,16856
1485091044,16984,16984
1485101847,17079,17079
1485112638,17197,17197
1485123437,17320,17320
1485131250,16090,16090
1485148871,16135,16135
1485156054,16172,16172
1485166558,16177,16177
1485177461,16244,16244
1485188256,16343,16343
1485199060,16431,16431
1485209846,16548,16548
1485218610,15288,15288
1485234938,15348,15348
1485250702,15381,15381
1485260460,15400,15400
1485271054,15504,15504
1485281863,15584,15584
1485292676,15696,15696
1485299863,15769,15769
1485308759,14295,14295
1485318793,14339,14339
1485328928,14391,14391
1485336053,14419,14419
1485346554,14430,14430
1485357468,14602,14602
1485368178,14694,14694
1485378977,14789,14789
1485389869,13603,13603
1485400672,13653,13653
1485411422,13803,13803
1485422200,13828,13828
1485432976,14121,14121
1485443776,14222,14222
1485454576,14327,14327
1485465377,14463,14463
1485476272,12966,12966
1485487040,13017,13017
1485497861,13074,13074
1485508623,13115,13115
1485519413,13221,13221
1485530177,13365,13365
1485540977,13491,13491
1485551779,13612,13612
1485562616,12864,12864
1485573393,12871,12871
1485584268,12873,12873
1485595034,12926,12926
1485605784,12993,12993
1485616577,13131,13131
1485627378,13228,13228
1485638178,13350,13350
1485649042,11890,11890
1485659818,11923,11923
1485670652,11956,11956
1485681482,11985,11985
1485692178,12103,12103
1485702979,12204,12204
1485713779,12326,12326
1485724578,12451,12451
1485735453,11116,11116
1485746260,11157,11157
1485757054,11171,11171
1485767847,11200,11200
1485778580,11342,11342
1485789379,11440,11440
1485800179,11580,11580
1485810979,11696,11696
1485821856,11136,11136
1485832634,11175,11175
1485843423,11202,11202
1485864979,11352,11352
1485875779,11442,11442
1485886580,11560,11560
1485897380,11698,11698
1485904579,11795,11795
1485911810,11223,11223
1485919222,11247,11247
1485927487,11286,11286
1485938135,11333,11333
1485949038,11380,11380
1485958602,11506,11506
1485969404,11608,11608
1485980202,11713,11713
1485991008,11829,11829
1485998135,11236,11236
1486006526,11318,11318
1486016298,11355,11355
1486024025,11426,11426
1486032090,11495,11495
1486041433,11632,11632
1486052205,11770,11770
1486063019,11889,11889
1486073833,12034,12034
1486077403,12090,12090
1486085346,11538,11538
1486095678,11598,11598
1486102844,11647,11647
1486110928,11682,11682
1486121000,11839,11839
1486131422,12011,12011
1486138656,12088,12088
1486170932,11549,11549
1486253732,10801,10801
1486307796,11127,11127
1486318609,11277,11277
1486329418,11416,11416
1486336628,11505,11505
1486347388,10661,10661
1486355555,10681,10681
1486365389,10755,10755
1486373099,10855,10855
1486383508,10949,10949
1486394225,11104,11104
1486405021,11225,11225
1486415827,11351,11351
1486423031,11427,11427
1486430177,10808,10808
1486439534,10913,10913
1486449629,10967,10967
1486459978,10993,10993
1486470929,11071,11071
1486480651,11231,11231
1486491371,11336,11336
1486502173,11457,11457
1486513046,10833,10833
1486523820,10877,10877
1486534663,10924,10924
1486545414,10971,10971
1486556173,11112,11112
1486566973,11201,11201
1486577773,11319,11319
1486588573,11417,11417
1486599432,10566,10566
1486610264,10613,10613
1486621041,10669,10669
1486631847,10760,10760
1486642588,10886,10886
1486653374,11027,11027
1486664175,11143,11143
1486674975,11268,11268
1486685834,10606,10606
1486707463,10649,10649
1486718128,10737,10737
1486728975,10864,10864
1486739775,10993,10993
1486750576,11127,11127
1486761376,11251,11251
1486772271,11300,11300
1486782999,11355,11355
1486804644,11379,11379
1486815376,11557,11557
1486826175,11665,11665
1486836976,11801,11801
1486847775,11918,11918
1486858708,11586,11586
1486869442,11632,11632
1486880155,11704,11704
1486891093,11794,11794
1486901777,11935,11935
1486912576,12047,12047
1486923376,12157,12157
1486934176,12286,12286
1486945067,11688,11688
1486955741,11750,11750
1486966582,11826,11826
1486977328,11833,11833
1486988177,11991,11991
1486998977,12096,12096
1487009777,12217,12217
1487020576,12344,12344
1487027776,12439,12439
1487038529,11907,11907
1487045817,11964,11964
1487053088,11999,11999
1487063796,12055,12055
1487074732,12212,12212
1487085481,12325,12325
1487096279,12446,12446
1487107060,12582,12582
1487114305,12660,12660
1487121370,12238,12238
1487132197,12309,12309
1487151822,12371,12371
1487161605,12484,12484
1487171925,12658,12658
1487182716,12784,12784
1487193523,12923,12923
1487200717,13094,13094
1487207802,12566,12566
1487217467,12650,12650
1487225942,12710,12710
1487236600,12762,12762
1487246127,12831,12831
1487254747,13000,13000
1487265490,13125,13125
1487276271,13262,13262
1487287064,13400,13400
1487297844,12923,12923
1487319384,12997,12997
1487330417,13055,13055
1487341046,13224,13224
1487351905,13360,13360
1487362845,13490,13490
1487373432,13643,13643
1487384155,13223,13223
1487402251,13230,13230
1487409427,13242,13242
1487420168,13253,13253
1487431056,13459,13459
1487441850,13590,13590
1487452645,13709,13709
1487459846,13796,13796
1487466986,13226,13226
1487475825,13231,13231
1487485057,13305,13305
1487503007,13400,13400
1487513855,13559,13559
1487524686,13688,13688
1487535442,13853,13853
1487546246,14001,14001
1487557008,13507,13507
1487567809,13535,13535
1487578619,13567,13567
1487585858,13632,13632
1487596648,13810,13810
1487607465,13941,13941
1487618244,14095,14095
1487629080,14246,14246
1487636723,13389,13389
1487646996,13450,13450
1487657738,13503,13503
1487668530,13548,13548
1487690182,13842,13842
1487700981,14021,14021
1487711781,14190,14190
1487722615,13727,13727
1487740644,13839,13839
1487751427,13981,13981
1487762221,14155,14155
1487772980,14400,14400
1487783728,14517,14517
1487794579,14732,14732
1487805388,14785,14785
1487816131,14452,14452
1487826929,14530,14530
1487837830,14561,14561
1487848627,14674,14674
1487859405,14742,14742
