DateTime,AddedIPs,RemovedIPs
1484802102,137,132
1484803218,133,133
1484804180,89,85
1484805150,124,118
1484806114,110,128
1484807324,115,124
1484808276,67,88
1484809327,129,135
1484810431,107,116
1484811382,65,70
1484812336,156,156
1484813308,128,132
1484814259,101,106
1484815222,142,143
1484816183,85,92
1484817147,124,143
1484818098,87,95
1484819130,117,115
1484820093,152,168
1484821226,122,134
1484822184,94,100
1484823137,126,127
1484824377,116,127
1484825313,109,114
1484826268,107,106
1484827306,136,144
1484828443,125,139
1484829390,81,73
1484830343,126,140
1484831296,87,96
1484832266,114,107
1484833214,98,104
1484834180,94,90
1484835149,105,110
1484836111,105,108
1484837069,101,104
1484838094,123,138
1484838997,78,88
1484839962,116,127
1484840921,121,117
1484842127,94,113
1484843091,113,118
1484844030,121,121
1484844997,92,92
1484845936,135,132
1484846902,100,100
1484847860,107,111
1484848875,145,162
1484849797,99,115
1484850759,103,113
1484851710,138,148
1484852679,108,93
1484853643,117,130
1484854601,61,65
1484855564,129,131
1484856500,65,74
1484857473,144,157
1484858431,135,140
1484859408,99,110
1484860359,108,114
1484861322,131,136
1484862265,108,114
1484863324,134,132
1484864420,125,127
1484865386,81,72
1484866341,128,136
1484867301,133,127
1484868259,97,101
1484869233,106,111
1484870182,74,81
1484871141,112,118
1484872100,104,107
1484873053,98,95
1484874080,118,129
1484874995,92,93
1484875959,122,123
1484876918,122,130
1484877882,92,91
1484878831,129,132
1484879810,93,99
1484880778,105,102
1484881731,137,125
1484882668,70,69
1484883655,125,121
1484884587,105,108
1484885571,117,118
1484886510,130,114
1484887487,67,68
1484888529,136,135
1484889621,116,120
1484890587,85,83
1484891557,110,111
1484892518,132,131
1484893451,60,58
1484894417,124,130
1484895386,100,97
1484896362,122,126
1484897306,102,105
1484898272,87,87
1484899305,151,154
1484900424,136,144
1484901385,62,73
1484902363,140,145
1484903311,117,118
1484904254,71,69
1484905220,111,118
1484906185,74,78
1484907154,130,130
1484908106,90,92
1484909074,97,101
1484910085,148,154
1484911028,88,77
1484911955,118,121
1484912907,128,141
1484913880,103,97
1484914845,167,166
1484915794,84,89
1484916765,148,160
1484917734,125,126
1484918682,82,86
1484919631,95,90
1484920596,94,91
1484921571,96,112
1484922523,92,94
1484923471,69,57
1484924501,126,128
1484925620,148,154
1484926576,74,75
1484927549,148,146
1484928512,144,142
1484929461,94,95
1484930412,85,96
1484931414,85,90
1484932356,131,143
1484933312,85,97
1484934277,89,90
1484935247,133,137
1484936445,126,130
1484937392,73,75
1484938353,129,132
1484939309,107,114
1484940263,92,94
1484941237,108,114
1484942186,89,88
1484943139,104,108
1484944106,118,117
1484945062,83,87
1484946090,125,117
1484947244,124,119
1484948192,78,79
1484949164,128,129
1484950117,109,116
1484951057,96,83
1484952012,111,110
1484952983,110,102
1484953960,133,138
1484954906,81,83
1484955877,82,75
1484956889,126,127
1484957787,8,13
1484958024,87,87
1484958779,17,11
1484959235,90,90
1484959708,7,10
1484960206,90,90
1484960683,17,18
1484961168,88,88
1484961638,20,19
1484962113,83,83
1484962692,23,15
1484963074,78,78
1484963787,16,20
1484964121,118,118
1484964746,22,29
1484965246,111,111
1484965705,8,5
1484966221,58,58
1484966663,28,29
1484967171,102,102
1484967702,19,26
1484968134,92,92
1484968611,15,11
1484969068,62,62
1484969553,28,29
1484970055,101,101
1484970508,26,19
1484970989,60,60
1484971481,11,10
1484971955,113,113
1484972448,15,25
1484972918,83,83
1484973398,19,22
1484973876,63,63
1484974349,15,13
1484974895,102,102
1484975326,12,8
1484975809,75,75
1484976282,22,19
1484976765,83,83
1484977227,17,11
1484977719,119,119
1484978182,19,14
1484978669,61,61
1484979162,20,16
1484979638,117,117
1484980106,16,16
1484980597,77,77
1484981068,9,12
1484981559,80,80
1484982105,14,28
1484982526,118,118
1484983217,13,27
1484983478,58,58
1484984183,7,9
1484984438,134,134
1484985147,18,27
1484985391,57,57
1484986105,12,23
1484986357,117,117
1484987059,13,4
1484987323,89,89
1484988013,17,17
1484988268,79,79
1484988979,4,9
1484989313,118,118
1484989950,12,15
1484990411,104,104
1484990901,13,8
1484991380,71,71
1484991852,17,17
1484992353,92,92
1484992900,11,24
1484993367,84,84
1484993808,12,7
1484994505,126,126
1484994752,21,19
1484995449,76,76
1484995714,7,12
1484996494,131,131
1484996926,15,32
1484997416,62,62
1484997885,11,19
1484998356,100,100
1484998844,13,20
1484999324,97,97
1484999802,16,7
1485000270,60,60
1485000753,18,17
1485001235,114,114
1485001722,5,4
1485002196,67,67
1485002677,16,16
1485003152,110,110
1485003715,20,23
1485004124,87,87
1485004816,12,21
1485005065,92,92
1485005780,8,14
1485006030,118,118
1485006764,11,23
1485006987,62,62
1485007697,11,12
1485007950,116,116
1485008652,19,17
1485008916,84,84
1485009617,17,14
1485009863,76,76
1485010912,118,115
1485012020,110,119
1485012979,89,97
1485013941,125,130
1485014905,78,89
1485015858,96,100
1485016818,113,112
1485017785,101,99
1485018740,99,103
1485019695,93,99
1485020657,91,88
1485021693,98,111
1485022854,106,99
1485023787,70,61
1485024762,147,145
1485025707,92,95
1485026660,97,95
1485027632,131,126
1485028585,71,62
1485029559,141,145
1485030516,101,114
1485031471,78,91
1485032516,122,127
1485033624,135,131
1485034583,63,66
1485035557,108,98
1485036511,87,84
1485037452,95,93
1485038414,123,124
1485039382,55,61
1485040337,111,119
1485041317,120,123
1485042273,65,71
1485043289,113,106
1485044429,129,130
1485045391,66,69
1485046343,108,109
1485047307,76,88
1485048260,59,62
1485049217,139,139
1485050186,78,81
1485051155,123,119
1485052111,105,102
1485053076,92,94
1485054104,99,98
1485055229,119,116
1485056178,93,94
1485057148,96,92
1485058108,103,102
1485059083,77,68
1485060030,106,108
1485060986,109,98
1485061964,81,89
1485062910,112,111
1485063864,60,63
1485064891,113,106
1485065796,55,55
1485067043,139,145
1485067970,121,122
1485068909,109,101
1485069865,76,77
1485070828,116,105
1485071773,87,81
1485072764,116,115
1485073709,126,141
1485074662,67,75
1485075700,134,120
1485076849,108,105
1485077800,70,76
1485078795,152,151
1485079741,98,100
1485080739,67,70
1485081644,103,105
1485082586,81,75
1485083544,99,109
1485084503,75,76
1485085457,116,116
1485086484,127,123
1485087397,61,59
1485088347,120,117
1485089310,99,95
1485090508,116,113
1485091463,77,74
1485092417,121,129
1485093382,74,68
1485094351,84,97
1485095294,92,94
1485096256,78,70
1485097292,118,118
1485098425,118,114
1485099387,71,71
1485100338,107,116
1485101313,85,89
1485102261,69,69
1485103230,106,114
1485104180,73,78
1485105140,86,97
1485106125,79,82
1485107068,84,80
1485108087,121,127
1485109016,87,88
1485109953,112,119
1485110904,81,79
1485111863,103,98
1485112829,110,103
1485113783,77,76
1485114746,110,109
