DateTime,Entries,UniqueIPs
1487330652,2821,2821
1487331617,2816,2816
1487332598,2810,2810
1487333551,2813,2813
1487334513,2810,2810
1487335475,2804,2804
1487336501,2792,2792
1487337640,2784,2784
1487338596,2759,2759
1487339556,2715,2715
1487340527,2713,2713
1487341467,2688,2688
1487342440,2695,2695
1487343392,2690,2690
1487344359,2688,2688
1487345317,2685,2685
1487346276,2693,2693
1487347283,2689,2689
1487348189,2679,2679
1487349155,2675,2675
1487350118,2675,2675
1487351074,2673,2673
1487352044,2667,2667
1487352991,2664,2664
1487354209,2664,2664
1487355156,2667,2667
1487356114,2667,2667
1487357073,2660,2660
1487358100,2656,2656
1487359230,2657,2657
1487360176,2651,2651
1487361145,2654,2654
1487362107,2650,2650
1487363060,2638,2638
1487364020,2645,2645
1487364999,2645,2645
1487365958,2646,2646
1487366909,2649,2649
1487367868,2650,2650
1487368928,2657,2657
1487370037,2657,2657
1487370977,2658,2658
1487371949,2654,2654
1487372904,2652,2652
1487373859,2648,2648
1487374821,2644,2644
1487375811,2638,2638
1487376750,2635,2635
1487377720,2629,2629
1487378673,2629,2629
1487379712,2620,2620
1487380822,2618,2618
1487381781,2621,2621
1487382743,2627,2627
1487383714,2627,2627
1487384650,2633,2633
1487385621,2630,2630
1487386583,2628,2628
1487387561,2619,2619
1487388509,2617,2617
1487389473,2615,2615
1487390502,2612,2612
1487391632,2610,2610
1487392600,2614,2614
1487393555,2615,2615
1487394514,2621,2621
1487395451,2615,2615
1487396424,2618,2618
1487397390,2610,2610
1487398358,2604,2604
1487399309,2599,2599
1487400277,2599,2599
1487401298,2592,2592
1487402430,2598,2598
1487403398,2596,2596
1487404357,2589,2589
1487405310,2593,2593
1487406253,2593,2593
1487407213,2599,2599
1487408195,2598,2598
1487409159,2602,2602
1487410116,2604,2604
1487411073,2606,2606
1487412095,2610,2610
1487413223,2609,2609
1487414184,2607,2607
1487415142,2609,2609
1487416124,2607,2607
1487417051,2604,2604
1487418029,2603,2603
1487418993,2600,2600
1487419961,2589,2589
1487420920,2584,2584
1487421882,2581,2581
1487422895,2584,2584
1487424040,2578,2578
1487424991,2578,2578
