DateTime,Entries,UniqueIPs
1484714663,2727,2732
1484715709,2722,2727
1484716610,2741,2746
1484718034,2741,2746
1484718998,2746,2751
1484719951,2758,2763
1484720921,2760,2765
1484721868,2772,2777
1484722886,2767,2772
1484723788,2761,2766
1484724765,2765,2770
1484725728,2765,2770
1484726930,2781,2786
1484727871,2790,2795
1484728843,2787,2792
1484730102,2803,2808
1484731004,2799,2804
1484732044,2811,2816
1484733156,2817,2822
1484734145,2818,2823
1484735063,2827,2832
1484736036,2837,2842
1484736999,2829,2833
1484737960,2850,2854
1484738913,2860,2864
1484739881,2852,2856
1484740914,2863,2867
1484742036,2871,2875
1484742983,2870,2874
1484743941,2897,2901
1484744909,2920,2924
1484745853,2919,2923
1484746813,2921,2925
1484747778,2936,2940
1484748753,2947,2951
1484749705,2960,2964
1484750668,2972,2976
1484751692,2992,2996
1484752606,2997,3001
1484753570,3000,3004
1484754507,3016,3020
1484755493,3038,3042
1484756430,3054,3058
1484757649,3057,3061
1484758589,3068,3072
1484759561,3064,3068
1484760518,3080,3084
1484761465,3067,3071
1484762485,3093,3097
1484763387,3095,3099
1484764361,3099,3103
1484765319,3112,3116
1484766283,3105,3111
1484767247,3128,3134
1484768193,3134,3140
1484769152,3144,3149
1484770109,3148,3153
1484771082,3166,3172
1484772022,3186,3192
1484773004,3188,3194
1484773958,3216,3222
1484774909,3233,3239
1484775863,3244,3250
1484776915,3255,3262
1484778020,3268,3275
1484778980,3281,3288
1484779943,3312,3319
1484780898,3313,3320
1484781858,3319,3326
1484782830,3351,3358
1484783771,3353,3360
1484784753,3368,3375
1484785705,3375,3382
1484786662,3379,3386
1484787695,3387,3394
1484788641,3392,3399
1484789581,3402,3409
1484790510,3423,3430
1484791474,3444,3451
1484792469,3443,3450
1484793397,3464,3471
1484794368,3487,3495
1484795321,3503,3511
1484796264,3499,3507
1484797242,3502,3510
1484798199,3510,3518
1484799151,3535,3543
1484800103,3544,3553
1484801069,3550,3559
1484802099,3584,3593
1484803216,3578,3586
1484804177,3596,3604
1484805148,3615,3624
1484806111,3610,3619
1484807321,3608,3617
1484808273,3585,3594
1484809325,3577,3586
1484810428,3573,3582
1484811380,3566,3575
1484812333,3559,3568
1484813305,3568,3577
1484814257,3580,3589
1484815219,3599,3608
1484816181,3586,3595
1484817144,3592,3601
1484818096,3582,3591
1484819127,3586,3595
1484820091,3577,3587
1484821223,3588,3598
1484822181,3576,3586
1484823134,3586,3596
1484824374,3602,3612
1484825310,3620,3630
1484826266,3634,3644
1484827304,3648,3658
1484828441,3669,3679
1484829387,3678,3688
1484830340,3699,3709
1484831294,3628,3638
1484832263,3627,3637
1484833212,3647,3657
1484834178,3658,3667
1484835146,3670,3679
1484836109,3674,3683
1484837066,3693,3702
1484838091,3699,3708
1484838994,3700,3709
1484839959,3708,3717
1484840919,3694,3703
1484842124,3695,3704
1484843088,3692,3701
1484844028,3715,3724
1484844995,3693,3701
1484845934,3714,3722
1484846900,3704,3712
1484847858,3664,3674
1484848873,3606,3616
1484849795,3483,3492
1484850756,3499,3508
1484851708,3482,3491
1484852676,3457,3466
1484853641,3424,3433
1484854599,3379,3388
1484855561,3379,3388
1484856497,3385,3394
1484857470,3376,3385
1484858428,3350,3359
1484859405,3331,3340
1484860357,3341,3350
1484861319,3283,3292
1484862262,3300,3309
1484863322,3273,3282
1484864418,3293,3302
1484865384,3259,3269
1484866338,3277,3287
1484867298,3276,3286
1484868256,3274,3284
1484869231,3253,3263
1484870180,3246,3256
1484871139,3255,3265
1484872098,3251,3261
1484873050,3236,3246
1484874078,3229,3239
1484874993,3221,3231
1484875956,3224,3234
1484876916,3178,3188
1484877880,3181,3191
1484878829,3203,3213
1484879806,3144,3154
1484880775,3137,3147
1484881729,3145,3155
1484882665,3130,3140
1484883652,3130,3140
1484884584,3145,3155
1484885569,3118,3128
1484886507,3111,3121
1484887484,3090,3100
1484888527,3075,3085
1484889618,3076,3086
1484890584,3067,3077
1484891554,3058,3068
1484892515,3063,3073
1484893448,3074,3084
1484894415,3057,3066
1484895384,3053,3062
1484896359,3052,3061
1484897304,3056,3065
1484898269,3048,3057
1484899302,3060,3069
1484900422,3052,3061
1484901383,3030,3039
1484902359,3027,3036
