DateTime,Entries,UniqueIPs
1487395451,12200,14070
1487396424,12199,14070
1487397390,12198,14071
1487398358,12207,14081
1487399309,12209,14083
1487400277,12205,14076
1487401298,12215,14087
1487402430,12211,14084
1487403398,12218,14089
1487404357,12223,14094
1487405310,12218,14091
1487406253,12215,14087
1487407213,12216,14086
1487408195,12218,14088
1487409159,12216,14089
1487410116,12217,14088
1487411073,12215,14085
1487412095,12211,14081
1487413223,12208,14077
1487414184,12208,14077
1487415142,12212,14079
1487416124,12205,14074
1487417051,12206,14075
1487418029,12210,14076
1487418993,12213,14077
1487419961,12208,14072
1487420920,12204,14065
1487421882,12208,14070
1487422895,12208,14069
1487424040,12211,14070
1487424991,12208,14067
1487425958,12201,14059
1487426927,12205,14061
1487427865,12199,14055
1487428828,12207,14058
1487429841,12203,14054
1487430758,12199,14041
1487431708,12202,14044
1487432677,12196,14039
1487433689,12197,14031
1487434592,12191,14033
1487435569,12191,14039
1487436758,12193,14038
1487437712,12202,14052
1487438652,12200,14049
1487439622,12194,14040
1487440591,12199,14045
1487441555,12189,14034
1487442506,12195,14042
1487443474,12199,14042
1487444506,12212,14055
1487445632,12213,14055
1487446588,12217,14057
1487447539,12215,14053
1487448513,12220,14059
1487449453,12218,14057
1487450424,12214,14045
1487451396,12216,14049
1487452356,12217,14048
1487453314,12217,14048
1487454272,12208,14038
1487455314,12206,14033
1487456436,12206,14037
1487457377,12210,14038
1487458350,12197,14022
1487459307,12195,14020
1487460258,12210,14038
1487461220,12194,14017
1487462192,12191,14013
1487463169,12198,14021
1487464121,12191,14015
1487465069,12193,14018
1487466112,12183,14003
1487467220,12192,14015
1487468187,12186,14008
1487469146,12170,13995
1487470105,12173,13996
1487471051,12174,13999
1487472018,12165,13992
1487472983,12165,13989
1487473946,12167,13992
1487474895,12168,13994
1487475859,12164,13988
1487476895,12158,13982
1487478029,12163,13989
1487478975,12168,13996
1487479944,12131,13956
1487480905,12125,13950
1487481851,12125,13950
1487482819,12124,13949
1487483798,12113,13931
1487484759,12115,13929
1487485706,12104,13919
1487486665,12113,13929
1487487704,12104,13910
1487488813,12110,13920
1487489791,12107,13917
1487490747,12107,13915
1487491705,12110,13911
1487492662,12104,13905
1487493621,12113,13919
1487494588,12096,13898
1487495557,12099,13900
1487496513,12107,13910
1487497465,12082,13881
1487498511,12074,13867
1487499625,12072,13871
1487500589,12075,13874
1487501547,12062,13860
1487502499,12057,13854
1487503463,12052,13848
1487504430,12053,13849
1487505387,12047,13835
1487506354,12033,13821
1487507328,12033,13820
1487508270,12020,13806
1487509305,12021,13804
1487510425,12029,13811
1487511414,12027,13807
1487512346,12034,13817
1487513321,12043,13829
1487514270,12041,13826
1487515237,12041,13828
1487516187,12035,13820
1487517169,12029,13814
1487518107,12026,13807
1487519068,12020,13799
1487520103,12024,13803
1487521218,12018,13796
1487522182,12011,13791
1487523142,12007,13785
1487524108,12000,13778
1487525060,12002,13781
1487526015,12005,13784
1487526991,12002,13781
1487527963,12002,13782
1487528913,12003,13782
1487529862,11998,13774
1487530910,12004,13779
1487532032,12011,13785
1487532985,12015,13789
1487533954,12015,13790
1487534897,12023,13797
1487535866,12028,13803
1487536814,12030,13801
1487537804,12037,13809
1487538757,12029,13805
1487539723,12038,13812
1487540664,12034,13807
1487541727,12028,13803
1487542829,12031,13806
1487543785,12029,13802
1487544750,12017,13791
1487545699,12018,13791
1487546670,12020,13794
1487547615,12015,13786
1487548589,12004,13767
1487549565,11998,13762
1487550525,11997,13760
1487551463,11993,13756
1487552502,11994,13755
1487553613,11997,13756
1487554591,12002,13760
1487555537,12000,13757
1487556788,12002,13754
1487557709,12003,13753
1487558664,12007,13756
1487559720,12014,13763
1487560811,12015,13765
1487561797,12021,13768
1487562736,12030,13775
1487563698,12031,13775
1487564661,12024,13767
1487565617,12034,13775
1487566595,12036,13773
1487567549,12037,13771
1487568505,12037,13768
1487569451,12033,13766
1487570502,12026,13755
1487571612,12013,13744
1487573086,11996,13712
1487574117,12002,13721
