DateTime,AddedIPs,RemovedIPs
1487368928,111,111
1487370037,131,131
1487370977,64,64
1487371949,102,102
1487372904,91,91
1487373859,72,72
1487374821,97,97
1487375811,86,86
1487376750,104,104
1487377720,95,95
1487378673,85,85
1487379712,116,116
1487380822,111,111
1487381781,51,51
1487382743,100,100
1487383714,104,104
1487384650,68,68
1487385621,86,86
1487386583,75,75
1487387561,99,99
1487388509,104,104
1487389473,70,70
1487390502,101,101
1487391632,108,108
1487392600,64,64
1487393555,89,89
1487394514,99,99
1487395451,48,48
1487396424,95,95
1487397390,102,102
1487398358,90,90
1487399309,81,81
1487400277,92,92
1487401298,97,97
1487402430,114,114
1487403398,58,58
1487404357,100,100
1487405310,92,92
1487406253,64,64
1487407213,77,77
1487408195,86,86
1487409159,83,83
1487410116,106,106
1487411073,82,82
1487412095,129,129
1487413223,101,101
1487414184,64,64
1487415142,92,92
1487416124,81,81
1487417051,81,81
1487418029,85,85
1487418993,92,92
1487419961,84,84
1487420920,95,95
1487421882,83,83
1487422895,105,105
1487424040,102,102
1487424991,50,50
1487425958,105,105
1487426927,104,104
1487427865,75,75
1487428828,94,94
1487429841,78,78
1487430758,93,93
1487431708,90,90
1487432677,68,68
1487433689,134,134
1487434592,65,65
1487435569,119,119
1487436758,118,118
1487437712,120,120
1487438652,73,73
1487439622,115,115
1487440591,79,79
1487441555,99,99
1487442506,98,98
1487443474,63,63
1487444506,117,117
1487445632,113,113
1487446588,68,68
1487447539,112,112
1487448513,114,114
1487449453,62,62
1487450424,104,104
1487451396,94,94
1487452356,103,103
1487453314,129,129
1487454272,59,59
1487455314,126,126
1487456436,112,112
1487457377,77,77
1487458350,100,100
1487459307,66,66
1487460258,129,129
1487461220,91,91
1487462192,57,57
1487463169,104,104
1487464121,75,75
1487465069,66,66
1487466112,122,122
1487467220,101,101
1487468187,58,58
1487469146,104,104
1487470105,93,93
1487471051,67,67
1487472018,97,97
1487472983,73,73
1487473946,89,89
1487474895,76,76
1487475859,106,106
1487476895,126,126
1487478029,117,117
1487478975,60,60
1487479944,79,79
1487480905,82,82
1487481851,76,76
1487482819,80,80
1487483798,77,77
1487484759,86,86
1487485706,79,79
1487486665,111,111
1487487704,111,111
1487488813,147,147
1487489791,65,65
1487490747,122,122
1487491705,114,114
1487492662,76,76
1487493621,122,122
1487494588,73,73
1487495557,82,82
1487496513,73,73
1487497465,85,85
1487498511,104,104
1487499625,108,108
1487500589,72,72
1487501547,117,117
1487502499,107,107
1487503463,82,82
1487504430,157,157
1487505387,62,62
1487506354,113,113
1487507328,97,97
1487508270,65,65
1487509305,114,114
1487510425,99,99
1487511414,65,65
1487512346,115,115
1487513321,112,112
1487514270,60,60
1487515237,120,120
1487516187,80,80
1487517169,87,87
1487518107,108,108
1487519068,52,52
1487520103,126,126
1487521218,105,105
1487522182,57,57
1487523142,108,108
1487524108,98,98
1487525060,95,95
1487526015,92,92
1487526991,74,74
1487527963,88,88
1487528913,97,97
1487529862,73,73
1487530910,101,101
1487532032,110,110
1487532985,70,70
1487533954,121,121
1487534897,112,112
1487535866,80,80
1487536814,115,115
1487537804,90,90
1487538757,94,94
1487539723,104,104
1487540664,49,49
1487541727,97,97
1487542829,108,108
1487543785,76,76
1487544750,97,97
1487545699,111,111
1487546670,71,71
1487547615,100,100
1487548589,108,108
1487549565,119,119
1487550525,101,101
1487551463,86,86
1487552502,112,112
1487553613,128,128
1487554591,64,64
1487555537,93,93
1487556788,100,100
1487557709,93,93
1487558664,79,79
1487559720,109,109
1487560811,109,109
1487561797,51,51
1487562736,121,121
1487563698,88,88
1487564661,73,73
1487565617,94,94
1487566595,78,78
1487567549,98,98
1487568505,108,108
1487569451,68,68
1487570502,119,119
1487571612,106,106
1487573086,123,123
1487574117,121,121
1487575225,129,129
1487576178,54,54
1487577144,104,104
1487578104,125,125
1487579052,79,79
1487580010,87,87
1487580994,68,68
1487581956,95,95
