DateTime,AddedIPs,RemovedIPs
1483621352,1,0
1483624804,1,0
1483635604,0,2
1483671604,1,0
1483675204,1,1
1483693205,1,1
1483747205,5,0
1483758004,0,1
1483772404,1,0
1483783205,1,0
1483790404,0,1
1483794004,1,0
1483830005,4,0
1483855204,1,0
1483869605,1,0
1483873205,1,0
1483894805,0,1
1483927204,1,0
1483930805,1,0
1484017204,0,1
1484020806,0,1
1484121605,0,1
1484143205,0,1
1484150404,1,0
1484157605,0,1
1484182805,0,1
1484204405,0,1
1484215205,1,1
1484222405,0,1
1484226004,1,1
1484229605,0,1
1484233205,1,0
1484240405,0,1
1484305205,0,1
1484312405,1,0
1484319606,1,0
1484330407,1,0
1484344805,2,0
1484380805,0,1
1484391605,2,0
1484398806,0,3
1484402406,0,1
1484406005,0,1
1484499605,1,0
1484539204,0,2
1484571605,1,0
1484589605,0,1
1484593205,1,0
1484611205,0,1
1484632805,0,3
1484636404,1,1
1484647204,0,1
1484686804,1,0
1484704805,1,0
1484733605,1,0
1484751605,4,0
1484755205,1,0
1484766005,0,1
1484773205,0,1
1484802005,0,4
1484805605,1,1
1484809204,0,4
1484812804,1,1
1484816405,0,1
1484820005,1,0
1484834405,1,0
1484845205,0,1
1484848804,1,0
1484881205,2,0
1484938805,1,0
1484956804,0,1
1484989205,0,1
1484996406,2,0
1485021605,0,1
1485036005,1,0
1485043207,1,0
1485050407,0,1
1485079206,1,0
1485100806,0,2
1485118807,1,0
1485198005,0,1
