DateTime,Entries,UniqueIPs
1483110024,412,412
1483117224,411,411
1483120824,410,410
1483124424,413,413
1483128024,418,418
1483131625,422,422
1483135225,422,422
1483138825,423,423
1483142424,422,422
1483146024,422,422
1483149624,424,424
1483156825,425,425
1483160424,424,424
1483164025,423,423
1483171225,422,422
1483174824,423,423
1483178425,423,423
1483182025,424,424
1483185625,426,426
1483189225,426,426
1483192825,427,427
1483196425,426,426
1483200024,426,426
1483207224,426,426
1483210824,427,427
1483214425,427,427
1483218024,427,427
1483221625,427,427
1483225225,423,423
1483228823,423,423
1483232436,423,423
1483236029,427,427
1483239627,430,430
1483243228,433,433
1483246827,434,434
1483254026,433,433
1483257626,433,433
1483261225,433,433
1483264825,434,434
1483268425,432,432
1483272026,433,433
1483275625,434,434
1483279226,432,432
1483282826,431,431
1483286426,430,430
1483297226,430,430
1483300825,431,431
1483304425,433,433
1483308025,434,434
1483311624,432,432
1483315224,430,430
1483318824,430,430
1483322425,430,430
1483326024,428,428
1483329624,425,425
1483340426,426,426
1483344026,427,427
1483347625,430,430
1483351226,429,429
1483354825,428,428
1483358424,414,414
1483362025,415,415
1483365625,415,415
1483369226,413,413
1483372825,414,414
1483376424,413,413
1483380026,411,411
1483383626,410,410
1483387226,405,405
1483390826,406,406
1483394431,415,415
1483398038,418,418
1483401639,420,420
1483405238,421,421
1483408842,424,424
1483416039,425,425
1483419638,426,426
1483423234,427,427
1483426834,428,428
1483437634,436,436
1483441231,445,445
1483444831,450,450
1483448431,454,454
1483452031,454,454
1483455627,456,456
1483459228,456,456
1483462830,455,455
1483466428,451,451
1483470027,450,450
1483473627,451,451
1483477227,451,451
1483480827,452,452
1483484426,452,452
1483488028,454,454
1483491627,454,454
1483495226,453,453
1483498826,453,453
1483502426,452,452
1483506026,453,453
1483509626,452,452
1483513225,451,451
1483520425,451,451
1483524026,451,451
1483527626,450,450
1483534825,448,448
1483538425,447,447
1483542026,446,446
1483545626,445,445
1483549226,446,446
1483552826,448,448
1483560026,447,447
1483563626,446,446
1483567226,443,443
1483570825,447,447
1483574426,450,450
1483578026,448,448
1483581625,447,447
1483585225,446,446
1483588825,446,446
1483592426,446,446
1483596027,447,447
1483599626,459,459
1483603226,460,460
1483606826,460,460
1483610426,459,459
1483615781,457,457
1483623042,455,455
1483628426,453,453
1483632026,451,451
1483635626,452,452
1483642826,451,451
1483646425,450,450
1483650025,454,454
1483653626,456,456
1483657226,456,456
1483660825,452,452
1483664425,453,453
