DateTime,AddedIPs,RemovedIPs
1483592405,0,1
1483632004,0,1
1483653605,1,0
1483693204,0,1
1483711227,1,0
1483722005,0,1
1483725604,1,0
1483840804,1,0
1483858804,0,1
1483902004,0,1
1483927204,1,0
1483956004,1,0
1483981204,0,1
1484006404,0,2
1484071204,1,0
1484082004,0,4
1484092804,0,1
1484114403,0,1
1484125204,1,0
1484128803,1,0
1484157604,0,1
1484164804,0,1
1484193603,3,0
1484229604,1,0
1484233205,0,1
1484251204,1,0
1484258404,0,1
1484316004,0,1
1484326805,1,1
1484330406,0,1
1484341204,1,0
1484445604,0,1
1484474404,1,0
1484478003,1,0
1484496005,0,1
1484532004,0,1
1484553604,0,1
1484575204,0,1
1484614809,0,1
1484618403,1,0
1484629204,1,0
1484632804,1,0
1484668804,0,1
1484676004,1,0
1484686804,0,1
1484726404,0,1
1484737204,0,1
1484802004,0,3
1484805604,1,0
1484834405,0,1
1484856003,0,1
1484870403,1,0
1484931605,0,1
1484946004,0,1
1485082804,0,1
1485122404,0,1
1485198004,1,0
1485223203,0,1
1485226804,0,1
1485234004,0,1
1485241203,1,0
1485244804,1,0
