DateTime,Entries,UniqueIPs
1483560004,29,29
1483592405,28,28
1483632004,27,27
1483653605,28,28
1483693204,27,27
1483711227,28,28
1483722005,27,27
1483725604,28,28
1483840804,29,29
1483858804,28,28
1483902004,27,27
1483927204,28,28
1483956004,29,29
1483981204,28,28
1484006404,26,26
1484071204,27,27
1484082004,23,23
1484092804,22,22
1484114403,21,21
1484125204,22,22
1484128803,23,23
1484157604,22,22
1484164804,21,21
1484193603,24,24
1484229604,25,25
1484233205,24,24
1484251204,25,25
1484258404,24,24
1484316004,23,23
1484326805,23,23
1484330406,22,22
1484341204,23,23
1484445604,22,22
1484474404,23,23
1484478003,24,24
1484496005,23,23
1484532004,22,22
1484553604,21,21
1484575204,20,20
1484614809,19,19
1484618403,20,20
1484629204,21,21
1484632804,22,22
1484668804,21,21
1484676004,22,22
1484686804,21,21
1484726404,20,20
1484737204,19,19
1484802004,16,16
1484805604,17,17
1484834405,16,16
1484856003,15,15
1484870403,16,16
1484931605,15,15
1484946004,14,14
1485082804,13,13
1485122404,12,12
1485198004,13,13
1485223203,12,12
1485226804,11,11
