DateTime,Entries,UniqueIPs
1486084305,12632,12632
1486087901,12579,12579
1486091498,12526,12526
1486095095,12487,12487
1486098693,12434,12434
1486102292,12385,12385
1486105888,12325,12325
1486109484,12245,12245
1486113081,12191,12191
1486116673,12121,12121
1486120270,12067,12067
1486123871,12011,12011
1486127466,11935,11935
1486131061,11874,11874
1486134660,11812,11812
1486138257,11739,11739
1486141857,11695,11695
1486145452,11646,11646
1486149051,11600,11600
1486152645,11558,11558
1486156246,11516,11516
1486159842,11472,11472
1486163442,11415,11415
1486167039,11358,11358
1486170635,11298,11298
1486174229,11218,11218
1486177829,11148,11148
1486181419,11058,11058
1486185016,11015,11015
1486188614,10950,10950
1486192209,10884,10884
1486195807,10817,10817
1486199403,10755,10755
1486203003,10700,10700
1486206599,10643,10643
1486210196,10593,10593
1486213794,10542,10542
1486217391,10502,10502
1486220987,10451,10451
1486224588,10414,10414
1486228182,10369,10369
1486231781,10346,10346
1486235379,10298,10298
1486238978,10254,10254
1486242574,10232,10232
1486246173,10196,10196
1486249771,10158,10158
1486253371,10130,10130
1486256969,10078,10078
1486260565,10015,10015
1486264161,9967,9967
1486267761,9928,9928
1486271355,9879,9879
1486274953,9817,9817
1486278550,9757,9757
1486282148,9684,9684
1486285743,9619,9619
1486289340,9548,9548
1486292932,9448,9448
1486296528,9341,9341
1486300124,9262,9262
1486303720,9179,9179
1486307314,9090,9090
1486310913,9013,9013
1486314508,8919,8919
1486318105,8850,8850
1486321698,8761,8761
1486325296,8666,8666
1486328889,8589,8589
1486332483,8487,8487
1486336080,8388,8388
1486339674,8303,8303
1486343271,8243,8243
1486346867,8140,8140
1486350459,8044,8044
1486354055,7945,7945
1486357651,7864,7864
1486361246,7773,7773
1486364840,7678,7678
1486368434,7566,7566
1486372030,7474,7474
1486375623,7366,7366
1486379217,7255,7255
1486382816,7163,7163
1486386411,7042,7042
1486390002,6939,6939
1486393597,6851,6851
1486397190,6744,6744
1486400787,6658,6658
1486404383,6570,6570
1486407978,6459,6459
1486411573,6370,6370
1486415169,6296,6296
1486418764,6227,6227
1486422361,6140,6140
1486425955,6049,6049
1486429552,5981,5981
1486433148,5911,5911
1486436743,5848,5848
1486440340,5784,5784
1486443935,5710,5710
1486447535,5667,5667
1486451130,5603,5603
1486454729,5556,5556
1486458327,5526,5526
1486461927,5495,5495
1486465521,5444,5444
1486469121,5409,5409
1486472721,5414,5414
1486476320,5397,5397
1486479919,5378,5378
1486483519,5338,5338
1486487116,5323,5323
1486490715,5305,5305
1486494304,5269,5269
1486497903,5233,5233
1486501501,5228,5228
1486505111,5209,5209
1486508701,5187,5187
1486512301,5169,5169
1486515896,5136,5136
1486519497,5115,5115
1486523093,5083,5083
1486526694,5054,5054
1486530291,5041,5041
1486533891,5023,5023
1486537491,5004,5004
1486541090,4977,4977
1486544688,4964,4964
1486548288,4961,4961
1486551886,4941,4941
1486555485,4911,4911
1486559084,4894,4894
1486562685,4877,4877
1486566283,4856,4856
1486569883,4839,4839
1486573482,4820,4820
1486577081,4812,4812
1486580682,4805,4805
1486584279,4787,4787
1486587880,4796,4796
1486591479,4792,4792
1486595080,4772,4772
1486598679,4761,4761
1486602278,4754,4754
1486605881,4749,4749
1486609477,4744,4744
1486613077,4724,4724
1486616674,4709,4709
1486620277,4699,4699
1486623875,4685,4685
1486627474,4676,4676
1486631075,4664,4664
1486634675,4655,4655
1486638272,4628,4628
1486641872,4610,4610
1486645471,4603,4603
1486649070,4591,4591
1486652671,4596,4596
1486656269,4588,4588
1486659869,4572,4572
1486663470,4551,4551
1486667068,4538,4538
1486670668,4536,4536
1486674270,4531,4531
1486677866,4528,4528
1486681467,4512,4512
1486685066,4512,4512
1486688670,4514,4514
1486692266,4496,4496
1486695863,4485,4485
1486699465,4474,4474
1486703063,4470,4470
1486706662,4471,4471
1486710263,4455,4455
1486713861,4448,4448
1486717462,4444,4444
1486721061,4445,4445
1486724662,4432,4432
1486728263,4428,4428
1486731862,4430,4430
1486735461,4423,4423
1486739062,4436,4436
1486742663,4429,4429
1486746263,4411,4411
1486749861,4399,4399
1486753462,4389,4389
1486757059,4389,4389
1486760660,4387,4387
1486764261,4379,4379
1486767858,4377,4377
1486771458,4359,4359
1486775059,4365,4365
1486778659,4361,4361
1486782260,4362,4362
1486785858,4368,4368
1486789459,4357,4357
1486793060,4347,4347
1486796660,4342,4342
1486800258,4343,4343
1486803859,4332,4332
1486807458,4335,4335
1486811060,4326,4326
1486814657,4323,4323
1486818256,4319,4319
1486821856,4310,4310
1486825457,4301,4301
1486829055,4299,4299
1486832656,4300,4300
1486836254,4290,4290
1486839854,4283,4283
1486843455,4285,4285
1486847053,4280,4280
1486850655,4278,4278
1486854257,4273,4273
1486857853,4260,4260
1486861452,4248,4248
1486865052,4241,4241
1486868652,4238,4238
1486872251,4225,4225
1486875850,4213,4213
1486879451,4205,4205
1486883052,4224,4224
1486886650,4215,4215
1486890249,4200,4200
1486893851,4196,4196
1486897451,4205,4205
1486901051,4205,4205
1486904653,4202,4202
1486908251,4211,4211
1486911850,4213,4213
1486915449,4212,4212
1486919051,4202,4202
1486922648,4200,4200
1486926250,4194,4194
1486929851,4188,4188
1486933450,4189,4189
1486937051,4191,4191
1486940650,4192,4192
1486944249,4188,4188
1486947849,4177,4177
1486951448,4178,4178
1486955050,4178,4178
1486958651,4178,4178
1486962248,4160,4160
1486965849,4158,4158
1486969447,4156,4156
1486973047,4153,4153
1486976648,4143,4143
1486980246,4135,4135
1486983847,4133,4133
1486987448,4122,4122
1486991049,4133,4133
1486994649,4123,4123
1486998247,4111,4111
1487001846,4104,4104
1487005445,4092,4092
1487009046,4070,4070
1487012646,4070,4070
1487016247,4051,4051
1487019845,4043,4043
1487023445,4037,4037
1487027043,4040,4040
1487030644,4033,4033
1487034243,4024,4024
1487037842,4021,4021
1487041441,4004,4004
1487045042,3997,3997
1487048641,4018,4018
1487052242,4017,4017
1487077415,4014,4014
1487081047,3973,3973
1487084641,3955,3955
1487088242,3953,3953
1487091844,3936,3936
1487095445,3939,3939
1487106452,3928,3928
1487109846,3929,3929
1487113441,3928,3928
1487117041,3907,3907
1487120639,3911,3911
1487124242,3903,3903
1487127840,3893,3893
1487131437,3887,3887
1487135036,3875,3875
1487138641,3871,3871
1487142238,3859,3859
1487145837,3844,3844
1487149436,3832,3832
1487153035,3818,3818
1487156638,3824,3824
1487160235,3828,3828
1487163836,3816,3816
1487167435,3808,3808
1487171036,3792,3792
1487174636,3793,3793
1487178233,3779,3779
1487181833,3776,3776
1487185436,3762,3762
1487189033,3755,3755
1487192631,3728,3728
1487196232,3716,3716
1487199827,3702,3702
1487203432,3694,3694
1487207028,3687,3687
1487210627,3670,3670
1487214228,3659,3659
1487217829,3656,3656
1487221428,3658,3658
1487225027,3663,3663
1487228627,3666,3666
1487232230,3656,3656
1487235828,3650,3650
1487239425,3632,3632
1487243027,3627,3627
1487246628,3624,3624
1487250228,3625,3625
1487253828,3631,3631
1487257429,3628,3628
1487261029,3617,3617
1487264629,3618,3618
1487268227,3600,3600
1487271826,3600,3600
1487275428,3592,3592
1487279028,3588,3588
1487282625,3573,3573
1487286225,3560,3560
1487289825,3554,3554
1487293466,3539,3539
1487297021,3531,3531
1487300624,3532,3532
1487304223,3530,3530
1487307820,3518,3518
1487311424,3504,3504
1487315020,3494,3494
1487318619,3489,3489
1487322219,3486,3486
1487325821,3477,3477
1487329417,3478,3478
1487333019,3467,3467
1487336619,3462,3462
1487340218,3451,3451
1487343817,3432,3432
1487347418,3420,3420
1487351017,3409,3409
1487354619,3402,3402
1487358220,3421,3421
1487361815,3412,3412
1487365419,3409,3409
1487369020,3426,3426
1487372620,3426,3426
1487376220,3428,3428
