DateTime,Entries,UniqueIPs
1486156165,9552,9552
1486159762,9505,9505
1486163358,9457,9457
1486166957,9396,9396
1486170557,9338,9338
1486174149,9256,9256
1486177746,9189,9189
1486181337,9110,9110
1486184938,9068,9068
1486188535,9005,9005
1486192131,8942,8942
1486195727,8880,8880
1486199324,8805,8805
1486202919,8735,8735
1486206518,8677,8677
1486210115,8627,8627
1486213712,8575,8575
1486217311,8528,8528
1486220908,8471,8471
1486224505,8426,8426
1486228108,8385,8385
1486231706,8344,8344
1486235303,8288,8288
1486238903,8258,8258
1486242501,8224,8224
1486246098,8186,8186
1486249698,8153,8153
1486253299,8129,8129
1486256896,8074,8074
1486260494,8025,8025
1486264090,7975,7975
1486267689,7930,7930
1486271285,7882,7882
1486274881,7827,7827
1486278478,7767,7767
1486282073,7688,7688
1486285670,7618,7618
1486289267,7543,7543
1486292861,7447,7447
1486296458,7353,7353
1486300054,7277,7277
1486303649,7202,7202
1486307245,7125,7125
1486310840,7056,7056
1486314438,6971,6971
1486318038,6905,6905
1486321632,6821,6821
1486325228,6730,6730
1486328822,6645,6645
1486332416,6550,6550
1486336011,6454,6454
1486339606,6372,6372
1486343204,6310,6310
1486346797,6216,6216
1486350388,6124,6124
1486353987,6030,6030
1486357580,5944,5944
1486361177,5857,5857
1486364772,5762,5762
1486368365,5657,5657
1486371963,5568,5568
1486375557,5463,5463
1486379152,5358,5358
1486382748,5262,5262
1486386341,5150,5150
1486389936,5061,5061
1486393531,4963,4963
1486397127,4874,4874
1486400723,4792,4792
1486404319,4705,4705
1486407912,4606,4606
1486411509,4511,4511
1486415104,4440,4440
1486418699,4369,4369
1486422293,4289,4289
1486425890,4206,4206
1486429484,4137,4137
1486433082,4068,4068
1486436677,4007,4007
1486440274,3948,3948
1486443871,3888,3888
1486447471,3849,3849
1486451066,3798,3798
1486454666,3759,3759
1486458269,3729,3729
1486461867,3691,3691
1486465463,3645,3645
1486469059,3606,3606
1486472657,3576,3576
1486476255,3543,3543
1486479853,3534,3534
1486483452,3492,3492
1486487051,3474,3474
1486490650,3446,3446
1486494240,3417,3417
1486497841,3390,3390
1486501438,3373,3373
1486505047,3356,3356
1486508637,3334,3334
1486512235,3304,3304
1486515832,3272,3272
1486519433,3245,3245
1486523028,3221,3221
1486526632,3195,3195
1486530231,3176,3176
1486533829,3148,3148
1486537426,3131,3131
1486541026,3106,3106
1486544625,3089,3089
1486548224,3073,3073
1486551823,3056,3056
1486555422,3042,3042
1486559020,3022,3022
1486562622,3006,3006
1486566219,2979,2979
1486569819,2959,2959
1486573419,2941,2941
1486577018,2937,2937
1486580619,2918,2918
1486584217,2900,2900
1486587816,2887,2887
1486591414,2875,2875
1486595015,2857,2857
1486598613,2841,2841
1486602210,2828,2828
1486605812,2819,2819
1486609410,2800,2800
1486613008,2783,2783
1486616611,2769,2769
1486620214,2757,2757
1486623814,2743,2743
1486627410,2728,2728
1486631012,2718,2718
1486634612,2701,2701
1486638212,2688,2688
1486641810,2678,2678
1486645407,2676,2676
1486649009,2663,2663
1486652610,2664,2664
1486656205,2659,2659
1486659808,2648,2648
1486663409,2645,2645
1486667005,2636,2636
1486670603,2630,2630
1486674202,2620,2620
1486677802,2611,2611
1486681400,2593,2593
1486685001,2590,2590
1486688599,2582,2582
1486692202,2568,2568
1486695800,2552,2552
1486699397,2546,2546
1486702997,2537,2537
1486706598,2537,2537
1486710200,2527,2527
1486713798,2516,2516
1486717398,2509,2509
1486720997,2512,2512
1486724598,2500,2500
1486728195,2497,2497
1486731796,2499,2499
1486735397,2487,2487
1486738995,2479,2479
1486742596,2477,2477
1486746194,2456,2456
1486749797,2447,2447
1486753397,2447,2447
1486756998,2447,2447
1486760599,2449,2449
1486764197,2446,2446
1486767795,2445,2445
1486771397,2436,2436
1486774997,2443,2443
1486778594,2434,2434
1486782192,2436,2436
1486785794,2427,2427
1486789392,2420,2420
1486792991,2410,2410
1486796594,2408,2408
1486800201,2407,2407
1486803798,2401,2401
1486807399,2399,2399
1486810996,2391,2391
1486814596,2392,2392
1486818201,2391,2391
1486821796,2381,2381
1486825396,2380,2380
1486828995,2378,2378
1486832595,2384,2384
1486836194,2387,2387
1486839797,2382,2382
1486843397,2381,2381
1486846994,2377,2377
1486850595,2379,2379
1486854193,2376,2376
1486857794,2373,2373
1486861393,2372,2372
1486864991,2371,2371
1486868590,2366,2366
1486872190,2364,2364
1486875789,2358,2358
1486879391,2354,2354
1486882991,2359,2359
1486886590,2347,2347
1486890190,2340,2340
1486893790,2336,2336
1486897390,2342,2342
1486900989,2339,2339
1486904588,2338,2338
1486908187,2346,2346
1486911787,2341,2341
1486915390,2340,2340
1486918991,2336,2336
1486922593,2329,2329
1486926194,2330,2330
1486929791,2326,2326
1486933390,2326,2326
1486936990,2328,2328
1486940590,2322,2322
1486944192,2317,2317
1486947792,2307,2307
1486951389,2306,2306
1486954994,2304,2304
1486958587,2300,2300
1486962189,2291,2291
1486965789,2292,2292
1486969393,2294,2294
1486972996,2291,2291
1486976597,2279,2279
1486980194,2270,2270
1486983791,2267,2267
1486987389,2269,2269
1486990989,2271,2271
1486994589,2263,2263
1486998188,2268,2268
1487001786,2266,2266
1487005388,2261,2261
1487008988,2254,2254
1487012588,2252,2252
1487016192,2250,2250
1487019788,2242,2242
1487023388,2237,2237
1487026987,2237,2237
1487030589,2236,2236
1487034188,2242,2242
1487037786,2244,2244
1487041384,2236,2236
1487044982,2233,2233
1487048583,2240,2240
1487052187,2242,2242
1487077317,2240,2240
1487080989,2228,2228
1487084591,2215,2215
1487088190,2212,2212
1487091789,2209,2209
1487095390,2201,2201
1487101879,2196,2196
1487104290,2194,2194
1487106404,2188,2188
1487109796,2195,2195
1487113391,2190,2190
1487116987,2186,2186
1487120588,2177,2177
1487124190,2175,2175
1487127788,2167,2167
1487131388,2169,2169
1487134987,2164,2164
1487138587,2167,2167
1487142186,2161,2161
1487145782,2155,2155
1487149382,2148,2148
1487152986,2146,2146
1487156586,2147,2147
1487160185,2148,2148
1487163784,2139,2139
1487167386,2133,2133
1487170988,2124,2124
1487174587,2122,2122
1487178185,2119,2119
1487181788,2113,2113
1487185385,2105,2105
1487188984,2101,2101
1487192583,2097,2097
1487196184,2090,2090
1487199783,2083,2083
1487203382,2084,2084
1487206983,2082,2082
1487210582,2076,2076
1487214184,2083,2083
1487217784,2083,2083
1487221383,2080,2080
1487224982,2075,2075
1487228583,2072,2072
1487232186,2068,2068
1487235781,2063,2063
1487239380,2057,2057
1487242981,2050,2050
1487246581,2050,2050
1487250181,2051,2051
1487253778,2047,2047
1487257379,2047,2047
1487260980,2039,2039
1487264583,2037,2037
1487268182,2023,2023
1487271779,2022,2022
1487275381,2023,2023
1487278984,2023,2023
1487282584,2019,2019
1487286178,2013,2013
1487289780,2012,2012
1487293388,2007,2007
1487296974,2003,2003
1487300578,2002,2002
1487304178,1998,1998
1487307782,2000,2000
1487311386,1992,1992
1487314976,1986,1986
1487318581,1984,1984
1487322178,1984,1984
1487325776,1977,1977
1487329376,1981,1981
1487332976,1972,1972
1487336585,1969,1969
1487340179,1967,1967
1487343777,1966,1966
1487347379,1962,1962
1487350981,1959,1959
1487354578,1954,1954
1487358179,1959,1959
1487361782,1958,1958
1487365378,1950,1950
1487368984,1969,1969
1487372579,1966,1966
1487376179,1966,1966
1487379777,1963,1963
1487383378,1965,1965
1487386980,1964,1964
1487390580,1964,1964
1487394181,1955,1955
1487397776,1955,1955
1487401378,1951,1951
1487404979,1943,1943
1487408576,1943,1943
1487412176,1945,1945
1487415777,1939,1939
1487419377,1934,1934
1487422978,1919,1919
1487426579,1921,1921
1487430175,1916,1916
1487433777,1912,1912
1487437377,1907,1907
1487440978,1905,1905
1487444579,1901,1901
1487448178,1905,1905
1487451776,1898,1898
1487455376,1897,1897
1487458978,1899,1899
1487462578,1901,1901
1487466177,1894,1894
1487469776,1890,1890
1487473374,1890,1890
1487476974,1887,1887
1487480572,1891,1891
1487484173,1895,1895
1487487771,1898,1898
1487491377,1897,1897
1487494976,1900,1900
1487498575,1894,1894
1487502175,1887,1887
1487505777,1885,1885
1487509375,1884,1884
1487512975,1879,1879
1487516573,1879,1879
1487520176,1879,1879
1487523777,1880,1880
1487527377,1876,1876
1487530978,1875,1875
1487534575,1875,1875
1487538178,1876,1876
1487541777,1874,1874
1487545377,1874,1874
1487548976,1869,1869
1487552574,1865,1865
1487556175,1858,1858
1487559775,1845,1845
1487563374,1836,1836
1487566975,1833,1833
1487570576,1825,1825
1487574174,1816,1816
1487577778,1817,1817
1487581376,1825,1825
1487584975,1823,1823
1487588573,1813,1813
1487592176,1807,1807
1487595771,1804,1804
1487599371,1796,1796
1487602969,1789,1789
1487606568,1788,1788
1487610169,1788,1788
1487613774,1792,1792
1487617382,1797,1797
1487620975,1797,1797
1487624576,1793,1793
1487628175,1792,1792
1487631774,1796,1796
1487635373,1799,1799
1487638973,1802,1802
1487642573,1804,1804
1487646172,1802,1802
1487649774,1793,1793
1487653376,1787,1787
