DateTime,Entries,UniqueIPs
1483437364,6892,6892
1483441216,6894,6894
1483445042,6911,6911
1483446962,6918,6918
1483450803,6915,6915
1483454642,6928,6928
1483458723,6947,6947
1483462563,6971,6971
1483466404,6963,6963
1483468323,6970,6970
1483472163,6961,6961
1483476003,6934,6934
1483479844,6969,6969
1483483682,6960,6960
1483487524,6929,6929
1483491362,6946,6946
1483495203,6947,6947
1483497123,6909,6909
1483500963,6900,6900
1483504802,6910,6910
1483508883,6912,6912
1483512722,6915,6915
1483516563,6927,6927
1483520405,6928,6928
1483522337,6946,6946
1483526403,6956,6956
1483530243,6963,6963
1483534324,6978,6978
1483536243,6963,6963
1483538163,6980,6980
1483542016,6986,6986
1483543923,6970,6970
1483547763,6970,6970
1483551603,6985,6985
1483555443,6983,6983
1483559282,6981,6981
1483563124,6975,6975
1483566963,6956,6956
1483570815,6943,6943
1483574884,6933,6933
1483576803,6935,6935
1483580644,6940,6940
1483584483,6922,6922
1483588323,6909,6909
1483592406,6906,6906
1483594337,6906,6906
1483598163,6912,6912
1483602003,6915,6915
1483605843,6936,6936
1483609682,6937,6937
1483614017,6943,6943
1483615923,6935,6935
1483619763,6948,6948
1483623603,6981,6981
1483627443,6969,6969
1483631282,6957,6957
1483635124,6954,6954
1483638963,6951,6951
1483644724,6964,6964
1483648564,6973,6973
1483652404,6949,6949
1483656245,6969,6969
1483660324,6944,6944
1483664406,6955,6955
1483666337,6938,6938
1483670173,6923,6923
1483674003,6914,6914
1483677843,6914,6914
1483681924,6913,6913
1483685763,6941,6941
1483689607,6947,6947
1483692246,6948,6948
1483696082,6947,6947
1483698003,6954,6954
1483699923,6973,6973
1483703763,6971,6971
1483707606,6992,6992
1483709537,6984,6984
1483713369,6994,6994
1483717202,6995,6995
1483721043,6999,6999
1483725124,7005,7005
1483728962,6991,6991
1483732805,6995,6995
1483734722,6993,6993
1483738562,6972,6972
1483742643,6965,6965
1483746483,6946,6946
1483750323,6960,6960
1483754163,6958,6958
