DateTime,AddedIPs,RemovedIPs
1484404508,2,0
1484405408,4,0
1484406608,1,0
1484407508,1,0
1484411708,1,0
1484417109,0,1
1484418609,45,0
1484421608,1,0
1484425208,1,0
1484425809,0,1
1484428209,1,0
1484430908,1,0
1484436008,0,1
1484438710,1,0
1484439909,0,1
1484444108,0,1
1484449208,0,2
1484451607,1,0
1484456108,1,0
1484458809,1,0
1484459408,1,0
1484464508,1,0
1484466908,1,0
1484467810,1,0
1484468708,1,0
1484469008,1,0
1484469609,1,0
1484469909,2,0
1484470508,1,0
1484471108,1,0
1484471408,1,0
1484472008,1,0
1484472308,1,0
1484473509,1,0
1484473808,1,0
1484474108,2,0
1484475008,2,0
1484475308,1,0
1484476208,3,0
1484476808,1,0
1484477109,1,0
1484478008,2,0
1484478608,1,0
1484479511,1,0
1484481009,1,0
1484483108,1,0
1484484309,1,0
1484484608,1,0
1484484907,1,0
1484485509,1,0
1484485810,1,0
1484486707,1,0
1484487008,1,0
1484487308,1,0
1484487909,1,0
1484488808,1,0
1484489108,1,0
1484489409,1,0
1484490008,2,0
1484490309,1,0
1484490608,2,0
1484491510,1,0
1484493010,1,0
1484493609,1,3
1484493908,0,1
1484494208,1,0
1484494508,1,0
1484496008,0,1
1484497208,1,0
1484497808,1,0
1484498408,0,1
1484498709,3,0
1484499308,2,0
1484499608,1,0
1484499910,2,0
1484501408,1,0
1484502609,1,0
1484503208,1,0
1484505008,1,0
1484506809,1,0
1484507108,1,0
1484507708,1,0
1484508322,1,0
1484509807,0,1
1484510108,1,0
1484513408,1,0
1484514009,1,0
1484514908,1,0
1484518808,0,1
1484520909,1,0
1484522108,1,0
1484524808,1,0
1484525709,1,0
1484528409,1,0
1484535307,1,0
1484537708,1,0
1484538309,0,1
1484541008,1,0
1484542808,1,0
1484543708,0,1
1484550908,1,0
1484552708,0,1
1484554508,1,1
1484556908,48,0
1484557208,66,0
1484561109,36,0
1484562008,1,0
1484562308,1,0
1484563509,1,0
1484563807,1,0
1484564408,1,0
1484564708,1,0
1484565309,1,0
1484565909,1,0
1484566209,1,0
1484567108,1,0
1484568008,1,0
1484568607,1,0
1484569509,1,0
1484569809,1,0
1484570108,35,0
1484571008,1,0
1484571308,1,0
1484571608,1,0
1484572808,2,0
1484573708,1,0
1484574008,1,0
1484574308,1,0
1484574909,1,0
1484575509,1,0
1484577009,1,0
1484579108,1,0
1484580308,1,0
1484581208,1,0
1484583608,1,0
1484586608,1,0
1484589309,5,0
1484590209,1,0
1484592008,1,0
1484592908,1,0
1484594709,1,0
1484595308,1,1
1484595608,1,0
1484596508,0,1
1484599808,1,0
1484602208,0,1
1484606708,1,0
1484609708,1,0
1484616308,0,1
1484624709,1,0
1484628908,0,1
1484638808,1,0
1484641208,1,0
1484643008,117,0
1484643909,1,0
1484645108,15,0
1484645409,58,0
1484645709,65,0
1484646008,48,0
1484646308,22,0
1484646609,16,0
1484646908,20,3
1484647208,11,0
1484647508,11,0
1484647811,7,0
1484648109,7,1
1484648410,15,0
1484648708,6,0
1484649008,8,0
1484649308,5,0
1484649608,5,0
1484649910,0,4
1484650208,4,3
1484650509,1,0
1484651108,4,0
1484651410,5,0
1484652008,5,0
1484652908,10,0
