DateTime,Entries,UniqueIPs
1484467810,291966,302542
1484468708,291967,302543
1484469008,291968,302544
1484469609,291969,302545
1484469909,291971,302547
1484470508,291972,302548
1484471108,291973,302549
1484471408,291974,302550
1484472008,291975,302551
1484472308,291976,302552
1484473509,291977,302553
1484473808,291978,302554
1484474108,291980,302556
1484475008,291982,302558
1484475308,291983,302559
1484476208,291986,302562
1484476808,291987,302563
1484477109,291988,302564
1484478008,291990,302566
1484478608,291991,302567
1484479511,291992,302568
1484481009,291993,302569
1484483108,291994,302570
1484484309,291995,302571
1484484608,291996,302572
1484484907,291997,302573
1484485509,291998,302574
1484485810,291999,302575
1484486707,292000,302576
1484487008,292001,302577
1484487308,292002,302578
1484487909,292003,302579
1484488808,292004,302580
1484489108,292005,302581
1484489409,292006,302582
1484490008,292008,302584
1484490309,292009,302585
1484490608,292011,302587
1484491510,292012,302588
1484493010,292013,302589
1484493609,292011,302587
1484493908,292011,302586
1484494208,292011,302587
1484494508,292012,302588
1484496008,292011,302587
1484497208,292012,302588
1484497808,292013,302589
1484498408,292012,302588
1484498709,292015,302591
1484499308,292017,302593
1484499608,292018,302594
1484499910,292020,302596
1484501408,292021,302597
1484502609,292022,302598
1484503208,292023,302599
1484505008,292024,302600
1484506809,292025,302601
1484507108,292026,302602
1484507708,292027,302603
1484508322,292028,302604
1484509807,292027,302603
1484510108,292028,302604
1484513408,292029,302605
1484514009,292030,302606
1484514908,292031,302607
1484518808,292030,302606
1484520909,292031,302607
1484522108,292032,302608
1484524808,292033,302609
1484525709,292034,302610
1484528409,292035,302611
1484535307,292035,302612
1484537708,292036,302613
1484538309,292035,302612
1484541008,292036,302613
1484542808,292037,302614
1484543708,292036,302613
1484550908,292037,302614
1484552708,292036,302613
1484554508,292036,302613
1484556908,292083,302661
1484557208,292148,302727
1484561109,292184,302763
1484562008,292185,302764
1484562308,292186,302765
1484563509,292187,302766
1484563807,292188,302767
1484564408,292189,302768
1484564708,292190,302769
1484565309,292191,302770
1484565909,292192,302771
1484566209,292193,302772
1484567108,292194,302773
1484568008,292195,302774
1484568607,292196,302775
1484569509,292197,302776
1484569809,292198,302777
1484570108,292233,302812
1484571008,292234,302813
1484571308,292235,302814
1484571608,292236,302815
1484572808,292238,302817
1484573708,292239,302818
1484574008,292240,302819
1484574308,292241,302820
1484574909,292242,302821
1484575509,292243,302822
1484577009,292244,302823
1484579108,292245,302824
1484580308,292246,302825
1484581208,292247,302826
1484583608,292248,302827
1484586608,292249,302828
1484589309,292253,302833
1484590209,292254,302834
1484592008,292255,302835
1484592908,292256,302836
1484594709,292257,302837
1484595308,292257,302837
1484595608,292258,302838
1484596508,292257,302837
1484599808,292258,302838
1484602208,292257,302837
1484606708,292258,302838
1484609708,292259,302839
1484616308,292258,302838
1484624709,292259,302839
1484628908,292258,302838
1484638808,292259,302839
1484641208,292260,302840
1484643008,292377,302957
1484643909,292378,302958
1484645108,292392,302973
1484645409,292447,303031
1484645709,292509,303096
1484646008,292556,303144
1484646308,292577,303166
1484646609,292593,303182
1484646908,292611,303199
1484647208,292622,303210
1484647508,292633,303221
1484647811,292640,303228
1484648109,292646,303234
1484648410,292661,303249
1484648708,292667,303255
1484649008,292675,303263
1484649308,292680,303268
1484649608,292685,303273
1484649910,292682,303269
1484650208,292684,303270
1484650509,292685,303271
1484651108,292688,303275
1484651410,292693,303280
1484652008,292697,303285
1484652908,292706,303295
1484655308,292707,303296
1484656208,292708,303297
1484657708,292707,303296
1484658908,292708,303297
1484659509,292745,303334
1484659808,292837,303425
1484660109,292838,303426
1484660709,292839,303427
1484661009,292840,303428
1484662209,292841,303429
1484665208,292842,303430
1484667308,292879,303467
1484667608,292907,303495
1484676610,292908,303496
1484678708,292909,303497
1484679308,292909,303496
1484681709,292910,303497
1484688309,292911,303498
1484690108,292912,303499
1484694010,292913,303500
1484697308,292913,303500
1484700309,292914,303501
1484701507,292915,303502
1484708108,292916,303503
1484708709,292917,303504
1484709009,292918,303505
1484711708,292918,303505
1484722208,292919,303506
1484726108,292919,303506
1484727308,292920,303507
1484728208,292923,303510
1484728809,292929,303516
1484729108,292931,303518
1484729409,292932,303519
1484730008,292937,303524
1484730309,293050,303639
1484730908,293258,303848
1484732409,293309,303901
1484732709,293350,303943
1484733008,293358,303951
1484733608,293375,303968
1484734508,293376,303969
1484737211,293377,303970
1484740808,293378,303971
1484741708,293377,303970
1484742009,293378,303971
1484743210,293379,303972
1484743509,293380,303973
1484744408,293381,303974
1484746208,293382,303975
1484748007,293383,303976
1484751309,293382,303975
1484754008,293383,303976
1484754909,293384,303977
1484755509,293385,303978
1484756108,293385,303979
1484760009,293386,303980
1484761808,293385,303979
1484762408,293384,303978
1484763608,293383,303977
1484767508,293384,303978
1484769309,293383,303977
1484770508,293382,303976
1484771709,293381,303975
1484772308,293382,303976
1484773209,293383,303977
1484774409,293384,303978
1484775308,293385,303979
1484777408,293386,303980
