DateTime,AddedIPs,RemovedIPs
1483811708,0,2
1483812008,0,1
1483812309,0,1
1483860008,0,1
1483869308,0,3
1483869608,0,2
1483871408,0,1
1483872308,0,1
1483899309,0,1
1483908009,0,2
1483911309,0,1
1483922708,1,0
1483923608,1,0
1483952709,0,1
1484036108,0,1
1484054108,0,1
1484060709,0,2
1484061609,0,1
1484062208,0,1
1484068809,0,1
1484069708,0,2
1484071209,0,1
1484075108,25,0
1484076009,32,0
1484076909,4,0
1484140508,0,1
1484144708,0,1
1484155209,0,1
1484164508,0,1
1484174408,0,1
1484186408,4,0
1484206509,0,1
1484206809,0,2
1484207709,0,1
1484208908,0,1
1484219409,0,2
1484221509,0,1
1484228109,0,1
1484239509,0,1
1484247608,0,1
1484253909,0,1
1484254508,0,1
1484261408,0,1
1484287809,0,1
1484293809,0,1
1484301608,0,8
1484313609,0,1
1484314508,0,1
1484316615,0,1
1484330709,0,1
1484339708,0,1
1484350208,0,1
1484353508,0,1
1484365509,0,1
1484373008,0,1
1484387709,0,1
1484392509,0,1
1484396708,0,1
1484397308,0,2
1484406608,0,1
1484422808,0,2
1484423108,0,2
1484423408,0,1
1484425508,0,1
1484426409,0,1
1484481910,0,1
1484500508,0,1
1484502309,0,2
1484505009,0,1
1484507411,0,1
1484517309,0,1
1484519708,0,1
1484534408,0,1
1484543109,0,1
1484550309,0,1
1484552409,0,1
1484554809,0,1
1484555108,0,1
1484565309,0,1
1484565909,0,1
1484578509,0,1
1484594709,0,1
1484600108,0,1
1484605208,0,1
1484621109,0,1
1484626808,0,1
1484636409,0,1
1484649009,0,1
1484653208,0,1
1484655308,0,1
1484659209,0,1
1484664009,0,1
1484695209,0,1
1484704509,0,1
1484718908,0,1
1484720409,0,1
1484731209,0,1
1484731510,0,1
1484731808,0,1
1484732409,0,3
1484732709,0,2
1484733008,0,1
1484733609,0,3
1484734808,0,2
1484735109,0,2
1484735408,0,3
1484735708,0,1
1484738409,0,2
1484738710,0,1
1484739308,0,1
1484740208,0,2
1484740508,0,1
1484741409,0,1
1484741709,0,1
1484742009,0,1
1484742310,0,1
1484742609,0,1
1484744408,0,2
1484744709,0,1
1484745013,0,2
1484745609,0,1
1484745909,0,2
1484746208,0,1
1484746509,0,2
1484746808,0,4
1484747109,0,2
1484747709,0,1
1484748310,0,1
1484748609,0,3
1484748910,0,1
1484776808,0,1
1484785208,0,1
1484787609,0,1
1484811609,0,1
1484837708,0,1
1484844608,0,1
1484853008,0,1
1484853609,0,1
1484868309,0,1
1484874908,0,1
1484908808,0,1
1484915110,0,1
1484915709,0,1
1484920209,0,1
1484929812,0,1
1484933708,0,1
1484934908,0,1
1484941511,1,0
1484956209,0,1
1484971208,0,1
1485041409,0,1
1485042009,18,0
1485042308,9,0
1485059408,0,1
1485097508,0,1
1485098408,0,1
1485098709,0,1
1485099609,0,2
1485099908,0,2
1485100508,0,2
1485100808,0,1
1485101708,0,1
1485111308,0,1
1485118508,0,1
1485122709,0,1
1485132608,0,1
1485135308,0,1
1485137110,102,0
1485137709,71,0
1485138009,0,1
1485151809,0,1
1485155709,1,0
1485156908,0,1
1485158409,1,0
1485159011,0,1
1485159612,0,1
1485169208,0,1
1485178509,0,1
1485181808,0,1
1485185408,1,0
1485188409,0,2
1485193208,0,1
1485194709,0,1
1485208809,0,1
1485209109,0,1
1485210909,0,1
1485240609,0,1
1485250208,0,1
1485251409,8,0
1485251708,2,0
1485254109,0,1
1485260109,0,1
1485271808,0,1
1485289209,0,1
1485318309,0,1
1485318608,0,1
1485383710,22,5
1485416709,0,1
1485431710,104,0
1485432310,36,0
1485432609,12,1
1485433209,5,1
1485433809,0,2
1485434109,0,1
1485435008,7,0
1485440409,0,1
1485442809,0,1
1485447910,0,1
1485454808,0,1
1485469508,0,1
1485474009,0,2
1485475208,0,1
1485484808,0,1
1485524108,0,1
1485525909,6,0
1485543608,0,1
1485548108,0,1
1485550508,16,0
1485550808,7,0
1485594009,0,1
1485596708,0,1
1485613208,0,1
1485627010,0,1
1485653708,0,1
1485658508,0,1
1485663609,0,1
1485705910,31,0
1485710408,0,1
1485715509,1,0
1485716108,0,1
1485716409,0,1
1485716709,0,2
1485717013,0,1
1485717609,0,3
1485718809,0,1
1485730509,0,1
1485766809,0,1
1485767409,0,1
1485789909,0,1
1485793810,0,1
1485794108,0,1
1485795910,0,1
1485797409,0,1
1485802208,0,2
1485802811,0,1
1485807609,12,0
1485870909,0,1
1485876908,0,1
1485877508,0,1
1485891009,27,0
1485894009,0,1
1485894608,5,0
1485901808,14,0
1485912309,28,0
1485912610,83,0
1485912908,0,2
1485913509,0,2
1485922809,0,1
1485925209,0,1
1485927008,0,1
1485933308,0,5
1485933908,0,1
1485946508,0,1
1485963908,0,1
1485972908,0,1
1485975308,0,1
1485989109,0,1
1485991209,0,1
1486000208,0,1
1486014009,0,1
1486024209,0,1
1486029608,0,1
1486046709,0,1
1486048508,0,1
1486048808,0,1
1486072208,0,1
1486074009,0,1
1486075508,0,1
1486116310,0,1
1486116909,0,1
1486126808,0,1
1486131609,0,1
1486135508,0,1
1486146308,0,1
1486147208,0,1
1486154109,0,1
1486159812,97,0
1486162208,0,1
1486194908,2,0
1486200609,0,1
1486207209,0,1
1486212310,0,1
1486220710,0,1
1486224309,0,1
1486228808,0,1
1486230309,0,1
1486231209,0,1
1486236309,24,0
1486246508,0,1
1486253709,0,1
1486260908,0,1
1486282210,0,2
1486282809,0,4
1486286410,0,1
1486294808,0,1
1486300214,0,1
1486300809,0,1
1486302009,0,1
1486304408,0,1
1486304708,0,1
1486306209,84,0
1486306509,96,0
1486306809,98,1
1486307109,56,0
1486307408,49,1
1486308009,80,0
1486308310,15,0
1486308609,36,0
1486308908,19,0
1486312808,0,1
1486319108,0,1
1486333209,0,1
1486339810,0,1
1486349708,0,1
1486351208,0,1
1486362008,0,1
1486366209,0,2
1486366808,0,1
1486384508,0,1
1486385108,0,1
1486394109,0,1
1486394709,0,1
1486395009,0,2
1486395309,0,1
1486395608,0,1
1486395909,0,1
1486396209,0,1
1486396509,0,1
1486402809,0,1
1486404009,0,1
1486404308,0,1
1486406108,0,1
1486408208,1,0
1486410608,0,1
1486415410,0,1
1486435509,0,1
1486440009,0,1
1486440309,0,1
1486440908,0,1
1486448409,0,1
1486452009,0,1
1486454409,0,1
1486455308,0,1
1486459509,0,1
1486471808,0,1
1486472109,0,1
1486472709,0,1
1486474208,0,1
1486474809,0,1
1486479909,0,1
1486491009,0,1
1486491608,0,1
1486494308,0,1
1486495209,0,1
1486495508,0,1
1486496709,0,1
1486497008,0,1
1486499409,0,1
1486543808,0,3
1486557308,0,1
1486566909,0,1
1486576508,0,1
1486578008,0,1
1486578908,0,2
1486579509,1,0
1486579809,4,0
1486594811,8,0
1486596608,0,1
1486614308,0,1
1486635609,0,1
1486660211,0,1
1486671609,2,0
1486671909,1,0
1486672209,0,1
1486679109,0,1
1486683909,0,1
1486698608,0,1
1486722308,0,1
1486740009,0,1
1486742711,0,1
1486743609,0,1
1486746323,0,1
1486753509,0,1
1486765508,0,1
1486766409,0,1
1486772408,0,1
1486778109,0,1
1486782616,2,0
1486800909,0,1
1486801809,0,1
1486818609,0,1
1486827908,0,1
1486856109,0,1
1486863608,0,1
1486900809,0,1
1486920909,0,1
1486931110,0,1
1486939209,0,1
1486950009,2,0
1486950309,3,0
1486952409,2,0
1486952708,1,0
1486958408,0,1
1486961409,0,1
1486962309,0,1
1487002509,0,1
1487004008,0,1
1487009709,0,1
1487013610,0,1
1487028009,19,0
1487032208,29,0
1487032809,55,0
1487044809,0,1
1487062809,0,1
1487094010,0,1
1487097309,0,1
1487129109,0,1
1487147109,0,2
1487147409,0,1
1487157609,0,1
1487176508,0,1
1487183408,0,1
1487183709,0,3
1487184009,2,0
1487189408,30,0
1487191509,1,1
1487204409,0,1
1487214909,0,1
1487229608,0,8
1487229909,0,2
1487231109,0,2
1487244009,0,1
1487253910,0,1
1487254211,0,3
1487261709,0,1
1487262311,0,1
1487265309,0,1
1487280008,17,0
1487288409,16,0
1487288709,32,0
1487304609,0,1
1487325309,6,0
1487336709,0,1
1487338809,0,1
1487341209,0,1
1487341509,0,1
1487348709,0,3
1487355909,0,1
1487362508,0,2
1487369108,0,1
1487370908,0,1
1487381709,0,1
1487398508,0,1
1487426109,0,1
1487430608,0,1
1487434810,0,1
1487435109,0,1
1487436309,0,1
1487466609,0,1
1487474409,0,1
1487489408,0,1
1487492708,0,1
1487522408,0,1
1487529008,0,1
1487555409,0,1
1487557208,0,1
1487582108,0,1
1487586609,0,1
1487615109,0,1
1487633408,0,1
1487641208,0,1
1487641809,0,1
1487650809,0,1
1487658610,0,1
1487664609,0,1
1487673909,0,1
1487678710,0,1
1487690708,0,1
1487733008,0,1
1487798109,0,1
1487805608,0,1
1487807109,0,1
1487809209,13,0
1487809509,12,0
1487812208,8,0
1487812508,28,0
1487812808,24,0
1487813109,30,0
1487839808,0,1
1487849408,0,1
