DateTime,AddedIPs,RemovedIPs
1480497308,0,1
1480507809,1,0
1480512908,1,0
1480516508,0,1
1480517108,1,0
1480518907,0,1
1480521611,1,0
1480524908,0,1
1480526408,1,0
1480527608,1,0
1480531808,2,0
1480536908,1,0
1480537209,1,0
1480542008,1,0
1480542608,1,0
1480542908,1,0
1480547409,1,0
1480566009,1,0
1480567207,1,0
1480575008,0,1
1480575608,1,0
1480584608,0,1
1480586409,1,0
1480587012,1,0
1480597508,0,1
1480599009,0,1
1480601108,1,0
1480602010,0,1
1480604709,2,0
1480605608,1,0
1480606808,1,0
1480610108,0,1
1480620008,1,0
1480626308,1,0
1480626607,1,0
1480632907,1,0
1480634108,1,0
1480640108,1,3
1480665308,1,0
1480672507,0,3
1480678208,1,0
1480682108,0,1
1480689008,1,0
1480701308,0,1
1480701608,1,0
1480703108,1,0
1480728308,1,0
1480740908,0,1
1480761909,1,0
1480783808,0,1
1480787408,1,0
1480815909,1,0
1480821008,1,0
1480840808,0,1
1480842907,1,0
1480851308,1,0
1480877708,1,0
1480878008,0,5
1480885208,1,0
1480927208,1,0
1480928714,0,1
1480938909,0,1
1480939209,1,0
1480950608,1,0
1480959308,0,1
1480961708,1,0
1480971309,1,0
1481004909,1,0
1481026809,1,0
1481043608,1,0
1481044508,0,1
1481052608,0,1
1481059508,1,0
1481064009,0,2
1481065209,1,0
1481070308,1,0
1481080807,1,0
1481087708,1,0
1481094307,1,0
1481099108,0,1
1481119208,0,1
1481122810,1,0
1481123109,0,1
1481125208,1,0
1481137209,0,1
1481139608,0,1
1481144408,0,1
1481146209,0,1
1481146808,1,0
1481148908,1,0
1481151008,1,0
1481156708,0,1
1481158809,1,0
1481163009,1,0
1481174409,1,0
1481179808,1,0
1481204708,0,1
1481206508,1,0
1481215208,0,1
1481216409,0,1
1481217908,0,1
1481219708,1,0
1481221509,1,0
1481223608,1,0
1481225108,0,1
1481230208,1,0
1481256608,1,0
1481259908,0,1
1481276108,0,1
1481277309,1,0
1481287209,0,1
1481293808,1,0
1481297708,1,0
1481307308,0,1
1481315408,1,0
1481316608,1,0
1481321409,1,0
1481381708,0,1
1481397608,1,0
1481404508,1,0
1481406008,0,1
1481418908,1,0
1481439608,1,0
1481442309,0,1
1481443508,1,0
1481504409,0,1
1481545211,1,0
1481549411,1,0
1481550309,0,1
1481552708,0,1
1481554808,0,1
1481560809,1,0
1481563509,1,0
1481584809,1,0
1481602808,0,1
1481603708,1,0
1481611509,0,1
1481619008,1,0
1481622908,0,1
1481633708,1,0
1481637908,0,1
1481643909,1,0
1481645109,1,0
1481646308,1,0
1481647208,0,1
1481648710,1,0
1481651109,0,1
1481652308,0,2
1481654709,0,1
1481659509,1,0
1481664608,1,0
1481670908,1,0
1481724609,0,1
1481727609,0,1
1481727909,0,1
1481729708,1,0
1481731808,1,0
1481734815,1,0
1481737208,0,1
1481740508,0,1
1481742908,0,1
1481745609,1,0
1481747708,1,0
1481748317,1,0
1481751309,1,0
1481761208,1,0
1481765409,1,0
1481810108,1,0
1481812808,1,0
1481820308,1,0
1481820609,0,1
1481822409,1,0
1481829308,0,3
1481830208,2,0
1481835609,1,0
1481836808,0,1
1481991307,0,1
1482144010,0,1
1482532209,21,6
1482604809,1,0
1482609308,1,0
1482610208,0,1
1482622809,1,0
1482634208,0,1
1482669608,1,0
1482671408,0,1
1482675909,1,0
1482676509,0,1
1482695109,2,0
1482703812,0,1
1482705908,1,0
1482706809,1,0
1482746408,1,0
1482768907,0,1
1482787209,3,0
1482806107,1,0
1482827408,2,0
1482827708,1,0
1482828908,1,0
1482836708,0,1
1482885008,0,1
1482886209,1,0
1482889808,1,0
1482926408,0,1
1482933608,0,1
1482941410,0,2
1482941708,0,1
1482981308,2,0
1482996608,0,1
1483020908,1,0
1483026309,0,1
1483032010,1,0
1483096508,1,0
1483098908,1,0
1483113608,1,0
1483123208,1,0
1483129209,1,0
1483156507,1,0
1483195208,1,0
1483306508,0,1
1483316409,1,0
1483356309,1,0
1483383909,1,0
1483385409,1,0
1483404309,0,1
1483419008,0,1
1483446608,0,1
1483458909,0,1
1483464608,1,0
1483474508,1,0
1483494009,1,0
1483498508,0,1
1483504209,1,0
1483506909,1,0
1483531209,1,0
1483531810,1,0
1483539909,0,1
1483543509,0,1
1483559709,1,0
1483560309,1,0
1483563909,0,1
1483565109,1,0
1483565409,1,0
1483581610,0,1
1483589109,1,0
1483599008,1,0
1483608009,1,0
1483623009,0,1
1483626008,1,0
1483639509,1,0
1483677309,0,1
1483699209,1,0
1483709409,1,0
1483713309,0,1
1483736409,1,0
1483737909,0,1
1483759809,1,0
1483763409,1,0
1483819815,1,0
1483824009,1,0
1483830008,1,0
1483848309,1,0
1483889709,1,0
1483895412,5,24
1483908609,1,0
1483925708,1,0
1483926009,1,0
1483965009,1,0
1483972808,1,0
1483978809,1,0
1484035208,0,1
1484035812,1,0
1484042409,1,0
1484059208,0,1
1484059509,1,0
1484064609,0,1
1484065208,1,0
1484066709,0,1
1484067309,1,0
1484068809,0,1
1484070309,1,0
1484071809,1,0
1484074509,1,1
1484147709,0,1
1484167209,0,1
1484227209,0,1
1484294409,0,1
1484296209,0,1
1484396708,0,1
1484406608,0,1
1484500508,0,1
1484582709,0,1
1484634008,0,1
1484645710,0,1
1484659209,0,1
1484707808,0,1
1484736008,0,1
1484755210,0,1
1484799009,1,0
1484808908,1,0
1484812508,0,1
1484814608,1,0
1484827810,1,0
1484829009,1,0
1484836210,1,0
1484836809,1,0
1484848808,1,0
1484857809,1,0
1484858108,1,0
1484858408,1,0
1484895909,0,1
1484896509,1,0
1484899509,0,1
1484903708,2,0
1484915709,1,0
1484916009,0,1
1484954408,1,0
1484991308,0,1
1484991608,1,0
1484996409,1,0
1485002708,0,1
1485003608,1,0
1485028509,1,0
1485034809,1,0
1485035409,1,0
1485041708,0,1
1485062409,1,0
1485073809,1,0
1485084909,0,1
1485092409,1,0
1485109508,0,1
1485145809,0,1
1485153909,1,0
1485155412,1,0
1485167408,0,1
1485179710,1,0
1485182108,0,1
1485184811,1,0
1485186309,2,0
1485187812,1,0
1485189308,0,1
1485189910,1,0
1485201008,0,1
1485202808,1,0
1485203708,1,0
1485205512,1,0
1485237008,1,0
1485238509,0,2
1485243909,1,0
1485244809,1,0
1485245418,0,1
1485252009,1,0
1485258911,0,1
1485270311,0,1
1485275108,0,1
