DateTime,Entries,UniqueIPs
1483705210,32409,105892
1483719609,32419,105903
1483733710,32428,105912
1483734008,32435,105919
1483748408,32447,105931
1483762809,32472,105957
1483777208,32485,105970
1483779308,32489,105974
1483780215,32488,237044
1483791308,32492,237048
1483791609,32531,237087
1483793109,32532,237088
1483803008,32533,237089
1483806009,32553,237109
1483818008,32552,237108
1483820109,32558,237114
1483834808,32572,237128
1483848908,32575,237131
1483863911,32580,237136
1483869308,32579,237135
1483876508,32581,237137
1483877708,32587,237144
1483878008,32588,237145
1483892408,32597,237154
1483899909,32598,237155
1483900808,32611,237168
1483906508,32617,237174
1483907108,32621,237178
1483921210,32629,237186
1483930208,32628,237185
1483935309,32631,237188
1483950009,32636,237193
1483964108,32640,237197
1483964410,32649,237206
1483968908,32648,237205
1483972808,32647,237204
1483978809,32663,237220
1483992009,32662,237219
1483993208,32671,237228
1484000707,32672,237229
1484007608,32683,237240
1484021708,32687,237244
1484022008,32689,237246
1484033709,32688,237245
1484036408,32690,237247
1484043309,32689,237246
1484050508,32692,237249
1484051108,32697,237254
1484052609,32696,237253
1484065208,32708,237265
1484079308,32710,237267
1484079608,32726,237283
1484083208,32727,237284
1484088308,32726,237283
1484094008,32734,237291
1484105408,32736,237293
1484108107,32737,237294
1484108408,32747,237306
1484122809,32768,237327
1484124008,32769,237328
1484137209,32802,237361
1484148908,32803,237362
1484151608,32832,237393
1484166308,32841,237402
1484167509,32842,237403
1484170808,32841,237402
1484180409,32854,237415
1484194808,32867,237428
1484209209,32872,237433
1484211008,32873,237434
1484223609,32895,237458
1484238009,32905,237469
1484252409,32931,237495
1484266809,32948,237512
1484274011,32950,237514
1484281209,32957,237521
1484295609,32961,237525
1484301909,32960,237524
1484310009,32971,237535
1484313909,32971,237534
1484324408,32983,237547
1484338808,33007,237573
1484347209,33006,237572
1484353209,33021,237587
1484353508,33049,237615
1484367608,33076,237642
1484382009,33100,237666
1484382309,33101,237667
1484396408,33135,237702
1484410808,33155,237722
1484425208,33174,237741
1484439609,33184,237751
1484454008,33196,237763
1484468409,33212,237779
1484471408,33211,237778
1484482809,33235,237803
1484497208,33256,237824
1484497508,33271,237839
1484511608,33294,237862
1484516109,33295,237863
1484526008,33313,237881
1484540409,33342,237910
1484543708,33341,237909
1484554809,33357,237925
1484569208,33369,237937
1484583608,33380,237950
1484598009,33392,237963
1484612408,33415,237986
1484612710,33418,237989
1484616308,33417,237988
1484626808,33441,238013
1484641208,33450,238022
1484644508,33449,238021
1484644808,33448,238020
1484655609,33456,238028
1484670309,33474,238046
1484684408,33481,238053
1484698809,33485,238057
1484713209,33489,238061
1484727610,33493,238065
1484742009,33505,238077
1484752509,33504,238076
1484756409,33529,238101
1484756708,33532,238104
1484770808,33557,238129
1484771709,33556,238128
1484785208,33565,238137
1484799608,33573,238145
1484814008,33592,238164
1484828408,33598,238171
1484842808,33612,238185
1484857208,33627,238200
1484861709,33626,238199
1484871608,33642,238215
1484886008,33654,238227
1484898608,33672,238214
1484900409,33691,238233
1484900709,33703,238245
1484904008,33704,238246
1484914814,33744,238287
1484915109,33751,238294
1484929209,33761,238305
1484929509,33770,238314
1484935508,33769,238313
1484943609,33800,238344
1484958008,33805,238349
1484958309,33833,238378
1484972409,33869,238414
1484982907,33868,238413
1484986808,33879,238424
1484987109,33898,238444
1485001209,33934,238480
1485015608,33949,238496
1485015909,33953,238501
1485030008,33971,238520
1485044409,33985,238534
1485044709,33984,238533
1485058809,33996,238545
1485073210,34016,238565
1485087608,34032,238581
1485102010,34042,238591
1485102309,34068,238618
1485116408,34089,238641
1485130808,34101,238654
1485131109,34110,238665
1485145208,34116,238672
1485145508,34127,238684
1485145808,34137,238694
1485159612,34138,238695
1485159908,34151,238708
1485160208,34164,238721
1485160508,34166,238723
1485162908,34168,238725
1485174009,34186,238745
1485176108,34184,238743
1485187812,34183,238742
1485188408,34194,238753
1485188708,34218,238777
1485199810,34219,238778
1485202808,34236,238798
1485217209,34249,238811
1485217509,34258,238821
1485231608,34274,238837
1485246009,34290,238854
1485260412,34307,238871
1485274808,34325,238889
1485275108,34328,238892
1485289208,34355,238919
1485303608,34364,238928
1485303909,34383,238947
1485318008,34409,238974
1485325512,34410,239230
1485332410,34411,239231
1485333008,34448,239269
1485383710,34523,239347
1485390010,34533,239357
1485404409,34549,239373
1485418809,34559,239383
1485419109,34581,239405
1485433208,34606,239430
1485447609,34617,239442
1485447910,34631,239456
1485458409,34630,239455
1485462009,34638,239463
1485462309,34662,239487
1485465011,34663,239488
1485465910,34664,239489
1485476408,34671,239496
1485476708,34683,239508
1485490808,34715,239540
1485491108,34730,239556
1485505509,34767,239596
1485519609,34776,239605
1485534009,34790,239619
1485548409,34803,239632
1485562809,34809,239639
1485577208,34814,239644
1485591609,34827,239657
1485591908,34841,239671
1485592808,34840,239670
1485606009,34862,239693
1485617408,34863,239694
1485620409,34864,239695
1485620709,34885,239716
1485634808,34910,239743
1485649509,34945,239780
1485651608,34944,239779
1485660008,34943,239778
1485663608,34970,239805
1485663909,34986,239821
1485678308,35033,239868
1485692709,35061,239897
1485693008,35064,239900
1485706808,35064,239901
1485707109,35091,239928
1485708309,35092,239929
1485708909,35091,239928
1485721508,35112,239951
1485735609,35121,239961
1485735907,35122,239962
1485750008,35131,239971
1485763508,35130,239970
1485764409,35139,239981
1485766508,35143,239985
1485766808,35149,239991
1485778809,35176,240019
1485793208,35177,240020
1485793508,35202,240045
1485807608,35218,240061
1485822309,35253,240097
1485836408,35281,240126
1485836708,35291,240136
1485849608,35290,240135
1485851108,35318,240166
1485865208,35337,240186
1485879609,35347,240196
1485894009,35376,240226
1485909008,35410,240262
1485913808,35409,240261
1485922809,35434,240286
1485937208,35437,240289
1485937508,35451,240303
1485951611,35460,240313
1485957308,35459,240312
1485964508,35458,240311
1485966009,35468,240322
1485980709,35486,240340
1485985508,35485,240339
1485994808,35493,240348
1485995408,35494,240349
1486009208,35496,240351
1486023609,35505,240360
1486035610,35504,240359
1486038308,35512,240367
1486051210,35513,240368
1486052408,35516,240371
1486066809,35524,240379
1486073412,35525,240380
1486081208,35535,240390
1486095609,35543,240398
1486110008,35549,240404
1486124408,35558,240413
1486138809,35568,240423
1486139108,35570,240425
1486144208,35569,240424
1486152008,35568,240423
1486153208,35585,240440
1486167609,35589,240444
1486181409,35588,240443
1486182009,35594,240450
1486196408,35600,240456
1486211409,35605,240461
1486225208,35615,240471
1486225509,35621,240477
1486237210,35620,240476
1486239608,35633,240489
1486254309,35640,240497
1486268408,35647,240505
1486272008,35648,240506
1486282809,35650,240508
1486297209,35656,240514
1486311608,35667,240525
1486311908,35669,240527
1486320608,35688,240546
1486326008,35700,240558
1486340408,35704,240562
1486340708,35715,240574
1486354808,35718,240577
1486369208,35720,240579
1486370709,35721,240580
1486383608,35728,240587
1486384508,35727,240586
1486392908,35728,240587
1486398009,35735,240595
1486398308,35743,240603
1486404308,35744,240604
1486404908,35745,240605
1486405509,35744,240604
1486412408,35756,240616
1486426209,35757,240617
1486426809,35758,240618
1486427108,35777,240637
1486428308,35778,240638
1486434310,35783,240643
1486441209,35795,240655
1486455609,35800,240660
1486455909,35804,240664
1486461008,35805,240665
1486467009,35804,240664
1486470009,35813,240673
1486484410,35820,240680
1486484708,35825,240685
1486498808,35835,240695
1486513209,35839,240699
1486513808,35842,240702
1486527608,35849,240709
1486542009,35853,240713
1486548008,35852,240712
1486556709,35869,240729
1486561808,35868,240728
1486570808,35869,240729
1486571109,35883,240743
1486585209,35893,240754
1486587308,35894,240755
1486599908,35912,240774
1486614008,35920,240782
1486624808,35919,240781
1486628408,35921,240783
1486642810,35942,240804
1486653308,35943,240805
1486653909,35944,240806
1486656008,35947,240809
1486657509,35964,240826
1486663815,35965,240827
1486671608,35977,240839
1486686308,35990,240852
1486700409,35997,240860
1486714808,36000,240863
1486719908,35999,240862
1486724708,35998,240861
1486729209,36006,240869
1486743609,36010,240875
1486755608,36011,240876
1486758008,36020,240885
1486772408,36023,240888
1486815609,36036,240901
1486818308,36153,241018
1486818609,36156,241021
1486819209,36162,241027
1486830008,36164,241029
1486830309,36171,241036
1486844408,36179,241046
1486858810,36180,241047
1486859109,36186,241054
1486862408,36187,241055
1486873209,36192,241060
1486887608,36197,241065
1486887910,36198,241066
1486902009,36206,241074
1486904408,36205,241073
1486916408,36206,241074
1486916709,36213,241082
1486928708,36214,241083
1486930808,36223,241092
1486945208,36224,241093
1486945509,36226,241095
1486959609,36235,241104
1486960508,36234,241103
1486974009,36237,241106
1486974309,36239,241108
1486988409,36246,241115
1487000708,36248,241117
1487001308,36253,241122
1487001609,36250,241374
1487002808,36251,241375
1487003108,36258,241383
1487008508,36259,241384
1487009113,36418,241543
1487012109,36420,241545
1487012408,36422,241547
1487012708,36464,241589
1487013009,36469,241594
1487017509,36474,241600
1487031908,36484,241610
1487032208,36483,241609
1487046009,36488,241614
1487061008,36491,241616
1487074808,36496,241621
1487089208,36497,241622
1487089509,36501,241626
1487090709,36489,241380
1487097608,36490,241381
1487097908,36489,241380
1487099110,36490,241381
1487101209,36489,241380
1487103610,36497,241388
1487118309,36502,241392
1487132408,36507,241397
1487139608,36506,241396
1487146808,36509,241399
1487147108,36508,241398
1487161209,36514,241404
1487161508,36548,241438
1487164509,36549,241439
1487175909,36556,241446
1487190008,36562,241452
1487204709,36569,241459
1487218209,36570,241460
1487218808,36575,241465
1487219409,36576,241466
1487220008,36576,241467
1487220908,36577,241468
1487233509,36583,241474
1487247609,36593,241484
1487262311,36606,241497
1487276408,36623,241514
1487291109,36629,241520
1487305208,36635,241526
1487319909,36637,241528
1487334008,36644,241536
1487336709,36643,241535
1487348709,36650,241542
1487349008,36649,241541
1487362808,36653,241546
1487377508,36662,241555
1487391609,36664,241557
1487406308,36667,241560
1487420408,36673,241566
1487431508,36672,241565
1487435109,36678,241574
1487449208,36689,241585
1487463908,36693,241589
1487476508,36694,241590
1487478008,36705,241602
1487492708,36707,241604
1487506808,36714,241612
1487519708,36796,241694
1487521510,36798,241696
1487535611,36803,241702
1487541007,36802,241701
1487550309,36812,241713
1487564408,36814,241716
1487579408,36817,241719
1487593210,36823,241725
1487598908,36823,241724
1487607909,36834,241735
1487617508,36833,241734
1487622008,36853,241754
1487622308,36857,241758
1487636709,36868,241769
1487650808,36878,241779
1487665510,36882,241783
1487678709,36883,241784
1487679609,36892,241793
1487694309,36895,241796
1487697309,36894,241795
1487708408,36910,241812
1487723107,36919,241821
1487737208,36925,241827
1487751909,36933,241835
1487753707,36935,241837
1487754009,37048,241951
1487754309,37055,242213
1487755212,37056,242214
1487757008,37055,242213
1487766009,37060,242218
1487780708,37069,242227
1487794808,37082,242240
1487807108,37081,242239
1487809509,37091,242252
1487823609,37099,242260
1487829308,37100,242261
1487838309,37103,242264
1487844308,37114,242275
1487844609,37125,242286
1487852409,37131,242292
1487867108,37139,242300
1487881208,37152,242313
1487891108,37151,242312
1487895909,37165,242326
