DateTime,Entries,UniqueIPs
1475854883,187,49664
1475867521,186,49408
1475903959,182,48384
1475912508,181,48128
1475928700,178,47360
1475934995,177,47104
1475939830,180,48640
1475951232,178,48128
1475955710,177,47872
1475970099,175,47360
1475972856,174,47104
1475985394,173,46848
1475987236,172,46592
1475988986,170,46080
1476015502,167,45312
1476030103,169,45824
1476042107,171,46336
1476068173,171,46080
1476085300,172,46336
1476096977,168,45312
1476117830,167,45056
1476173509,168,45312
1476195461,171,46080
1476196885,172,46592
1476213163,170,46080
1476214920,171,46336
1476217083,170,46080
1476225713,169,45824
1476278433,166,45056
1476285742,169,45824
1476288744,168,45568
1476300434,167,45312
1476364903,166,45056
1476372176,167,45312
1476378719,168,45568
1476394910,169,45824
1476440445,167,45312
1476454903,170,46080
1476541279,169,45824
1476544638,170,46080
1476553300,171,46336
1476555097,173,46848
1476557781,172,46592
1476564100,174,47104
1476571297,175,47360
1476573107,175,47104
1476574902,174,46848
1476576716,175,47104
1476620335,174,46848
1476631026,179,48128
1476645103,178,47872
1476649610,177,47616
1476650502,178,47872
1476664902,179,48128
1476681116,178,47872
1476706583,174,46848
1476719780,173,46592
1476721012,175,47104
1476733298,176,47360
1476744977,175,47104
1476800523,176,47360
1476809775,175,47104
1476882715,172,46336
1476885369,171,46080
1476892573,170,45824
1476893853,173,46848
1476902558,174,47104
1476906073,173,46848
1476919863,174,47104
1476973105,176,47616
1476985292,175,47360
1476990697,176,47616
1476997899,177,47872
1477049217,175,47360
1477063664,177,47872
1477086101,178,48128
1477135237,181,48896
1477140081,182,49152
1477178905,180,48384
1477212120,181,48640
1477234566,180,48384
1477236225,182,48896
1477269710,183,49152
1477308181,182,48896
1477322637,183,49152
1477323702,184,49408
1477327293,184,49152
1477330925,183,48896
1477348906,182,48640
1477398131,180,48128
1477401114,179,47872
1477401975,180,48128
1477424598,179,47872
1477433518,180,48128
1477498326,176,47104
1477499232,178,47616
1477509980,177,47360
1477527121,178,47616
1477570899,177,47360
1477581975,182,48640
1477599102,182,48384
1477605382,181,48128
1477667865,184,48896
1477678314,182,48384
1477680093,183,48640
1477681912,184,48896
1477689576,184,49152
1477725982,183,48896
1477736596,179,47872
1477736786,178,47616
1477740393,177,47360
1477762032,179,47872
1477779112,178,47616
1477806975,177,47360
1477839369,176,47104
1477841158,179,47872
1477843903,180,48128
1477855750,179,47872
1477870911,180,48128
1477910506,181,48384
1477926709,179,47872
1477927578,181,48384
1477932101,182,48640
1477939291,183,48896
1477955514,183,49152
1477998715,179,48128
