DateTime,AddedIPs,RemovedIPs
1482888800,256,256
1482914504,256,256
1482934660,2560,2560
1482943299,256,256
1482945144,256,256
1482950505,256,256
1482952313,256,256
1482957713,256,256
1482959514,256,256
1482975096,256,256
1482977912,256,256
1483028865,2304,2304
1483029711,256,256
1483031502,256,256
1483038706,256,256
1483044122,256,256
1483049974,256,256
1483058286,256,256
1483087321,256,256
1483108003,2304,2304
1483112493,256,256
1483116092,256,256
1483121492,256,256
1483125111,256,256
1483130523,256,256
1483134105,256,256
1483135902,256,256
1483137697,256,256
1483144919,256,256
1483173706,256,256
1483205254,2304,2304
1483215103,256,256
1483216902,256,256
1483224118,256,256
1483229502,256,256
1483231314,256,256
1483259666,256,256
1483284133,2304,2304
1483290691,256,256
1483292490,256,256
1483295537,512,512
1483297948,256,256
1483303301,256,256
1483306889,512,512
1483310500,512,512
1483312316,512,512
1483314135,256,256
1483319491,256,256
1483328506,256,256
1483370462,2816,2816
1483373487,256,256
1483377091,256,256
1483386100,256,256
1483387888,256,256
1483389697,256,256
1483393297,256,256
1483395222,256,256
1483432907,256,256
1483460332,3328,3328
1483461717,256,256
1483465285,256,256
1483468903,256,256
1483470697,256,256
1483472487,256,256
1483477896,256,256
1483485098,256,256
1483486934,512,512
1483490527,256,256
1483536039,3840,3840
1483542694,256,256
1483544486,256,256
1483549897,256,256
1483557133,256,256
1483558932,256,256
1483562537,256,256
1483564339,512,512
1483576968,256,256
1483607856,256,256
1483633022,3328,3328
1483634529,512,512
1483638140,256,256
1483640292,512,512
1483641729,256,256
1483643571,256,256
1483650736,256,256
1483652533,256,256
1483654693,256,256
1483656134,256,256
1483661929,512,512
1483716168,3328,3328
1483717323,256,256
1483723356,256,256
1483724535,256,256
1483726979,256,256
1483730539,256,256
1483731730,256,256
1483735360,256,256
1483749078,256,256
1483795306,2816,2816
1483796531,256,256
1483798333,256,256
1483800125,256,256
1483805533,256,256
1483810079,256,256
1483814620,256,256
1483821756,256,256
1483825347,512,512
1483830761,256,256
1483834345,256,256
1483835508,256,256
1483865002,256,256
1483892854,3840,3840
1483893925,256,256
1483895542,256,256
1483897337,256,256
1483899184,256,256
1483900941,768,768
1483908144,256,256
1483910230,256,256
1483915420,256,256
1483918949,256,256
1483922115,256,256
1483926240,256,256
1483944173,256,256
1483975715,4096,4096
1483976608,256,256
1483978333,256,256
1483979970,256,256
1483981782,256,256
1483985354,256,256
1483994353,512,512
1483996161,512,512
1483999881,256,256
1484008450,256,256
1484058258,3584,3584
1484068153,256,256
1484075367,256,256
1484077228,256,256
1484078966,512,512
1484080333,512,512
1484083068,256,256
1484089758,256,256
1484093444,256,256
1484144675,2560,2560
1484150947,256,256
1484155139,256,256
1484162250,512,512
1484167175,256,256
1484169599,256,256
1484173440,256,256
1484177970,256,256
1484179947,256,256
1484181234,256,256
1484231060,2560,2560
1484235548,256,256
1484237351,256,256
1484239176,256,256
1484242751,256,256
1484244618,256,256
1484246381,256,256
1484255953,256,256
1484267698,256,256
1484324776,3072,3072
1484329151,256,256
1484332767,256,256
1484339482,256,256
1484342284,256,256
1484349530,512,512
1484353931,256,256
1484400249,2304,2304
1484410176,256,256
1484420968,256,256
1484426355,256,256
1484428157,256,256
1484433554,256,256
1484440821,256,256
1484493875,2816,2816
1484496579,256,256
1484498352,256,256
1484505572,256,256
1484507359,256,256
1484512749,256,256
1484514554,256,256
1484521750,256,256
1484525376,256,256
1484534354,256,256
1484576668,3072,3072
1484577541,256,256
1484581154,256,256
1484588364,256,256
1484590152,256,256
1484593767,512,512
1484595560,256,256
1484599223,256,256
1484601010,256,256
1484602768,256,256
1484608715,256,256
1484609960,256,256
1484663055,2048,2048
1484663960,256,256
1484667580,256,256
