DateTime,Entries,UniqueIPs
1480964405,879,879
1480968485,879,879
1480990102,880,880
1480997764,879,879
1481015284,880,880
1481019137,880,880
1481028495,880,880
1481037364,880,880
1481045283,880,880
1481057044,879,879
1481065684,879,879
1481069764,879,879
1481083924,879,879
1481092085,880,880
1481100980,881,881
1481105525,881,881
1481114418,881,881
1481122085,881,881
1481134094,881,881
1481141766,881,881
1481158325,881,881
1481166492,882,882
1481170324,882,882
1481178244,882,882
1481185923,882,882
1481193603,882,882
1481201282,882,882
1481216643,883,883
1481236082,883,883
1481243763,882,882
1481251684,882,882
1481259364,881,881
1481267284,882,882
1481275205,882,882
1481279045,883,883
1481286724,882,882
1481294404,883,883
1481305925,883,883
1481313605,883,883
1481321284,883,883
1481329204,883,883
1481344564,882,882
1481352243,881,881
1481359925,883,883
1481367604,883,883
1481371442,884,884
1481379123,884,884
1481386804,884,884
1481394483,883,883
1481402163,882,882
1481409843,881,881
1481417523,881,881
1481425684,882,882
1481429523,882,882
1481437444,882,882
1481453044,882,882
1481460724,883,883
1481476084,883,883
1481487843,882,882
1481495523,881,881
1481522413,881,881
1481530083,882,882
1481545444,882,882
1481553123,883,883
1481560804,883,883
1481595602,883,883
1481603283,882,882
1481610963,882,882
1481618643,883,883
1481626324,883,883
1481634004,882,882
1481637842,882,882
1481645524,881,881
1481653203,880,880
1481660884,879,879
1481676243,880,880
1481683926,878,878
1481695443,877,877
1481710803,878,878
1481718483,878,878
1481726164,878,878
1481733845,877,877
1481741524,877,877
1481749205,877,877
1481753284,877,877
1481760963,877,877
1481768643,877,877
1481776563,877,877
1481784243,877,877
1481791924,878,878
1481799606,878,878
1481803443,878,878
1481811122,878,878
1481826723,878,878
1481834404,877,877
1481842083,878,878
1481857443,878,878
1481872802,879,879
1481880482,879,879
1481888163,879,879
1481892003,880,880
1481899683,880,880
1481911217,880,880
1481918884,879,879
1481926563,878,878
1481942162,878,878
1481949842,876,876
1481957524,876,876
1481965205,877,877
1481969043,877,877
1481976737,877,877
1481984884,878,878
1481992564,878,878
1482000245,876,876
1482007924,876,876
1482015604,876,876
1482019443,877,877
1482027133,877,877
1482035044,879,879
1482042964,879,879
1482050643,879,879
1482058324,879,879
1482066004,880,880
1482069844,881,881
1482092897,881,881
1482108244,881,881
1482115924,881,881
1482123605,882,882
1482131284,881,881
1482139203,881,881
1482146882,881,881
1482154563,881,881
1482158404,882,882
1482169923,881,881
1482177610,881,881
1482185284,881,881
1482192963,881,881
1482200894,880,880
1482208563,880,880
1482216244,880,880
1482223924,881,881
1482231603,881,881
1482235442,880,880
1482243123,881,881
1482250803,877,877
1482266163,877,877
1482273843,876,876
1482281537,877,877
1482289204,877,877
1482293284,873,873
1482308883,875,875
1482316812,874,874
1482324482,878,878
1482332162,878,878
1482340085,877,877
1482351603,877,877
1482359282,876,876
1482367203,877,877
1482374882,877,877
1482378724,877,877
1482394324,877,877
1482409685,877,877
1482417366,877,877
1482425042,877,877
1482432964,877,877
1482452162,877,877
1482502084,877,877
1482517922,877,877
1482525603,880,880
1482533285,877,877
1482540964,878,878
1482556323,878,878
1482564003,882,882
1482571682,883,883
1482575524,882,882
1482583203,882,882
1482590883,882,882
1482602643,883,883
1482610324,883,883
1482618003,885,885
1482625683,884,884
1482633363,887,887
1482641043,885,885
1482652563,885,885
1482668164,886,886
1482675843,886,886
1482683522,886,886
1482691215,886,886
1482698883,886,886
1482706562,887,887
1482718085,887,887
1482725764,886,886
1482733684,887,887
1482741363,885,885
1482749043,885,885
1482756724,884,884
1482764405,884,884
1482768484,883,883
1482776404,884,884
1482784083,884,884
1482791763,885,885
1482799444,885,885
1482807124,885,885
1482814805,885,885
1482822491,885,885
1482830162,887,887
1482834004,887,887
1482841924,888,888
1482849616,888,888
