DateTime,Entries,UniqueIPs
1487074358,205180,221168
1487075310,205189,221174
1487076272,205188,221174
1487077311,205188,221173
1487078450,205189,221172
1487079412,205186,221172
1487080365,205200,221187
1487081310,205206,221195
1487082257,205213,221200
1487083215,205215,221200
1487084186,205212,221197
1487085137,205223,221208
1487086102,205215,221200
1487087058,205224,221208
1487088091,205220,221206
1487089237,205218,221203
1487090188,205219,221210
1487091155,205232,221223
1487092116,205220,221210
1487093060,204981,220983
1487094017,205005,221008
1487094995,205002,221005
1487095962,205034,221045
1487096911,205063,221073
1487097870,205051,221062
1487098914,205080,221090
1487100031,205098,221112
1487100989,205097,221112
1487101949,205101,221117
1487102914,205107,221124
1487103862,205105,221125
1487104834,205124,221146
1487105795,205135,221161
1487106753,205126,221149
1487107985,205125,221150
1487108919,205122,221148
1487109881,205127,221154
1487110828,205139,221169
1487111815,205146,221171
1487112750,205162,221188
1487113717,205167,221195
1487114665,205171,221200
1487115622,205180,221208
1487116596,205178,221207
1487117569,205191,221226
1487118520,205189,221225
1487119471,205191,221228
1487120525,205185,221226
1487121879,205408,221575
1487122847,205405,221581
1487123796,205404,221585
1487124760,205402,221580
1487125728,205390,221566
1487126666,205387,221561
1487127702,205389,221565
1487128822,205398,221576
1487129786,205395,221573
1487130737,205394,221571
1487131716,205392,221569
1487132932,205391,221569
1487133865,205392,221571
1487134927,205398,221579
1487136011,205402,221590
1487136994,205391,221579
1487137934,205392,221583
1487138907,205397,221589
1487139858,205397,221595
1487140817,205397,221595
1487141780,205393,221592
1487142749,205385,221584
1487143727,205395,221594
1487144665,205384,221583
1487145706,205420,221622
1487146830,205440,221644
1487147786,205431,221637
1487148751,205445,221654
1487149707,205480,221692
1487150662,205475,221686
1487151645,205480,221692
1487152588,205499,221712
1487153571,205493,221706
1487154523,205498,221713
1487155465,205492,221707
1487156509,205504,221715
1487157630,205525,221737
1487158578,205519,221730
1487159535,205527,221743
1487160517,205527,221744
1487161450,205527,221745
1487162414,205540,221760
1487163395,205532,221751
1487164353,205544,221765
1487165314,205548,221770
1487166271,205552,221775
1487167301,205566,221789
1487168459,205577,221803
1487169393,205574,221801
1487170362,205581,221808
1487171317,205566,221804
1487172309,205572,221814
1487173227,205577,221821
1487174201,205565,221808
1487175170,205570,221816
1487176129,205579,221824
1487177079,205569,221810
1487178107,205574,221814
1487179229,205277,221466
1487180183,205269,221459
1487181145,205278,221464
1487182116,205276,221455
1487183053,205286,221467
1487184012,205281,221461
1487184992,205279,221463
1487185952,205283,221469
1487186917,205274,221461
1487188117,205276,221463
1487189085,205267,221450
1487190058,205263,221449
1487190989,205269,221455
1487191987,205278,221466
1487192901,205291,221489
1487193883,205307,221508
1487194853,205323,221527
1487195797,205326,221528
1487196750,205344,221547
1487197713,205352,221556
1487198650,205362,221567
1487199707,205379,221585
1487200829,205377,221584
1487201792,205368,221573
1487202738,205369,221574
1487203710,205362,221564
1487204655,205361,221563
1487205623,205362,221568
1487206586,205339,221547
1487207563,205328,221542
1487207575,206542,224006
1487208505,206538,224002
1487209470,206531,223994
1487210504,206534,223995
1487211640,206542,224004
1487212601,206538,224000
1487213554,206541,224003
1487214515,206537,223999
1487215457,206543,224002
1487216422,206551,224010
1487217390,206547,224006
1487218360,206558,224016
1487219317,206543,223999
1487220279,206555,224011
1487221309,206548,224005
1487222450,206547,224006
1487223395,206549,224016
1487224348,206555,224022
1487225307,206559,224028
1487226258,206549,224017
1487227224,206548,224016
1487228183,206560,224026
1487229155,206565,224031
1487230111,206565,224028
1487231063,206572,224035
1487232087,206580,224054
1487232992,206582,224056
1487233972,206581,224048
1487234910,206579,224046
1487235886,206589,224056
1487236853,206596,224062
1487237788,206589,224056
1487238762,206599,224066
1487239716,206592,224058
1487240664,206601,224069
1487241624,206606,224069
1487242583,206604,224067
1487243567,206604,224067
1487244509,206604,224067
1487245473,206601,224065
1487246521,206605,224069
1487247639,206603,224062
1487248584,206597,224053
1487249543,206548,223983
1487250515,206073,223398
1487251450,206069,223395
1487252433,206063,223387
1487253384,206049,223373
1487254353,206023,223341
1487255304,206019,223333
1487256271,206013,223327
1487257305,206014,223330
1487258420,206021,223338
1487259376,206025,223343
1487260348,206028,223349
1487261314,206020,223333
1487262251,206025,223340
1487263217,206043,223362
1487264203,206058,223381
1487265143,205666,222934
1487266101,205664,222933
1487267051,205666,222934
1487268099,205655,222921
1487269014,205665,222933
1487269963,205665,222937
1487270907,205665,222940
1487271879,205669,222944
1487272834,205676,222952
1487273786,205675,222950
1487274753,205685,222955
1487275703,205679,222952
1487276653,205685,222959
1487277629,205686,222961
1487278590,205684,222963
1487279542,205699,222984
1487280502,205701,222987
1487281451,205706,222990
1487282486,205698,222984
1487283632,205692,222985
1487284587,205695,222991
1487285562,205699,222995
1487286513,205715,223012
1487287465,205701,223002
1487288425,205703,223001
1487289410,205690,222987
1487290357,205707,223004
1487291305,205710,223009
1487292270,205712,223014
1487293310,205697,223004
1487294427,205701,223008
1487295384,204948,221933
1487296339,204945,221932
1487297306,204937,221922
1487298270,204928,221910
1487299213,204938,221918
1487300194,204935,221915
1487301148,204930,221908
1487302115,204914,221890
1487303070,204915,221890
1487304095,204919,221894
1487305224,204932,221909
1487306185,204923,221903
1487307154,204931,221914
1487308106,204922,221906
1487309062,204912,221893
1487310043,204919,221906
1487310990,204931,221921
1487311957,204924,221909
1487312918,204938,221924
1487313870,204924,221913
1487314928,204912,221901
1487316037,204907,221895
1487316984,204900,221891
1487317966,204888,221882
1487318914,204904,221899
1487319857,204912,221905
1487320814,204912,221906
1487321819,204897,221887
1487322756,204891,221881
1487323718,204889,221880
1487324713,204880,221868
1487325709,204857,221845
1487326830,204855,221844
1487327792,204848,221838
1487328742,204853,221843
1487329703,204861,221851
1487330652,204878,221867
1487331617,204889,221879
1487332598,204889,221879
1487333551,204902,221891
1487334513,204905,221895
1487335475,204900,221891
1487336501,204851,221844
1487337640,204850,221841
1487338596,204847,221838
1487339556,204865,221859
1487340527,204863,221861
1487341467,204870,221869
1487342440,204886,221893
1487343392,204895,221902
1487344359,204904,221913
1487345317,204905,221917
1487346276,204911,221923
1487347283,204907,221918
1487348189,204897,221908
1487349155,204898,221909
1487350118,204899,221909
1487351074,204906,221917
1487352044,204924,221854
1487352991,204900,221830
1487354209,204871,221789
1487355156,204852,221766
1487356114,204827,221737
1487357073,204820,221727
1487358100,204802,221707
1487359230,204796,221701
1487360176,204798,221703
1487361145,204785,221690
1487362107,204768,221674
1487363060,204753,221658
1487364020,204748,221653
1487364999,204742,221646
1487365958,204729,221632
1487366909,204700,221598
1487367868,204671,221567
1487368928,204668,221564
1487370037,204658,221557
1487370977,204668,221569
1487371949,204653,221554
1487372904,204647,221543
1487373859,204654,221553
1487374821,204635,221534
1487375811,204607,221504
1487376750,204616,221514
1487377720,204575,221473
1487378673,204563,221461
1487379712,204555,221454
1487380822,204552,221458
1487381781,204421,221377
1487382743,204412,221368
1487383714,204398,221354
1487384650,204394,221350
1487385621,204367,221325
1487386583,204355,221310
1487387561,204343,221295
1487388509,204323,221276
1487389473,204319,221274
1487390502,204301,221255
1487391632,204300,221255
1487392600,204281,221236
1487393555,204261,221219
1487394514,204246,221205
1487395451,204244,221204
1487396424,204236,221197
1487397390,204221,221181
1487398358,204220,221181
1487399309,204225,221186
1487400277,204181,221143
1487401298,204198,221162
1487402430,204185,221150
1487403398,204160,221127
1487404357,204153,221122
1487405310,204135,221104
1487406253,204147,221117
1487407213,204121,221091
1487408195,204072,221039
1487409159,204072,221046
1487410116,204057,221030
1487411073,204067,221042
1487412095,204015,220992
1487413223,204026,221004
1487414184,204000,220975
1487415142,203987,220963
1487416124,203996,220975
1487417051,203986,220963
1487418029,203982,220959
1487418993,203962,220939
1487419961,203941,220919
1487420920,203935,220914
1487421882,203916,220893
1487422895,203916,220895
1487424040,203902,220880
1487424991,203889,220867
1487425958,203883,220858
1487426927,203882,220858
1487427865,203882,220857
1487428828,203868,220842
1487429841,203846,220821
1487430758,203842,220817
1487431708,203827,220799
1487432677,203822,220794
1487433689,203809,220782
1487434592,203807,220779
1487435569,203810,220778
1487436758,203815,220783
1487437712,203811,220776
1487438652,203794,220694
1487439622,203780,220679
1487440591,203766,220664
1487441555,203760,220656
1487442506,203754,220651
1487443474,203755,220653
1487444506,203757,220654
1487445632,203747,220644
1487446588,203742,220636
1487447539,203726,220621
1487448513,203688,220585
1487449453,203699,220597
1487450424,203696,220595
1487451396,203687,220585
1487452356,203682,220576
1487453314,203679,220573
1487454272,203657,220544
1487455314,203668,220555
1487456436,203658,220547
1487457377,203675,220564
1487458350,203650,220536
1487459307,203631,220514
1487460258,203646,220532
1487461220,203638,220524
1487462192,203613,220500
1487463169,203613,220500
1487464121,203609,220498
1487465069,203598,220486
1487466112,203602,220491
1487467220,203592,220483
1487468187,204314,221407
1487469146,204298,221390
1487470105,204287,221377
1487471051,204283,221372
1487472018,204277,221366
1487472983,204269,221357
1487473946,204272,221362
1487474895,204271,221363
1487475859,204266,221357
1487476895,204264,221354
1487478029,204268,221360
1487478975,204267,221359
1487479944,204256,221352
1487480905,204250,221344
1487481851,204251,221347
1487482819,204247,221343
1487483798,204238,221333
1487484759,204235,221332
1487485706,204225,221322
1487486665,204219,221316
1487487704,204207,221305
1487488813,204197,221294
1487489791,204187,221284
1487490747,204176,221270
1487491705,204154,221248
1487492662,204143,221239
1487493621,204138,221234
1487494588,204123,221218
1487495557,204125,221218
1487496513,204112,221203
1487497465,204103,221191
1487498511,204092,221180
1487499625,204081,221175
1487500589,204064,221158
1487501547,204055,221151
1487502499,204054,221151
1487503463,204047,221144
1487504430,204038,221138
1487505387,204037,221138
1487506354,204029,221130
1487507328,204027,221126
1487508270,204016,221116
1487509305,204010,221111
1487510425,203995,221095
1487511414,203985,221083
1487512346,203993,221090
1487513321,203985,221081
1487514270,203981,221076
1487515237,203984,221079
1487516187,203969,221064
1487517169,203963,221058
1487518107,203960,221055
1487519068,203953,221047
1487520103,203949,221042
1487521218,203953,221048
1487522182,203939,221030
1487523142,203929,221018
1487524108,203907,220995
1487525060,203365,220348
1487526015,203358,220339
1487526991,203352,220332
1487527963,203336,220309
1487528913,203327,220301
1487529862,203314,220290
1487530910,203307,220284
1487532032,203307,220278
1487532985,203291,220264
1487533954,203293,220267
1487534897,203293,220265
1487535866,203287,220258
1487536814,203284,220256
1487537804,203286,220259
1487538757,203275,220248
1487539723,203281,220255
1487540664,203285,220259
1487541727,203276,220248
1487542829,203281,220253
1487543785,203271,220242
1487544750,203276,220244
1487545699,203273,220242
1487546670,203273,220243
1487547615,203272,220242
1487548589,203262,220232
1487549565,203263,220232
1487550525,203260,220229
1487551463,203254,220223
1487552502,203244,220214
1487553613,203245,220214
1487554591,203670,220580
1487555537,203664,220576
1487556788,203652,220562
1487557709,203630,220535
1487558664,203645,220552
1487559720,203628,220537
1487560811,203623,220533
1487561797,203614,220525
1487562736,203615,220524
1487563698,203598,220507
