DateTime,AddedIPs,RemovedIPs
1487277122,1,6
1487277363,45,6
1487277723,3,0
1487278321,2,10
1487278980,1,21
1487280121,0,27
1487280723,2,0
1487280782,2,0
1487281214,31,34
1487281321,1,0
1487281921,0,1
1487282580,4,6
1487283124,1,49
1487284321,1,2
1487285043,52,17
1487285522,1,0
1487286123,2,0
1487286180,0,4
1487286721,2,5
1487286964,0,62
1487287322,2,22
1487287921,1,4
1487288522,1,5
1487288883,32,0
1487289122,2,0
1487289780,2,7
1487290321,5,0
1487290921,0,2
1487291522,6,0
1487291581,6,0
1487292724,69,48
1487293380,4,2
1487293922,3,1
1487294523,0,6
1487295121,1,0
1487295723,17,28
1487296564,52,100
1487296922,29,65
1487296980,0,1
1487297521,3,7
1487298122,1,0
1487298722,0,37
1487298782,0,5
1487299321,0,24
1487299922,0,5
1487300407,32,0
1487300580,0,1
1487301722,1,4
1487302321,2,0
1487302922,9,7
1487303521,2,0
1487304483,109,155
1487305321,12,10
1487305922,0,12
1487306403,80,0
1487306522,4,0
1487307722,5,41
1487308921,0,95
1487309522,1,0
1487310243,73,186
1487310721,4,0
1487311321,1,1
1487311380,0,6
1487311922,1,2
1487312522,0,2
1487313723,0,1
1487314082,71,0
1487314322,7,9
1487314980,5,4
1487315521,1,1
1487316123,2,4
1487316721,2,4
1487317322,1,1
1487317925,41,66
1487318521,3,15
1487318580,0,1
1487319121,2,12
1487319844,0,99
1487320322,1,5
1487320381,2,0
1487320922,2,0
1487321521,2,2
1487321784,46,0
1487322180,13,0
1487323322,2,26
1487323921,1,0
1487324521,1,0
1487325611,49,65
1487325780,0,8
1487326324,4,3
1487326922,35,6
1487327523,37,0
1487327582,2,5
1487328122,6,0
1487328721,17,0
1487329321,8,12
1487329380,1,2
1487329922,4,23
1487330522,6,7
1487331365,37,37
1487331721,5,72
1487332322,7,14
1487332981,0,7
1487333522,4,2
1487334121,10,0
1487334724,7,7
1487334781,0,3
1487335203,39,6
1487335322,3,21
1487335922,1,2
1487336580,1,1
1487337124,2,71
1487337721,7,14
1487338381,0,9
1487339052,46,7
1487339522,6,0
1487340122,1,6
1487340180,0,1
1487341322,22,50
1487341922,0,11
1487342522,17,4
1487342883,41,34
1487343721,1,15
1487343781,1,6
1487344322,2,6
1487344922,1,17
1487345521,3,0
1487346122,4,9
1487346724,35,31
1487347322,4,0
1487347381,0,1
1487347922,2,2
1487348523,5,15
1487349122,1,0
1487349181,3,1
1487349722,2,0
1487350321,1,0
1487350580,42,72
1487350981,4,3
1487351521,6,1
1487351572,10,0
1487352122,2,32
1487352722,3,0
1487353322,3,73
1487353921,0,19
