DateTime,Entries,UniqueIPs
1484442004,36889,139003
1484442690,36887,139001
1484445206,36894,139008
1484445843,36892,139009
1484446688,35401,137509
1484450400,35377,137485
1484451066,35387,137495
1484451601,35390,137498
1484453737,35393,137501
1484453885,35419,137527
1484460083,35423,137531
1484464756,35461,137570
1484465480,35445,137554
1484466000,35449,137558
1484468882,35450,137559
1484473491,35455,137564
1484475858,35458,137567
1484476567,35459,137567
1484476801,35460,137568
1484479888,35458,137566
1484480400,35466,137574
1484482797,35540,137652
1484483965,35488,137606
1484486709,35484,137602
1484490672,35471,137589
1484491200,35473,137591
1484493600,35626,137748
1484494269,35593,137703
1484494741,35592,138212
1484495401,35597,138217
1484496068,35596,137451
1484497583,35599,137453
1484502505,35600,137454
1484504172,35753,137607
1484505572,35753,137862
1484508667,35741,137851
1484509200,35745,137856
1484511123,35748,137857
1484514972,35938,138050
1484517001,35942,137799
1484518804,35938,137793
1484519473,35945,137800
1484523071,35939,137794
1484523713,35942,137797
1484525401,35941,138051
1484526227,34235,136333
1484526483,34235,136333
1484530431,34233,136331
1484530898,34239,136337
1484534163,34237,136337
1484534354,34237,136592
1484537032,34262,136617
1484537522,34226,136577
1484538000,34230,136581
1484541255,34230,136582
1484541843,34234,136586
1484545200,34237,136589
1484547601,34270,136622
1484549523,34268,136621
1484552127,34251,136604
1484552536,34254,136607
1484557206,34254,136607
1484559101,34255,136608
1484559600,34261,136614
1484561043,34261,136613
1484563170,34263,136615
1484563378,34264,136616
1484566322,34255,136607
1484566801,34259,136611
1484568727,34258,136609
1484569200,34363,136716
1484570364,34319,136675
1484573488,34323,135913
1484573997,34326,135915
1484574000,34331,135920
1484576644,34330,135919
1484577076,34319,135907
1484577541,34318,136161
1484577600,34320,136163
1484578878,34321,136164
1484579774,34540,136385
1484580000,34514,136359
1484580722,34519,136110
1484581200,34529,136120
1484584324,34529,136121
1484584804,34528,136120
1484586076,34529,136121
1484589000,34535,136127
1484590373,34531,136123
1484590573,34667,136260
1484592008,34666,136260
1484593801,34665,136514
1484595122,34663,136512
1484595738,34662,136511
1484596863,34674,136523
1484599682,34674,136522
1484601836,34836,136685
1484602800,34844,136693
1484606602,34841,136690
1484607363,34842,136688
1484608715,34843,136944
1484609522,34841,136942
1484610000,34845,136946
1484612400,33706,135800
1484615283,33706,135801
1484617559,33706,135801
1484619124,33705,135800
1484623200,33789,135886
1484623441,33764,135861
1484623922,33763,135860
1484624401,33764,135861
1484627043,33765,135861
1484628474,33768,135864
1484631815,33779,135875
1484634030,33812,135908
1484634963,33813,135909
1484638322,33815,135911
1484638800,33817,135913
1484639461,33820,135916
1484642643,33817,135915
1484644667,33838,135936
1484646000,33837,135935
1484650323,33838,135936
1484650554,33839,135936
1484652722,33851,135948
1484653800,33855,135952
1484655374,33931,136031
1484656800,33930,136021
1484658005,33932,136020
1484660400,33934,136022
1484661636,33932,136020
1484661673,33935,136023
1484663468,33928,136015
1484663960,33926,136523
1484664001,33927,136524
1484665683,33927,136526
1484666302,34070,136669
1484666400,34045,136644
1484667066,34045,136389
1484667122,34078,136425
1484667600,34079,136426
1484672475,34081,136428
1484673604,34080,136424
1484674800,34083,136427
1484676975,34262,136606
1484677706,34256,136600
1484680201,34256,136345
1484681522,34215,136305
1484682000,34219,136309
1484683441,34221,136311
1484685123,34221,136311
1484687895,34366,136458
1484689200,34372,136464
1484692803,34370,136461
1484692847,34372,136463
1484694355,34369,136461
1484695922,34354,136447
1484696400,34363,136470
1484698800,33182,135279
1484699581,33182,135534
1484700483,33181,135532
1484703605,33185,135536
1484705179,33187,135538
1484709601,33161,135512
1484710322,33156,135507
1484710800,33159,135510
1484712009,33157,135509
1484714831,33158,135510
1484715827,33164,135516
1484718000,33168,135520
1484719923,33167,135521
1484720400,33208,135562
1484725200,33178,135532
1484726870,33180,135534
1484727604,33180,135532
1484731178,33218,135570
1484732401,33219,135571
1484735283,33218,135572
1484737892,33216,135570
1484739422,33156,135510
1484740200,33159,135513
1484741786,33396,135750
1484742963,33397,135751
1484743200,33422,135759
1484746800,33425,135762
1484748946,33429,135766
1484749876,33425,135762
1484752573,33578,135917
1484752801,33547,135886
1484753499,33552,135382
1484753822,33546,135376
1484754000,33550,135380
1484758323,33549,135379
1484759948,33548,135633
1484761200,33551,135636
1484762473,33550,135380
1484763578,33726,135556
1484765051,33725,135556
1484766004,33727,135557
1484768373,33724,135810
1484768400,33732,135818
1484771066,33733,135819
1484774400,33889,135978
1484775601,33890,135979
1484777523,33890,135979
1484779200,33891,135980
1484782088,33896,135985
1484782786,33894,135983
1484782800,33947,136038
1484785213,33029,135113
1484788200,33030,135114
1484790122,33035,135119
1484792883,33035,135116
1484793079,33030,135111
1484795932,33087,135168
1484796000,33061,135142
1484797021,33014,135095
1484797200,33018,135099
1484800563,33021,135095
1484803987,33025,135099
1484804527,33029,135103
1484806675,33078,135154
1484808242,33077,135152
1484808756,33077,135152
1484811422,33095,135170
1484811687,33099,135174
1484812895,33101,135176
1484814947,33108,135183
1484815923,33106,135180
1484817325,33117,135191
1484819400,33118,135192
1484823605,33118,135189
1484825822,33116,135187
1484826000,33119,135190
1484827685,33119,135189
1484828174,33183,135255
1484829590,33230,135322
1484833201,33233,135325
1484834478,33234,135326
1484835604,33237,135328
1484836281,33233,135324
1484836773,33232,135324
1484838569,33234,135071
1484838974,33373,135210
1484839200,33344,135181
1484840348,33334,135426
1484840400,33344,135436
1484841683,33345,135437
1484842200,33344,135691
1484843522,33342,135689
1484847538,33340,135687
1484847601,33347,135694
1484849773,33512,135863
1484851203,33512,135863
1484852498,33492,135843
1484853000,33493,135844
1484854761,33451,135802
1484854800,33457,135808
1484858204,33457,135808
1484858884,36622,139157
1484860800,36780,139316
1484862000,36787,139323
1484866563,36785,139321
1484869036,36784,139319
1484869200,36792,139327
1484871503,35907,138433
1484874485,35908,138434
1484877675,35912,138438
1484880256,35911,138437
1484882164,35910,138436
1484882400,35880,138406
1484883422,35879,138405
1484883601,35881,138407
1484886004,35880,138406
1484889470,35926,138452
1484890801,35927,138453
1484893683,35927,138453
1484897822,35904,138429
1484898000,35908,138433
1484901363,35910,138435
1484901433,35912,138437
1484902882,35913,138438
1484905502,35919,138445
1484909042,35920,138446
1484910600,35921,138447
1484911371,35973,138499
1484911885,35974,138500
1484912371,35955,138481
1484912400,35959,138485
1484915948,35914,138465
1484916723,35914,138466
1484919075,35915,137958
1484919600,35918,137961
1484922000,36158,138202
1484922234,36154,138198
1484923261,36154,138198
1484924405,36151,138194
1484925601,36119,138162
1484926273,36115,138413
1484926622,36101,138399
1484926858,36105,138403
1484931685,36106,138404
1484932083,36107,138405
1484932800,36222,138522
1484934041,36220,138520
1484934600,36222,138523
1484940035,36223,138524
1484941164,36174,138475
1484941201,36182,138483
1484943375,36307,138608
1484943844,36306,138607
1484944842,36313,138614
1484945400,36314,138615
1484948447,36317,138618
1484950800,38934,141764
1484951523,38933,141764
1484952000,39022,141875
1484954400,39124,141980
1484955074,39125,141981
1484955422,39120,141975
1484955850,39121,141976
1484956201,39209,142085
1484959204,39286,142188
1484962800,39390,142321
1484965201,38399,141322
1484966884,38481,141432
1484969053,38286,141173
1484969822,38273,141160
1484970000,38361,141273
1484970723,38359,141270
1484973600,38454,141389
1484977260,38459,141394
1484978406,38536,141488
1484979000,38541,141493
1484979439,38566,141519
1484980801,38633,141608
1484982601,38637,141614
1484984222,38631,141606
1484984400,38706,141699
1484986323,38704,141697
1484987029,38741,141734
1484987501,38742,141735
1484988059,38745,141738
1484989304,38818,141820
1484991601,38889,141914
1484994003,38888,141913
1484994691,38899,141924
1484995201,38953,141998
1484998276,38955,142000
1484998622,38924,141970
1484998926,38924,141969
1484999618,38995,142056
1485001683,38996,142057
1485001882,39018,142079
1485002401,39044,142121
1485006000,39151,142253
1485007278,39152,142254
1485009072,39147,142249
1485009363,39148,142250
1485009833,39153,142255
1485010882,39231,142359
1485012244,39291,141911
1485013022,39269,141889
1485013200,39358,142004
1485015717,39356,143021
1485017043,39355,143020
1485018094,39442,143134
1485020871,39513,143241
1485022800,39583,143311
1485024000,39672,143431
1485024723,39671,143430
1485027628,39664,143422
1485028883,39743,143521
1485031200,39802,143615
1485031904,39799,143612
1485032406,39799,143612
1485033447,39877,143690
1485034800,39952,143786
1485036244,39953,143787
1485038401,40019,143880
1485041956,39990,144105
1485042000,40057,144206
1485042315,40058,144207
1485043924,40059,144208
1485044257,40126,144276
1485045725,40207,144380
1485049200,40281,144478
1485051600,39169,143354
1485051843,39168,143353
1485053047,39239,143458
1485054600,39242,143461
1485055200,39187,143389
1485056222,39169,143370
1485056400,39247,143486
1485059528,39251,143494
1485060000,39314,143593
1485062426,39369,143649
