DateTime,AddedIPs,RemovedIPs
1487315105,0,5
1487315705,124,47
1487316306,36,75
1487316764,14,15
1487316920,37,119
1487317209,4,0
1487317502,0,41
1487318107,33,67
1487318667,7,9
1487318703,0,8
1487319005,100,32
1487319603,66,4
1487319905,35,38
1487320505,9,32
1487321102,43,3
1487321406,35,30
1487322003,1,2
1487322498,5,24
1487322903,76,35
1487323711,2,32
1487323805,47,34
1487324433,61,15
1487324706,2,58
1487325303,35,4
1487325606,0,34
1487326342,145,26
1487326805,34,37
1487327406,37,35
1487328007,41,33
1487328252,9,4
1487328604,16,2
1487329203,22,38
1487329806,37,37
1487330177,8,7
1487330403,44,2
1487330712,35,48
1487331306,2,42
1487332107,43,18
1487332503,2,36
1487333106,34,40
1487333704,1,20
1487334033,9,1
1487334603,120,145
1487334905,38,37
1487335505,42,31
1487335947,6,12
1487336107,13,46
1487336703,78,6
1487337006,96,38
1487337606,3,39
1487338111,9,7
1487338344,46,135
1487338806,104,58
1487339404,36,19
1487340114,46,54
1487340302,40,7
1487340606,35,37
1487341206,64,35
1487341956,79,65
1487342405,86,55
1487343007,93,91
1487343603,61,1
1487343872,8,14
1487343911,78,51
1487344506,92,66
1487345105,189,36
1487345794,107,45
1487346305,178,50
1487346906,89,39
1487347703,112,92
1487348104,60,53
1487348407,13,35
1487349003,6,4
1487349640,64,47
1487349904,123,44
1487350208,10,37
1487350806,20,38
1487351568,91,191
1487352005,9,36
1487352606,11,39
1487352985,2,0
1487353500,37,71
1487353806,52,40
1487354403,13,4
1487354710,2,32
1487355387,120,42
1487355610,101,36
1487356208,98,85
1487356804,8,43
1487357294,14,7
1487357705,12,62
1487358303,1,34
1487358606,6,36
1487359218,51,91
1487359812,14,80
1487360404,16,2
1487360888,1,0
1487361139,26,44
1487361607,49,53
1487362205,5,31
1487362803,97,42
1487363055,9,16
1487363407,11,38
1487364002,11,2
1487364606,5,72
1487364987,13,15
1487365203,21,15
1487365804,2,23
1487366403,4,37
1487366905,17,7
1487367007,5,83
1487367615,19,48
1487368203,3,5
1487368923,18,43
1487369404,9,4
1487370005,3,3
1487370758,20,41
1487371208,2,28
1487371802,4,1
1487372413,9,75
1487373003,12,11
1487373604,11,6
1487374202,11,2
1487374506,4,34
1487375103,14,2
1487375704,8,4
1487376504,9,20
1487376903,5,16
1487377504,5,37
1487378103,1,3
1487378412,10,8
1487378707,2,89
1487379303,106,3
1487379903,6,8
1487380333,10,11
1487380503,15,9
1487380805,3,30
1487381402,94,1
1487381704,10,25
1487382256,17,7
1487382303,8,7
1487382905,5,42
1487383503,12,8
1487384184,19,44
1487384403,48,5
1487385003,3,3
1487385605,1,54
1487386095,14,12
1487386202,4,17
1487386808,4,97
1487387403,2,1
1487388003,0,1
1487388602,2,1
1487389204,1,36
1487389802,4,0
1487390403,4,3
1487390706,1,60
1487391302,4,1
1487391847,13,36
1487391903,41,3
1487392207,3,33
1487392802,2,33
1487393104,1,2
1487393798,46,43
1487394009,0,100
1487394605,2,36
1487395236,36,2
1487395704,10,17
1487395805,5,35
1487396403,4,1
1487396900,2,0
1487397005,2,36
1487397686,19,8
1487398205,3,32
1487398804,1,47
1487399542,13,70
1487399705,100,127
1487400308,48,99
1487400906,5,38
1487401469,12,10
1487401502,6,0
1487402116,7,113
1487402707,79,33
1487403393,73,6
1487403605,95,37
1487404205,43,16
1487404593,1,0
1487404803,67,31
1487405297,15,14
1487405408,11,104
1487406003,2,40
1487406307,0,35
1487406905,1,11
1487407208,3,39
1487407806,0,39
1487408404,13,9
1487409153,8,42
1487409307,1,38
1487409903,1,3
1487410207,0,44
1487410804,1,47
1487411058,11,10
1487411555,4,37
1487412003,6,2
1487412617,20,115
1487412975,8,10
1487413205,2,31
1487413807,1,42
1487414406,4,30
1487414904,7,7
1487415003,6,8
1487415305,2,36
1487415907,2,37
1487416511,2,39
1487417102,5,0
1487417405,4,29
1487418003,15,5
1487418754,950,42
1487418903,6,7
1487419505,3,32
1487420103,12,2
1487420646,4,8
1487421007,6,115
1487421604,6,43
1487422203,25,39
1487422583,9,9
1487422807,6,79
1487423408,3,91
1487424004,2,9
1487424502,8,13
1487424607,4,45
1487425205,9,108
1487425803,2,21
1487426178,1,0
1487426705,49,69
1487427304,109,52
1487427909,12,91
1487428348,9,21
1487428507,119,54
1487429104,16,44
1487429410,7,84
1487430004,19,58
1487430608,3,130
1487431209,16,172
1487431811,15,85
1487432185,4,2
1487432409,17,164
1487433005,11,91
1487433606,20,82
1487434115,5,7
1487434207,18,91
1487434806,20,28
1487435406,28,7
1487436033,28,125
1487436603,17,44
1487436905,12,21
1487437504,11,12
1487437957,13,5
1487438105,9,39
1487438920,48,11
1487439005,11,18
1487439609,24,21
1487439861,10,7
1487440206,16,51
1487440890,106,19
1487441408,14,79
1487442008,101,102
1487442609,14,87
1487443204,11,11
1487443693,20,27
1487443805,97,33
1487444404,18,5
1487445005,14,18
1487445617,18,6
1487445904,47,43
1487446506,97,22
1487447105,10,19
1487447532,12,5
1487447704,13,5
1487448247,2,0
1487448303,21,37
1487448904,8,14
1487449449,15,10
1487449803,16,96
1487450405,7,12
1487451003,6,3
1487451385,9,20
1487451603,6,25
1487452203,120,2
1487452804,3,5
1487453309,11,5
1487453403,7,7
1487454003,9,7
1487454604,11,16
1487455308,106,30
1487455714,1,0
1487455804,141,10
1487456403,1,6
1487457157,9,7
1487457603,4,3
1487458203,4,4
1487458805,2,10
1487459068,10,4
1487459404,8,7
1487460005,15,15
1487460604,2,14
1487460985,11,8
