DateTime,AddedIPs,RemovedIPs
1487248382,0,3
1487248922,5,0
1487250122,2,3
1487250722,6,22
1487251321,0,8
1487251921,3,16
1487252522,7,85
1487253122,2,0
1487253722,3,23
1487254322,7,0
1487254921,2,9
1487255523,3,3
1487255581,0,3
1487256121,9,9
1487257321,19,18
1487258522,4,1
1487259722,1,1
1487260321,3,3
1487260931,11,0
1487261522,1,5
1487262121,5,0
1487263322,2,31
1487263921,2,0
1487264521,3,0
1487265122,4,35
1487265721,21,3
1487266322,0,27
1487266922,2,2
1487268121,6,6
1487268721,1,0
1487269322,1,1
1487269922,3,0
1487269981,2,0
1487270522,4,0
1487271722,1,0
1487272321,5,1
1487272924,1,8
1487273522,1,4
1487274122,1,29
1487274721,4,0
1487275322,5,95
1487276521,0,25
1487277122,1,6
1487277181,0,6
1487277723,3,0
1487278321,2,10
1487278922,1,19
1487280121,0,27
1487280723,2,0
1487280782,2,0
1487281321,1,0
1487281921,0,1
1487282521,4,4
1487283122,1,2
1487284321,1,2
1487284922,3,17
1487285522,1,0
1487286123,2,0
1487286721,2,5
1487287322,2,22
1487287921,1,4
1487288522,1,5
1487289122,2,0
1487289723,2,4
1487290321,5,0
1487290921,0,2
1487291522,6,0
1487291581,6,0
1487292721,1,0
1487293321,3,0
1487293922,3,1
1487294523,0,6
1487295121,1,0
1487295723,17,28
1487296922,29,65
1487297521,3,7
1487298122,1,0
1487298722,0,37
1487298782,0,5
1487299321,0,24
1487299922,0,5
1487301722,1,4
1487302321,2,0
1487302922,9,7
1487303521,2,0
1487304122,1,2
1487305321,12,10
1487305922,0,12
1487306522,4,0
1487307722,5,41
1487308921,0,95
1487309522,1,0
1487310122,3,24
1487310721,4,0
1487311321,1,1
1487311922,1,2
1487312522,0,2
1487313723,0,1
1487314322,7,9
1487314921,5,0
1487315521,1,1
1487316123,2,4
1487316721,2,4
1487317322,1,1
1487317922,0,14
1487318521,3,15
1487319121,2,12
1487319721,0,57
1487320322,1,5
1487320381,2,0
1487320922,2,0
1487321521,2,2
1487322122,13,0
1487323322,2,26
1487323921,1,0
1487324521,1,0
1487325721,0,3
1487326324,4,3
1487326922,35,6
1487327522,5,0
1487327582,2,5
1487328122,6,0
1487328721,17,0
1487329321,8,12
1487329922,4,23
1487330522,6,7
1487331721,5,72
1487332322,7,14
1487332922,0,5
1487333522,4,2
1487334121,10,0
1487334724,7,7
1487334781,0,3
1487335322,3,21
1487335922,1,2
1487336522,1,0
1487337121,2,0
1487337721,7,14
1487338381,0,9
1487338922,4,7
1487339522,6,0
1487340122,1,6
1487341322,22,50
1487341922,0,11
1487342522,17,4
1487343721,1,15
1487344322,2,6
1487344922,1,17
1487345521,3,0
1487346122,4,9
1487347322,4,0
1487347922,2,2
1487348523,5,15
1487349122,1,0
1487349181,3,1
1487349722,2,0
1487350321,1,0
1487350922,4,2
1487351521,6,1
1487351572,10,0
1487352122,2,32
1487352722,3,0
1487353322,3,73
1487353921,0,19
1487354522,1,0
1487355121,1,1
1487355721,0,13
1487356382,0,2
1487356921,1,5
1487357525,3,0
1487358122,5,5
1487358722,1,0
1487359322,1,5
1487359922,4,2
1487360521,4,7
1487361721,7,9
1487362321,3,0
1487362922,2,9
1487363522,1,29
1487364122,4,69
1487364721,2,0
1487365322,3,32
1487365922,0,42
1487366524,4,51
1487367722,1,27
1487368322,1,4
1487368922,3,5
1487369522,1,7
1487370121,2,0
1487370722,7,3
1487371321,1,5
1487372521,3,0
1487373122,14,0
1487373724,2,2
1487374922,1,0
1487375522,1,13
1487376122,6,9
1487376722,1,62
1487377322,4,1
1487377922,1,0
1487378522,2,23
1487379122,3,0
1487379722,0,1
1487380922,3,8
1487381522,11,42
1487382122,20,14
1487382722,3,0
1487383321,21,3
1487383921,8,0
1487384523,1,2
1487385731,4,5
1487386326,5,14
1487386923,3,5
1487387522,5,0
1487388123,3,20
1487388722,0,3
1487388781,0,4
1487389322,1,52
1487389921,2,0
1487390522,2,0
1487391122,1,42
1487391722,0,1
1487392322,1,0
1487392921,3,3
1487394124,0,7
1487394724,4,2
1487395322,2,0
1487395922,1,5
1487396522,3,3
1487397121,3,0
1487398922,2,3
1487399521,0,2
1487400122,1,8
1487400722,14,12
1487401924,0,26
1487403122,1,46
1487403722,1,67
1487404322,2,0
1487404922,2,7
1487405522,3,0
1487406122,0,4
1487406722,1,0
1487407322,0,1
1487407922,5,0
1487409122,2,1
1487409722,2,0
1487410322,2,7
1487410922,2,2
1487411522,3,0
1487412122,3,9
1487413321,1,16
1487413922,3,0
1487414522,3,44
1487415722,5,62
1487416322,1,0
1487416922,4,8
1487417522,1,4
1487418721,1,1
1487419322,1,0
1487419922,0,3
1487421122,1,1
1487421724,1,1
1487422322,1,0
1487422922,1,4
1487424122,1,5
1487425322,3,5
1487425922,0,14
1487426522,3,23
1487427122,0,42
1487427723,17,30
1487428923,20,15
1487429522,4,6
1487430122,1,6
1487430722,2,3
1487431322,1,0
1487431922,0,6
1487432522,4,1
1487433122,4,0
1487433723,1,3
1487434322,3,0
1487434922,7,2
1487435522,2,0
1487436122,2,10
1487436722,1,1
1487437321,2,0
1487437922,2,15
1487438105,14,0
1487438521,2,0
1487439122,1,67
1487439721,0,3
1487440922,0,10
1487441522,3,5
1487442122,1,0
1487442722,2,4
1487442781,1,0
1487443323,2,5
1487443922,1,1
1487444521,0,4
1487445722,2,2
1487446321,1,0
1487446922,4,0
1487447522,1,1
1487448124,1,11
1487449322,0,1
1487450522,3,34
1487451122,1,39
1487451722,2,0
1487452322,1,44
1487452923,2,0
1487453522,1,19
1487454122,6,0
1487455322,1,6
1487455922,2,0
1487457122,2,6
1487458322,1,0
1487458922,1,3
1487459521,1,3
1487460122,0,10
1487460721,2,0
1487461322,1,4
1487461922,1,0
1487462523,2,3
1487463123,0,13
1487463722,3,0
1487464322,3,31
1487464381,2,0
1487464922,3,37
1487465522,1,2
1487466122,4,0
1487466721,1,21
1487467322,0,1
1487467922,1,2
1487468523,19,9
1487469122,19,3
1487469722,7,3
1487470321,0,1
1487470921,1,0
1487471522,2,2
1487472121,7,0
1487472722,3,2
1487473322,4,0
1487474523,2,5
1487475122,1,10
1487475723,0,34
1487476922,2,69
1487478122,0,13
1487478722,1,3
1487479322,1,0
1487479922,4,12
1487481122,3,1
1487481722,6,3
1487482922,2,0
1487483522,2,6
1487484122,2,0
1487484721,1,2
1487485321,0,4
1487485981,2,0
1487486524,9,1
1487487123,1,0
1487487722,0,23
1487488922,0,72
1487490121,1,4
1487490723,1,0
1487491321,5,11
1487491922,0,24
1487492522,3,0
1487493122,0,2
1487493722,1,2
1487494322,1,0
1487495523,4,2
1487496122,4,1
1487496722,1,1
1487497322,5,8
1487498522,1,3
1487499722,3,16
1487500321,6,0
1487500923,3,0
1487501522,2,0
1487502122,4,66
1487502722,2,0
1487503324,0,27
1487503921,0,4
1487505121,5,2
1487505723,3,2
1487506922,1,2
1487507581,1,0
1487508122,2,0
1487508722,1,0
1487509322,2,0
1487509921,1,0
1487510522,2,7
1487511181,0,9
1487511722,2,21
1487512323,1,0
1487512922,3,8
1487514122,6,65
1487514723,0,3
1487515322,1,10
