DateTime,AddedIPs,RemovedIPs
1484289378,1,1
1484289862,58,0
1484290342,0,1
1484291773,1,1
1484292259,0,1
1484293697,0,1
1484294192,0,1
1484294657,1,0
1484296579,2,0
1484298502,2,3
1484300176,0,1
1484300657,1,0
1484301138,2,1
1484303773,0,1
1484304265,0,1
1484305246,2,0
1484305702,1,0
1484307621,1,0
1484308102,1,0
1484310979,1,0
1484311936,1,0
1484312907,0,1
1484316260,1,0
1484318894,1,0
1484333540,68,0
1484340976,3,6
1484355862,0,1
1484356337,1,0
1484357295,0,1
1484357777,1,1
1484358260,0,1
1484358735,0,1
1484359457,1,0
1484359933,0,1
1484361378,0,1
1484361855,1,0
1484363296,0,1
1484364252,0,1
1484364738,1,0
1484365699,2,2
1484366902,1,6
1484367377,0,1
1484367860,1,0
1484368338,0,1
1484368813,2,1
1484372657,0,1
1484373137,1,0
1484373641,0,1
1484374098,1,0
1484375057,0,1
1484376980,1,0
1484377287,45,0
1484378655,1,3
1484379137,0,1
1484381785,0,1
1484382255,1,0
1484382737,0,1
1484383214,1,0
1484383701,0,1
1484385134,1,0
1484385620,0,1
1484388268,0,1
1484389693,1,0
1484390654,0,1
1484391865,0,1
1484392580,1,0
1484395457,1,0
1484397411,1,0
1484404530,0,1
1484420934,59,0
1484427856,5,3
1484443452,0,2
1484443935,0,1
1484444419,0,2
1484444893,1,1
1484445378,0,1
1484445856,1,0
1484446339,1,1
1484446814,0,1
1484447297,1,0
1484447774,0,1
1484448259,1,0
1484449235,1,0
1484451142,1,0
1484452104,6,0
1484453297,0,4
1484453774,1,1
1484454251,1,0
1484455213,1,1
1484457138,1,0
1484459549,0,1
1484460255,1,0
1484461217,0,1
1484461702,1,0
1484464102,1,3
1484464593,44,0
1484468899,2,0
1484472031,0,1
1484472493,1,0
1484473455,0,1
1484475376,2,0
1484475856,0,1
1484480177,0,1
1484481855,1,0
1484482332,0,2
1484483293,0,1
1484484733,0,1
1484488347,0,1
1484508263,87,0
1484513777,2,2
1484531055,1,2
1484531547,1,0
1484532256,2,2
1484533697,1,0
1484535627,0,1
1484536099,1,0
1484538017,1,2
1484539935,3,2
1484540420,1,1
1484541856,1,1
1484542340,0,1
1484542845,1,1
1484543295,1,1
1484544739,1,1
1484545214,0,1
1484545698,1,1
1484546177,1,0
1484548097,0,1
1484548576,1,0
1484549539,0,1
1484550500,1,0
1484550977,2,1
1484551456,1,1
1484551970,69,0
1484555052,0,1
1484555535,0,1
1484556018,1,1
1484556496,1,1
1484556973,4,4
1484557456,2,0
1484559101,1,0
1484559374,0,1
1484566335,0,2
1484566816,1,0
1484567773,1,1
1484568258,0,1
1484570174,1,0
1484579057,1,0
1484595639,88,0
1484599936,3,3
1484614826,0,1
1484615299,1,1
1484616973,0,1
1484617454,2,2
1484617948,1,1
1484618898,0,2
1484623223,0,1
1484623697,1,2
1484624189,3,0
1484624657,0,1
1484625135,0,2
1484626102,1,2
1484626580,2,1
1484627056,1,0
1484627536,1,0
1484631158,0,1
1484631615,1,0
1484634252,1,0
1484635214,1,0
1484636902,0,2
1484638814,0,1
1484639314,57,0
1484639776,1,1
1484640263,1,2
1484640735,1,0
1484641216,1,0
1484642175,0,1
1484642655,2,2
1484643135,2,0
1484643653,3,3
1484644099,1,5
1484644574,4,0
1484645056,0,2
1484645543,1,0
1484646015,1,0
1484646976,0,2
1484647700,2,0
1484649618,0,1
1484650094,1,0
1484655133,0,1
1484655623,1,0
1484656092,0,1
1484661863,3,0
1484662338,0,1
1484662815,1,0
1484682999,94,0
1484686337,2,4
1484701699,0,1
1484702179,1,0
1484702655,0,1
1484703137,2,1
1484703616,0,2
1484704095,1,1
1484704574,1,1
1484706495,1,2
1484706975,1,1
1484707458,1,0
1484707936,0,1
1484708437,0,1
1484708902,0,1
1484709857,0,1
1484710335,1,1
1484711298,2,1
