DateTime,Entries,UniqueIPs
1486516338,20952,21042
1486520907,21014,21104
1486537698,21015,21105
1486546334,21017,21107
1486564608,21072,21162
1486586900,21070,21160
1486602027,21069,21159
1486602502,21071,21161
1486604423,21069,21157
1486604895,21069,21158
1486605859,21068,21157
1486606341,21069,21158
1486608273,21134,21223
1486609698,21135,21224
1486610183,21134,21223
1486611614,21131,21220
1486612114,21132,21221
1486612574,21131,21220
1486613060,21130,21219
1486613534,21132,21221
1486614494,21131,21220
1486614977,21130,21219
1486615453,21131,21220
1486617373,21130,21219
1486617861,21130,21219
1486620257,21129,21218
1486622174,21130,21219
1486624095,21131,21220
1486624817,21131,21220
1486626014,21131,21220
1486626497,21133,21222
1486627702,21134,21223
1486629079,21135,21224
1486629853,21134,21223
1486630334,21135,21224
1486631296,21133,21222
1486632679,21134,21223
1486633457,21135,21224
1486633935,21134,21223
1486634654,21135,21224
1486635134,21134,21223
1486637536,21133,21222
1486647141,21135,21224
1486647617,21134,21223
1486651971,21186,21275
1486657217,21185,21274
1486672336,21186,21275
1486673296,21190,21279
1486688654,21189,21278
1486689137,21189,21278
1486689866,21188,21277
1486690334,21189,21278
1486691293,21187,21276
1486692256,21185,21274
1486693213,21184,21273
1486693702,21184,21273
1486694174,21184,21273
1486694654,21185,21274
1486695138,21186,21275
1486695723,21243,21332
1486696096,21243,21332
1486697542,21241,21330
1486699465,21240,21329
1486699934,21239,21328
1486702333,21238,21327
1486703307,21238,21327
1486705936,21238,21327
1486706654,21239,21328
1486707140,21238,21327
1486708574,21237,21326
1486709535,21236,21325
1486710736,21236,21325
1486716735,21235,21324
1486717695,21234,21323
1486718417,21235,21324
1486724902,21234,21323
1486731136,21233,21322
1486732104,21234,21323
1486736427,21233,21322
1486736894,21234,21323
1486739057,21233,21322
1486739557,21293,21382
1486759945,21292,21381
1486775309,21293,21382
1486775774,21292,21381
1486776259,21293,21382
1486779615,21292,21381
1486780103,21290,21379
1486780577,21291,21380
1486781053,21290,21379
1486783250,21332,21421
1486784174,21331,21420
1486784652,21330,21419
1486786813,21332,21421
1486787487,21333,21422
1486787774,21332,21421
1486788272,21333,21422
1486789454,21332,21421
1486790413,21333,21422
1486791856,21332,21421
1486792334,21333,21422
1486793060,21330,21419
1486794494,21328,21417
1486794981,21329,21418
1486795941,21329,21418
1486796899,21327,21416
1486797378,21327,21416
1486797860,21325,21414
1486798338,21327,21416
1486801215,21329,21418
1486801701,21328,21417
1486802177,21329,21418
1486803133,21328,21417
1486804589,21327,21416
1486806014,21327,21416
1486806499,21328,21417
1486807458,21327,21416
1486808893,21326,21415
1486809377,21326,21415
1486809853,21328,21417
1486810338,21329,21418
1486811303,21328,21417
1486814896,21327,21416
1486816339,21326,21415
1486822101,21327,21416
1486823059,21326,21415
1486826920,21356,21445
1486846097,21350,21439
1486862894,21349,21438
1486863855,21348,21437
1486864336,21346,21435
1486865054,21344,21433
1486865537,21346,21435
1486866974,21345,21434
1486867453,21347,21436
1486868899,21348,21437
1486870580,21382,21471
1486871298,21381,21470
1486871782,21381,21470
1486872501,21379,21468
1486872980,21378,21467
1486873454,21377,21466
1486873934,21376,21465
1486874416,21376,21465
1486874900,21377,21466
1486875373,21376,21465
1486875857,21377,21466
1486877773,21376,21465
1486878256,21374,21463
1486878738,21375,21464
1486884738,21375,21464
1486885213,21375,21464
1486885698,21374,21463
1486886188,21375,21464
1486887134,21373,21462
1486887614,21372,21461
1486890974,21373,21462
1486892895,21372,21461
1486893375,21373,21462
1486897704,21372,21461
1486900588,21371,21460
1486901057,21372,21461
1486902031,21371,21460
1486911145,21370,21459
1486911653,21371,21460
1486914259,21401,21490
1486928174,21402,21491
1486929138,21403,21492
1486931057,21402,21491
1486933463,21405,21494
1486948817,21404,21493
1486949304,21405,21494
1486949776,21405,21494
1486950258,21406,21495
1486950735,21408,21497
1486952423,21407,21496
1486952894,21407,21496
1486953373,21407,21496
1486953855,21408,21497
1486955054,21406,21495
1486957958,21439,21528
1486958654,21442,21531
1486959619,21441,21530
1486960100,21442,21531
1486961549,21441,21530
1486962498,21442,21531
1486963953,21442,21531
1486967786,21443,21532
1486968254,21442,21531
1486968737,21441,21530
1486969701,21441,21530
1486970419,21442,21531
1486972335,21441,21530
1486973061,21439,21528
1486973537,21440,21529
1486975460,21439,21528
1486975947,21439,21528
1486976443,21440,21529
1486977622,21439,21528
1486980498,21438,21527
1486982895,21439,21528
1486985299,21440,21529
1486990347,21439,21528
1486991774,21438,21527
1486992256,21439,21528
1486994905,21440,21529
1487001688,21477,21567
1487012656,21478,21568
1487016500,21479,21569
1487018902,21475,21565
1487034263,21474,21564
1487035218,21473,21563
1487041701,21474,21564
