DateTime,AddedIPs,RemovedIPs
1473434137,177,143
1473456025,194,105
1473463831,82,108
1473500180,190,173
1473520026,192,174
1473550231,104,131
1473602907,520,231
1473617536,252,240
1473646820,68,117
1473676100,233,242
1473690739,34,43
1473696887,357,258
1473720014,206,78
1473768029,93,218
1473783099,296,510
1473793252,288,109
1473854439,129,202
1473869084,311,276
1473895936,111,77
1473940830,325,306
1473969141,450,519
1474038527,414,377
1474113651,539,382
1474130414,231,252
1474159696,200,169
1474200032,87,112
1474218258,699,145
1474232893,218,169
1474247540,99,52
1474276822,100,151
1474286436,57,107
1474303891,286,279
1474372830,434,371
1474386278,222,231
1474459232,368,299
1474469544,391,431
1474470998,170,114
1474545646,115,1
1474556188,328,249
1474625802,32852,148
1474632034,281,222
1474639549,279,151
1474642098,376,348
1474643008,75,66
1474718432,110,59
1474800017,4394964,244
1474804831,97,93
1474891231,80,67
1474928644,350,242
1474977631,87,103
1474987667,115,165
1475014825,258,241
1475064054,81,99
1475099981,291,214
1475150434,95,61
1475184512,559,504
1475236838,104,82
1475255213,236,460
1475261764,294,206
1475323233,86,110
1475328570,165,231
1475328899,294,94
1475409632,91,114
1475496033,142,183
1475497581,269,372
1475499784,256,124
1475500894,140,74
1475582448,107,96
1475585782,531,528
1475589355,166,70
1475607119,329,218
1475668836,103,76
1475675344,360,273
1475676016,117,26
1475682820,299,209
1475755231,95,79
1475765239,438,384
1475791291,194,96
1475841633,125,84
1475848618,447,462
1475853912,883,156
1475928048,173,70
1475934534,323,231
1475936116,169,78
1475936935,65,143
1476014432,251,95
1476100833,131,91
1476110398,469,540
1476114414,489,326
1476114432,90,146
1476187232,110,89
1476190190,172,104
1476198828,377,355
1476273632,120,90
1476302636,4250,538
1476358441,271,217
1476360049,126,64
1476403914,331,421
1476446432,115,104
1476478536,302,276
1476509164,930,156
1476532832,107,108
1476619233,466,454
1476630537,211,124
1476631598,427,433
1476705632,100,131
1476711209,268,300
1476792032,364,434
1476802741,874,487
1476828129,266,332
1476878433,303,366
1476888632,162,99
1476913654,412,391
1476964833,152,138
1476969423,173,139
1476981953,325,276
1477051241,138,119
1477053352,302,109
1477063188,467,429
1477068024,95,138
1477137633,116,130
1477224032,681,566
1477226897,176,171
1477231883,275,847
1477233948,135,65
1477310434,154,117
1477313487,188,230
1477314180,118,128
1477314569,101,132
1477396848,138,108
1477407773,612,621
1477416273,70,78
1477422226,240,280
1477483233,175,104
1477494499,198,125
1477509004,789,371
1477569635,155,104
1477574725,313,189
1477587593,239,197
1477656033,174,90
1477674681,610,750
1477676585,208,149
1477688821,336,89
1477742433,125,113
1477762346,4341,215
1477798864,187,251
1477800483,222,160
1477828832,417,226
1477849461,256,0
1477856795,196,107
1477869704,139,80
1477915232,301,366
1477941340,293,176
1477941811,497,375
1478001631,150,114
1478014703,233,355
1478088032,101,91
1478089675,309,423
1478095755,205,314
1478107781,344,127
1478174432,112,128
1478176661,293,177
1478181691,464,271
1478192438,81,163
1478260833,81,87
1478267224,857,484
1478267293,158,101
1478281663,201,102
1478347232,98,115
1478356740,568,383
1478358548,141,67
1478433632,217,268
1478520033,87,174
1478531248,553,573
1478555294,114,91
1478606433,122,100
1478617803,237,359
1478648618,248,230
1478692832,120,126
1478699272,672,474
1478699511,110,70
1478737748,136,130
1478779247,136,126
1478779999,468,465
1478807799,1024,0
1478865632,265,234
1478878849,712,663
1478891204,651,386
1478952033,119,111
1479038439,306,221
1479124844,110,83
1479145364,453,187
1479211247,764,553
1479226718,289,549
1479234019,485,200
1479297636,207,90
1479313256,473,460
1479314539,97,225
1479370917,190,109
1479384033,139,91
1479396540,320,288
1479397060,203,139
1479417629,6144,0
1479423045,269,137
1479470448,118,123
1479474200,284,259
1479479325,143,157
1479486868,341,414
1479556833,117,114
1479602104,644,456
1479643233,152,134
1479650846,285,244
1479660652,90,93
1479675797,200,104
1479729634,149,108
1479733351,244,241
1479746116,76,173
1479753989,212,121
1479816038,125,119
1479818121,314,258
1479831359,444,292
1479835114,205,39
1479853237,16383,0
1479902434,110,113
1479920000,495,369
1479942078,433,264
1479988833,135,109
1479989392,261,255
1480008944,108,105
1480009434,268,229
1480075233,120,132
1480092495,412,98
1480093283,132,157
1480161633,407,437
1480174736,201,112
1480177955,381,250
1480248033,81,136
1480259205,113,95
1480261692,65,145
1480264342,186,295
1480288837,4093,0
1480334433,108,140
1480347485,506,366
1480347953,291,372
1480420833,441,168
1480425669,149,192
1480434954,471,432
1480438207,181,164
1480507233,148,157
1480521450,551,445
1480588386,355,257
1480593633,213,163
1480607083,274,210
1480617692,1416,546
1480680033,142,132
1480693300,222,408
1480695774,135,95
1480766433,284,317
1480795948,393,236
1480852834,134,125
1480869097,369,323
1480872825,186,50
1480939234,416,323
1480946644,330,346
1481025634,285,306
1481062591,466,254
1481113835,154,87
1481128655,696,419
1481147160,308,309
1481162314,124,144
1481200235,134,123
1481207195,91,225
1481218777,271,271
1481248140,1023,0
1481286637,282,273
1481293399,217,155
1481300706,289,223
1481373036,156,135
1481402274,530,777
1481450214,339,199
1481459434,167,209
1481472218,732,116
1481545840,161,133
1481586324,421,455
1481632238,116,122
1481661119,311,281
1481664262,356,230
1481718636,116,139
1481736580,455,215
1481742235,406,257
1481805038,224,362
1481825935,422,177
1481891435,95,150
1481903777,272,131
1481912719,527,416
1481967649,123,114
1481977838,128,158
1481996874,293,327
1482032170,16375,0
1482064239,117,126
1482071567,156,191
1482073067,345,100
1482150636,316,259
1482192678,549,416
1482237036,117,156
1482243764,154,167
1482249137,95,95
1482277383,277,251
1482323452,119,160
1482324830,118,239
1482361936,483,423
1482380655,6144,0
1482409837,101,166
1482443436,802,530
1482483224,347,332
1482496248,104,129
1482511253,207,131
1482520911,265,243
1482527143,680,182
1482582641,145,115
1482597953,397,325
1482669043,101,108
1482755437,657,565
1482790045,459,592
1482838029,107,215
1482841838,105,126
1482875005,442,426
1482920741,418,487
1482928240,111,127
1482942081,309,129
1482961228,380,290
1483014637,473,291
1483014745,172,284
1483029156,524,138
1483040275,257,449
1483101038,498,360
1483116396,558,361
1483187437,86,136
1483203297,220,190
1483252110,16382,0
1483273852,457,359
1483277791,182,196
1483360236,101,102
1483361667,188,280
1483369943,194,77
1483426376,1124,88
1483446637,95,152
1483524290,477,803
1483524345,518,234
1483533047,164,95
1483571130,160,104
1483619449,498,659
1483657046,485,451
1483705840,309,251
1483738622,552,329
1483743120,192,250
1483775058,1022,0
1483792278,335,394
1483878643,245,263
1483965038,112,76
1483980068,367,356
1484000756,385,281
1484051441,439,301
1484060822,213,269
1484062648,162,141
1484085921,212,171
1484137843,159,82
1484141077,320,188
1484172418,471,259
1484224237,146,92
1484238546,384,472
1484249528,237,125
1484304344,333,180
1484310654,136,87
1484332374,375,384
1484334050,189,378
1484350924,218,164
1484397039,86,158
1484483440,272,210
1484501492,442,295
1484506032,154,174
1484569846,280,242
1484582924,292,251
1484587269,330,262
1484656244,103,112
1484664889,162,114
1484670058,211,237
1484742639,397,248
1484754415,522,877
1484823168,537,223
1484829050,183,117
1484841541,439,246
1484909793,411,284
1484915441,100,115
1484923062,315,285
1484976300,179,232
1485001841,308,390
1485018892,252,284
1485088235,264,141
1485092179,277,287
1485092306,200,216
1485174634,121,124
1485176014,420,512
1485214687,373,225
1485261044,484,329
1485290591,417,487
1485291852,172,225
1485344386,228,147
1485347437,121,63
1485376551,316,272
1485425568,350,354
1485433839,116,110
1485448692,204,204
1485462657,375,272
1485484980,141,147
1485520242,135,121
1485525886,187,186
1485544530,267,286
1485546581,158,127
1485606640,94,130
1485693038,528,522
1485702435,332,281
1485739024,250,204
1485776081,91,99
1485779439,117,93
1485823702,317,383
1485862044,351,262
1485865839,188,109
1485903298,262,251
1485952241,411,590
1485953782,131057,0
1485987816,222,299
1486038646,130,134
1486048088,331,178
1486070765,447,521
1486125037,168,144
1486157293,715,590
1486162557,362,212
1486211437,147,117
1486219044,103,187
1486225496,265,489
1486226256,86,271
1486297841,119,111
1486305720,577,452
1486318680,264,92
1486384242,199,109
1486405634,282,275
1486464090,486,293
1486470646,316,243
1486480966,82,137
1486519717,748,505
1486557040,125,66
1486564127,65678,32904
1486564738,311,190
1486594864,5,7
1486595367,356,335
1486639064,162,129
1486643439,114,122
1486645708,188,241
1486673157,338,239
1486724092,166,115
1486729841,108,190
1486747587,512,457
1486759600,225,320
1486816248,104,96
1486830828,315,212
1486902639,111,138
1486910145,218,133
1486911442,181,259
1486989040,766,341
1487020172,730,634
1487068349,578,484
1487075436,129,152
1487087054,0,16777142
1487099795,228,160
1487115993,181,233
1487161835,440,480
1487184097,444,210
1487200225,595,391
1487248235,239,216
1487265896,269,226
1487266582,236,135
1487271071,149,215
1487334635,186,101
1487348429,65414,0
1487349231,766,474
1487421036,186,121
1487442441,319,386
1487507440,460,347
1487507851,70,48
1487515816,88,167
1487590400,254,270
1487593839,123,143
1487676580,605,473
1487676636,287,235
1487680237,140,97
1487720697,1055,702
1487766638,159,116
1487794976,199,230
1487853054,615,499
