DateTime,Entries,UniqueIPs
1442835308,3366,662815592
1442921703,3364,662791272
1443008102,3354,661345384
1443094503,3349,661317736
1443180902,3348,661417832
1443267303,3351,661390184
1443353706,3345,661376616
1443526502,3348,661360488
1443612903,3349,661334632
1443699304,3351,661299560
1443785703,3346,661274728
1443872104,3344,661216616
1443958505,3346,661218664
1444044910,3345,661217640
1444131302,3357,661215080
1444217708,3361,661034344
1444304114,3353,661009512
1444390508,3354,661047144
1444476908,3347,660990312
1444563317,3353,660983400
1444649701,3355,660985448
1444736105,3371,660707688
1444822503,3366,660691304
1444908904,3361,660662888
1444995308,3359,660628328
1445081705,3353,660605288
1445168106,3352,660600936
1445340903,3357,660583528
1445427301,3357,660545384
1445535302,3313,652180072
1445621702,3312,652147048
1445708103,3351,660381544
1445794501,3351,660377448
1445880907,3352,660350824
1445967307,3356,660333672
1446057336,3729,661038184
1446143702,3692,660899176
1446230104,3675,660856680
1446316503,3680,660825960
1446402901,3675,660822120
1446489307,3666,660813928
1446575702,3658,660794728
1446708905,3648,660743016
1446795301,3628,660702824
1446881702,3619,658575976
1446968104,3620,658569576
1447140902,3640,658576072
1447227301,3627,658463720
1447313701,3626,657640424
1447400102,3620,657601768
1447486502,3609,657356264
1447572903,3608,657353448
1447745701,3622,657336040
1447832104,3609,657266408
1447918502,3603,657250280
1448004901,3577,657126632
1448091304,3574,657087720
1448177701,3563,657006824
1448350501,3556,656945128
1448436903,3550,656882408
1448577303,3553,656798440
1448663704,3552,656743144
1448750101,3550,656721384
1448836502,3547,656717800
1448922902,3545,656689128
1449009301,3593,656710024
1449092103,3602,656709520
1449178501,3616,656713360
1449264902,3619,656676496
1449351303,3620,656659856
1449437702,3624,656655248
1449524103,3621,656632208
1449614102,3665,656656312
1449700501,3713,656715000
1449786904,3699,656692728
1449873304,3681,656639224
1449959704,3684,656623864
1450046103,3680,656613368
1450132502,3673,656600056
1450218904,3716,656617208
1450305305,3716,656596216
1450391707,3715,656545784
1450478129,3715,656521976
1450564565,3718,656492280
1450650908,3713,656484344
1450740931,3714,656481528
1450827316,3716,656486648
1450913714,3716,654347000
1451000136,3715,654323448
1451086505,3714,654308088
1451172904,3716,654310136
1451259307,3717,654310392
1451345712,3719,654303736
1451432108,3719,654273592
1451518509,3721,654258488
1451604907,3717,654248504
1451691306,3716,654244408
1451950513,3712,654234168
1452036907,3720,654222152
1452123314,3718,653925960
1452209705,3719,653903688
1452296104,3718,653867848
1452382507,3719,651754312
1452468913,3716,651747912
1452555313,3714,651737160
1452641704,3730,651727976
1452728103,3724,651690088
1452814506,3728,651634280
1452900909,3728,651605352
1452987304,3729,651576680
1453073711,3723,651570024
1453160110,3722,651562088
1453246504,3731,651548520
1453332904,3735,650449768
1453419303,3732,650405480
1453505703,3732,649356904
1453592104,3733,649312872
1453678504,3735,649311848
1453764905,3735,649298280
1453851304,3752,649296488
1453937705,3753,649253224
1454024104,3752,649219176
1454110504,3746,649170792
1454196904,3747,649155432
1454283304,3744,649151336
1454369703,3752,649139304
1454456108,3758,649100392
1454542504,3755,649054824
1454628904,3753,649032296
1454715303,3751,648994408
1454801704,3746,648938088
1454888104,3744,648932968
1454974504,3744,648918120
1455060903,3742,648901992
1455147304,3747,648868200
1455233705,3746,648842376
1455320104,3742,648817032
1455406504,3746,648801672
1455492906,3749,648805256
1455579303,3747,648791176
1455665703,3750,648767112
1455752103,3744,648737672
1455838507,3751,648710280
1455924912,3741,648645000
1456011304,3739,648627336
1456097710,3743,648624520
1456184106,3743,648608392
1456270504,3756,648578440
1456356907,3763,648555144
1456443308,3756,648517256
1456529705,3768,648499080
1456616103,3761,648473992
1456702503,3760,648465288
1456788904,3758,648443784
1456875304,3757,648422536
1456961703,3768,648517000
1457048103,3770,648594568
1457134504,3767,648685192
1457220903,3767,648659080
1457307305,3765,648653960
1457393705,3770,648654984
1457480113,3765,648631688
1457566505,3765,648601480
1457652904,3766,648561288
1457739305,3762,648528776
1457825703,3764,648508040
1457912104,3766,648512392
1457998506,3769,648502280
1458084905,3768,648212488
1458171304,3762,648177928
1458257704,3760,648150792
1458344105,3756,648121096
1458430509,3759,648029192
1458516904,3757,648018952
1458603304,3756,648000264
1458689705,3764,647974152
1458776105,3764,647951880
1458862510,3764,647933448
1458948905,3759,647919112
1459035303,3762,647920392
1459208105,3768,647919624
1459294504,3767,647899912
1459380903,3766,647848968
1459467306,3769,647805960
1459553706,3773,647754248
1459640104,3775,647703048
1459726505,3775,647703304
1459812907,3773,647659272
1459899304,3772,647632392
1459985704,3777,647580936
1460072104,3776,647550216
1460158505,3768,647291656
1460244906,3767,647267848
1460331306,3766,647266056
1460417705,3764,647249928
1460504103,3758,647208488
1460590504,3760,647162408
1460676903,3760,647135528
1460763304,3757,647114024
1460849706,3756,647091496
1460936103,3757,647088168
1461022504,3760,647074088
1461108903,3763,647018024
1461195306,3764,646770984
1461281705,3761,646722088
1461368106,3758,646682408
1461454506,3762,646669352
1461540906,3763,646670632
1461627308,3761,646600232
1461713707,3761,646563624
1461800109,3757,646486312
1461886508,3762,645407528
1461972907,3763,645357864
1462059308,3764,645337384
1462145706,3767,645333288
1462232110,3767,645317928
1462318508,3766,645279784
1462404905,3761,645209128
1462491309,3763,645182504
1462577708,3764,645152296
1462664107,3766,645130792
1462750511,3767,645131816
1462836912,3764,645081384
1462923309,3766,645038632
1463009708,3760,644966440
1463096105,3761,644934440
1463182506,3763,644869416
1463268907,3769,644832552
1463355309,3768,644825384
1463441705,3766,644802088
1463528107,3766,644770344
1463614505,3762,644725032
1463744103,3764,644656936
1463830503,3763,644583208
1463916905,3760,644569640
1464089703,3765,644539688
1464176103,3758,644506920
1464262503,3756,644469544
1464348904,3758,644423976
1464435305,3759,644390696
1464521703,3760,644391720
1464608106,3761,644361000
1464694507,3775,644292392
1464780905,3779,644250408
1464867306,3774,644178728
1464953704,3778,644141352
1465040105,3780,644027688
1465126504,3776,644022568
1465212906,3776,643991848
1465299314,3788,643816744
1465385706,3787,643751720
1465472107,3774,643662632
1465558507,3701,643617320
1465995028,3697,643533864
1466081404,3706,643471912
1466167805,3705,643444776
1466254205,3699,643398184
1466340604,3698,643396392
1466513403,3701,643372584
1466599804,3695,643322664
1466686203,3766,643385896
1466772604,3753,643326760
1466859004,3756,643290920
1466945404,3760,643302184
1467118203,3758,643282216
1467204603,3757,643270696
1467219003,3728,643218472
1467737403,3731,643124264
1467823803,3744,643113512
1467910204,3746,643100456
1467996604,3742,643073320
1468083004,3746,643043880
1468169404,3740,643031336
1468255803,3726,642997032
1468342203,3726,642986536
1468428615,3734,642968872
1468515004,3734,642945320
1468601403,3736,642903592
1468687804,3731,642886952
1468774204,3736,642883368
1468860604,3734,642857512
1468947003,3740,642841128
1469033404,3738,642831144
1469119806,3736,642810408
1469206204,3742,642779944
1469292604,3741,642759464
1469379004,3741,642752808
1469465404,3738,642745384
1469551803,3745,642725416
1469638204,3751,642698024
1469724604,3752,642665000
1469811004,3736,642613288
1469897404,3740,642594856
1469983803,3737,642590760
1470070204,3736,642582056
1470156604,3736,642557992
1470243003,3735,642492200
1470329406,3737,642397736
1470415803,3733,642375976
1470502204,3733,642354216
1470588603,3736,642346280
1470675004,3734,642333480
1470761406,3736,642309672
1470847804,3737,642279720
1470934204,3735,642258216
1471020604,3738,642231848
1471107003,3732,642207528
1471193404,3731,642206248
1471279804,3729,642195752
1471366204,3733,642147112
1471452607,3714,642111784
1471539003,3716,642068264
1471625403,3715,642040872
1471711804,3718,642015016
1471798203,3719,642009128
1471884603,3720,642006056
1471971003,3726,641970472
1472057403,3729,641943336
1472143803,3723,641837352
1472230203,3723,641806632
1472316603,3721,641756968
1472403004,3717,641751848
1472489404,3720,641739048
1472575805,3722,641721640
1472662207,3724,641212712
1472748604,3729,641186088
1472835004,3737,641172008
1472921404,3737,641105960
1473007804,3735,641104168
1473094203,3727,641073192
1473180604,3730,641066792
1473267003,3735,641038888
1473353403,3734,641048872
1473439804,3747,641010472
1473526204,3745,640987176
1473612605,3743,640982824
1473699004,3743,640976680
1473785404,3738,640949032
1473871803,3736,640909352
1473958203,3738,640872488
1474044604,3733,640844072
1474131003,3740,640821288
1474217405,3734,640811048
1474303804,3735,640798760
1474390204,3740,640753960
1474476604,3738,640658984
1474563004,3735,640638248
1474649404,3732,640616744
1474735804,3732,638493736
1474822204,3731,638491688
1474908603,3735,638481960
1474995004,3737,638460200
1475081403,3739,637904424
1475167804,3737,637818920
1475254204,3735,637798952
1475340603,3732,637752872
1475427005,3734,637755944
1475513404,3737,637751592
1475599804,3733,637726760
1475686204,3737,637704488
1475772605,3742,637671720
1475859003,3736,637635368
1475945405,3743,637601320
1476031803,3741,637597224
1476118204,3739,637591080
1476204603,3742,637569832
1476291004,3761,637564712
1476377404,3758,637539880
1476463804,3757,637515048
1476550203,3753,637484840
1476636604,3754,637482024
1476723004,3755,637475112
1476809404,3752,637450024
1476895804,3758,637417768
1476982204,3758,637391656
1477068604,3757,637355048
1477155005,3755,637338664
1477241405,3751,637329192
1477327805,3753,637325608
1477414204,3754,637300776
1477500605,3757,637262888
1477587008,3757,637217576
1477673405,3758,637187880
1477759804,3761,637152040
1477846204,3758,637146920
1477932605,3760,637141288
1478019005,3758,636838696
1478105404,3757,636815912
1478191804,3764,636803112
1478278207,3770,636775208
1478364604,3761,636742440
1478451004,3759,636737320
1478537404,3758,636728872
1478623804,3761,636702504
1478710205,3757,636672552
1478796604,3761,636649000
1478883005,3768,636620328
