DateTime,AddedIPs,RemovedIPs
1486885228,15,11
1486887149,18,12
1486889059,37,41
1486890998,25,46
1486892913,24,61
1486894833,45,77
1486896744,19,35
1486898669,28,13
1486900605,38,33
1486902507,11,1510
1486904498,28,10
1486906354,582,0
1486908271,28,37
1486910184,51,46
1486912125,18,29
1486914036,36,31
1486915953,37,12
1486917857,50,27
1486919792,43,28
1486921716,18,6
1486923662,36,18
1486925543,5,20
1486927450,11,49
1486929381,6,38
1486931291,16,22
1486933300,12,13
1486935160,16,31
1486937072,23,43
1486938991,27,44
1486940936,12,11
1486942833,8,12
1486945002,15,20
1486946913,26,9
1486948837,532,0
1486950755,7,29
1486952906,22,11
1486954890,7,41
1486956740,32,44
1486960584,31,38
1486964438,29,37
1486966356,6,9
1486968259,13,28
1486970438,7,34
1486972354,7,47
1486974257,17,23
1486976174,8,7
1486978114,12,18
1486980108,10,55
1486981948,9,35
1486983868,12,8
1486985793,20,8
1486987962,29,1156
1486989860,14,23
1486991798,603,0
1486993712,20,20
1486995892,23,17
1486997795,14,12
1486999959,13,8
1487002120,28,44
1487004035,18,28
1487005970,14,7
1487007857,14,45
1487009805,12,68
1487011709,14,39
1487013674,10,16
1487015554,12,18
1487017495,10,14
1487019383,18,38
1487021311,8,25
1487023306,9,27
1487025163,8,33
1487027074,8,18
1487028991,43,42
1487030927,15,44
1487033067,13,19
1487035243,577,0
1487037146,14,15
1487039051,7,18
1487040970,7,6
1487042890,6,12
1487044893,9,16
1487046736,6,35
1487048655,19,19
1487050592,11,52
1487052528,7,46
1487054429,14,46
1487056628,15,26
1487058508,7,15
1487060689,12,18
1487062593,9,32
1487064506,9,25
1487066502,10,55
1487070282,10,29
1487072200,19,28
1487074106,14,42
1487076022,21,876
1487077947,324,0
1487079882,18,7
1487082062,20,24
1487083957,14,9
1487085865,11,12
1487087814,19,11
1487089707,11,18
1487091703,11,10
1487093559,13,19
1487095474,18,20
1487097387,18,13
1487099313,32,7
1487101235,14,9
1487103413,21,17
1487105306,11,13
1487107229,11,9
1487109133,8,9
1487111056,14,6
1487112991,24,16
1487114918,32,17
1487116904,9,8
1487119008,11,21
1487120920,50,14
1487122843,350,0
1487124747,22,18
1487126661,9,9
1487128596,14,12
1487130521,8,9
1487132426,12,16
1487134375,11,9
1487136275,7,18
1487138199,9,10
1487140116,6,6
1487142127,14,13
1487143984,19,15
1487146130,20,14
1487148037,15,7
1487149963,12,16
1487151849,10,9
1487154044,9,6
1487155958,22,15
1487157864,16,19
1487159803,11,7
1487161719,14,601
1487163882,20,15
1487165794,252,0
1487167717,43,19
1487169621,17,8
1487171549,23,6
1487173452,21,11
1487175647,27,9
1487177574,14,6
1487179471,25,15
1487181400,24,11
1487183310,25,8
1487185336,20,12
1487187667,34,24
1487189575,15,9
1487191466,14,8
1487193387,20,7
1487195317,22,9
1487197473,16,11
1487199405,9,7
1487203497,30,26
1487205399,13,14
1487207306,8,12
1487209234,239,0
1487211152,16,10
1487213079,12,10
1487214988,6,4
1487216905,10,8
1487218839,11,10
1487220761,11,8
1487222657,9,11
1487224588,11,9
1487226514,12,9
1487228558,11,17
1487230865,7,6
1487232751,15,18
1487234657,18,11
1487236840,16,8
1487238758,14,8
1487240649,32,8
1487242571,34,8
1487244505,43,9
1487246517,24,16
1487248360,15,791
1487250267,14,15
1487252193,325,0
1487254103,14,19
1487256020,24,15
1487257941,18,14
1487259849,17,11
1487261784,27,12
1487263706,17,10
1487265874,10,8
1487267787,14,11
1487269723,18,6
1487271732,14,11
1487273558,18,14
1487275478,44,24
1487279311,15,21
1487281250,43,17
1487283161,9,11
1487285069,16,21
1487286990,16,11
1487288919,11,12
1487290836,15,14
1487292759,14,11
1487294667,319,0
1487296599,6,44
1487298520,8,23
1487300503,6,10
1487302346,9,12
1487304529,27,21
1487308355,24,17
1487310262,18,9
1487312187,5,5
1487314106,11,14
1487316020,6,10
1487317960,10,11
1487319852,76,17
1487321806,8,14
1487323713,13,13
1487325704,16,10
1487327562,11,14
1487329469,5,13
1487331396,20,25
1487335224,29,859
1487337148,379,0
1487339093,25,14
1487341002,21,16
1487342948,28,8
1487344844,12,7
1487346761,11,12
1487348656,24,15
1487350613,15,9
1487352517,15,10
1487354706,22,20
1487358535,28,19
1487360470,10,4
1487362361,18,19
1487364271,15,13
1487366180,15,15
1487368099,12,14
1487370027,8,29
1487371944,19,35
1487373854,15,52
1487375799,11,19
1487377716,8,13
1487379708,12,12
1487381562,358,0
1487385390,9,16
1487387304,16,15
1487389222,10,12
1487391159,10,12
1487393067,7,8
1487394982,13,10
1487396904,12,10
1487398833,9,9
1487400769,20,12
1487402653,15,7
1487404608,15,5
1487406508,7,7
1487408510,7,15
1487410346,14,25
1487412277,8,36
1487414180,10,37
1487416112,15,49
1487419957,30,758
1487421870,17,11
1487423781,287,0
1487425700,26,8
1487427636,22,11
1487429540,12,7
1487431456,23,8
1487433408,22,15
1487435302,14,19
1487437322,14,9
1487439146,13,9
1487441074,33,25
1487444923,55,17
1487446830,11,11
1487448764,21,28
1487450666,10,10
1487452578,17,12
1487454503,8,9
1487456424,24,15
1487458345,12,5
1487460254,18,14
1487462181,12,13
1487464118,13,14
1487466108,16,16
1487467950,266,0
1487469877,7,3
1487471787,19,15
1487473719,19,8
1487475632,7,13
1487477553,18,15
1487479454,6,9
1487481383,6,8
1487483311,14,21
1487485237,13,9
1487487150,13,10
1487489070,17,3
1487490992,13,9
1487492911,15,20
1487494910,20,24
1487498927,31,24
1487500834,12,5
1487502759,16,14
1487505163,11,12
1487507052,14,642
1487508994,13,15
1487510897,282,0
1487512906,18,9
1487514755,51,14
1487516675,9,5
1487518588,23,7
1487520606,31,17
1487522438,18,10
