DateTime,Entries,UniqueIPs
1484204199,2000,2000
1484206114,2016,2016
1484208089,2003,2003
1484209951,2005,2005
1484211867,2003,2003
1484213795,2006,2006
1484215729,2003,2003
1484217639,2008,2008
1484219551,2010,2010
1484221466,2004,2004
1484223398,885,885
1484225318,887,887
1484227240,1420,1420
1484229166,1424,1424
1484231071,1423,1423
1484233008,1412,1412
1484234919,1428,1428
1484236881,1428,1428
1484238751,1414,1414
1484242844,1395,1395
1484244790,1388,1388
1484246663,1400,1400
1484248581,1397,1397
1484250510,1393,1393
1484252425,1368,1368
1484254350,1367,1367
1484256270,1362,1362
1484258188,1364,1364
1484260116,1375,1375
1484262107,1346,1346
1484263946,1345,1345
1484265886,1337,1337
1484267795,1324,1324
1484271634,1828,1828
1484273548,1829,1829
1484275463,1823,1823
1484277394,1823,1823
1484279320,1820,1820
1484281229,1816,1816
1484283179,1810,1810
1484285069,1804,1804
1484286992,1790,1790
1484288910,1790,1790
1484290900,1795,1795
1484292755,1800,1800
1484294674,1789,1789
1484296596,1753,1753
1484298523,1739,1739
1484300418,1740,1740
1484302346,1745,1745
1484304272,1722,1722
1484306197,1708,1708
1484308122,1703,1703
1484310058,838,838
1484311949,834,834
1484313867,1204,1204
1484315780,1208,1208
1484317969,1209,1209
1484319901,1227,1227
1484321799,1233,1233
1484325635,1248,1248
1484327550,1257,1257
1484329475,1256,1256
1484331401,1266,1266
1484333322,1266,1266
1484335214,1260,1260
1484337168,1261,1261
1484339066,1259,1259
1484340989,1260,1260
1484342908,1263,1263
1484344922,1255,1255
1484346759,1247,1247
1484350599,1260,1260
1484352521,1265,1265
1484354428,1251,1251
1484356369,1626,1626
1484358266,1624,1624
1484360191,1625,1625
1484362104,1621,1621
1484364018,1620,1620
1484365937,1619,1619
1484367874,1621,1621
1484369785,1618,1618
1484371714,1614,1614
1484373697,1610,1610
1484375568,1614,1614
1484377731,1603,1603
1484379647,1598,1598
1484381812,1593,1593
1484383716,1592,1592
1484385630,1590,1590
1484387556,1588,1588
1484389466,1588,1588
1484391389,1597,1597
1484393297,1593,1593
1484395299,807,807
1484399966,1191,1191
1484402219,1200,1200
1484404588,1209,1209
1484406855,1208,1208
1484408914,1204,1204
1484410838,1204,1204
1484412776,1196,1196
1484414675,1208,1208
1484416582,1216,1216
1484418508,1224,1224
1484420493,1219,1219
1484422357,1212,1212
1484424266,1209,1209
1484426186,1220,1220
1484428100,1239,1239
1484430014,1233,1233
