DateTime,Entries,UniqueIPs
1479954041,22605,22605
1479968652,22607,22607
1479983298,22609,22609
1479997955,22611,22611
1480012591,22615,22615
1480027213,22618,22618
1480041851,22620,22620
1480056513,22622,22622
1480071151,22623,22623
1480085785,22624,22624
1480115065,22625,22625
1480129711,22626,22626
1480144601,22629,22629
1480159222,22631,22631
1480173864,22633,22633
1480188501,22634,22634
1480203143,22636,22636
1480217793,22640,22640
1480232419,22644,22644
1480247056,22647,22647
1480261707,22649,22649
1480276363,22652,22652
1480305691,22653,22653
1480320296,22652,22652
1480334914,22654,22654
1480349793,22656,22656
1480364445,22658,22658
1480379048,22659,22659
1480393698,22661,22661
1480408378,22663,22663
1480423029,22664,22664
1480437619,22667,22667
1480452256,22670,22670
1480466899,22671,22671
1480481563,22673,22673
1480510898,22677,22677
1480525714,22680,22680
1480554984,22683,22683
1480569609,22686,22686
1480584266,22688,22688
1480598920,22688,22688
1480628178,22690,22690
1480642816,22693,22693
1480657461,22692,22692
1480672113,22696,22696
1480686743,22698,22698
1480701379,22699,22699
1480716086,22702,22702
1480730653,22704,22704
1480745321,22705,22705
1480759940,22708,22708
1480774583,22710,22710
1480789237,22711,22711
1480803854,22714,22714
1480818541,22716,22716
1480833400,22719,22719
1480848009,22723,22723
1480877306,22724,22724
1480891952,22727,22727
1480906571,22728,22728
1480921289,22729,22729
1480936113,22730,22730
1480950757,22733,22733
1480965637,22733,22733
1480980546,22732,22732
1480995417,22734,22734
1481040859,22735,22735
1481056646,22735,22735
1481086451,22736,22736
1481117081,22741,22741
1481131836,22743,22743
1481161000,22745,22745
1481175800,22747,22747
1481190500,22749,22749
1481205139,22750,22750
1481219772,22752,22752
1481234685,22753,22753
1481249322,22752,22752
1481278586,22752,22752
1481307863,22753,22753
1481322506,22754,22754
1481351780,22756,22756
1481381074,22759,22759
1481395708,22762,22762
1481410345,22763,22763
1481424986,22765,22765
1481439700,22766,22766
1481454261,22766,22766
1481468903,22767,22767
1481483539,22769,22769
1481527450,22770,22770
1481542093,22772,22772
1481556746,22771,22771
1481571401,22776,22776
1481586009,22777,22777
1481600649,22779,22779
1481615312,22780,22780
1481629956,22781,22781
1481644575,22782,22782
1481659283,22785,22785
1481688505,22788,22788
1481703150,22788,22788
1481717772,22790,22790
1481732434,22789,22789
1481761711,22794,22794
1481776340,22795,22795
1481805610,22799,22799
1481820250,22801,22801
1481834899,22803,22803
1481849535,22805,22805
1481864181,22808,22808
1481908096,22811,22811
1481922748,22812,22812
1481937398,22816,22816
1481952035,22817,22817
1481966649,22820,22820
1481981303,22824,22824
1481995940,22825,22825
1482010577,22826,22826
1482025235,22827,22827
1482039860,22828,22828
1482054499,22829,22829
1482083777,22831,22831
1482113307,22833,22833
1482127962,22837,22837
1482142840,22839,22839
1482172115,22840,22840
1482201389,22841,22841
1482230652,22843,22843
1482245301,22845,22845
1482259954,22846,22846
1482274589,22848,22848
1482289274,22849,22849
1482304127,22854,22854
1482318760,22856,22856
1482348027,22855,22855
1482362912,22857,22857
1482377551,22859,22859
1482392430,22862,22862
1482407046,22863,22863
1482421702,22863,22863
1482436341,22864,22864
1482465708,22867,22867
1482480250,22869,22869
1482494916,22876,22876
1482509811,22878,22878
1482524673,22879,22879
1482553946,22882,22882
1482568572,22883,22883
1482583230,22885,22885
1482597863,22888,22888
1482612502,22897,22897
1482627175,22899,22899
1482642108,22902,22902
1482656677,22904,22904
1482671292,22906,22906
1482686196,22910,22910
1482700835,22922,22922
1482715464,22931,22931
1482730100,22935,22935
1482744733,22938,22938
1482759394,22942,22942
1482774025,22947,22947
1482788659,22953,22953
1482803298,22958,22958
1482817955,22963,22963
1482832572,22970,22970
1482847296,22975,22975
1482861900,22982,22982
1482876503,22991,22991
1482891398,22995,22995
1482906047,22997,22997
1482920656,22998,22998
1482935295,23002,23002
1482949951,23010,23010
1482964588,23018,23018
1482979231,23026,23026
1482993864,23035,23035
1483008759,23043,23043
1483023378,23051,23051
1483038284,23062,23062
1483052893,23069,23069
1483067546,23073,23073
1483082431,23079,23079
1483097079,23085,23085
1483111693,23085,23085
1483126352,23089,23089
1483140990,23096,23096
1483155615,23103,23103
1483170261,23107,23107
1483184900,23112,23112
1483199551,23115,23115
1483214192,23120,23120
1483228862,23123,23123
1483243465,23126,23126
1483258094,23127,23127
1483272999,23130,23130
1483287621,23132,23132
1483302247,23138,23138
1483316911,23139,23139
1483331541,23147,23147
1483346182,23154,23154
1483360830,23159,23159
1483375478,23162,23162
1483390102,23164,23164
1483404788,23172,23172
1483419420,23181,23181
1483434099,23192,23192
1483448649,23201,23201
1483463322,23206,23206
1483477954,23212,23212
1483492579,23215,23215
1483507219,23216,23216
1483521860,23217,23217
1483536489,23220,23220
1483551154,23227,23227
1483565786,23234,23234
1483580417,23238,23238
1483595061,23245,23245
1483609697,23251,23251
1483624336,23256,23256
1483639005,23259,23259
1483653668,23262,23262
1483668265,23266,23266
1483682891,23272,23272
1483697543,23279,23279
1483712428,23285,23285
1483727063,23295,23295
1483741706,23298,23298
1483756333,23307,23307
1483770995,23319,23319
1483785614,23328,23328
1483800250,23335,23335
1483815163,23342,23342
1483829814,23355,23355
1483844674,23360,23360
1483859298,23365,23365
1483873962,23379,23379
1483888583,23386,23386
1483903485,23393,23393
1483918366,23401,23401
1483932981,23406,23406
1483947625,23416,23416
