DateTime,AddedIPs,RemovedIPs
1442310038,0,89160758
1442397037,89160758,0
1443952079,0,65536
1448356747,0,8113
1453541947,0,2097152
1468710393,0,131072
1476039936,0,8448
1476132366,8448,4162
1476218884,4162,809
1476305403,809,4977
1476391898,4977,2724
1476478358,2724,633
1476564832,633,1221
1476651279,1221,65637
1476696235,65637,150
1476782579,150,1305
1476869574,1305,8793
1476956015,8793,689
1477040938,689,67762
1477127376,67762,2952
1477215415,2952,65926
1477300614,65926,289
1477387056,289,156
1477474555,156,7638
1477560836,7638,744
1477646758,744,557
1477733201,557,648
1477818450,648,1873
1477904918,1873,10305
1477992236,10305,835
1478078095,835,400
1478164538,400,485
1478317028,485,66786
1478402653,66786,2394
1478487550,2394,66777
1478574057,66777,2337
1478660835,2337,864
1478746450,864,650
1478832945,650,368
1478920752,368,185
1479006210,185,6896
1479072343,6896,1720
1479109570,1720,69
1479196814,69,928
1479283338,928,68154
1479368831,68154,3457
1479456171,3457,418
1479542544,418,90
1479629017,90,1532
1479716114,1532,777
1479801549,777,361
1479887529,361,1378
1479974016,1378,549
1480060032,549,593
1480172268,593,2085
1480262156,2085,4329
1480324739,4329,2761
1480412155,2761,1361
1480497063,1361,882
1480583216,882,443
1480670276,443,513
1480756725,513,452
1480842779,452,8354
1480929478,8354,381
1481017681,381,75164
1481102456,75164,1529
1481188617,1529,6752
1481275055,6752,178
1481396056,178,1071
1481449377,1071,1540
1481534454,1540,1563
1481620904,1563,122
1481706470,122,1001
1481793590,1001,66092
1481880589,66092,132178
1481967769,132178,720
1482053575,720,340
1482138414,340,1210
1482225234,1210,65771
1482311513,65771,67
1482397973,67,1168
1482485812,1168,801
1482572255,801,345
1482658716,345,385
1482745175,385,1648
1482831636,1648,4186
1482918107,4186,66656
1483004563,66656,626
1483091016,626,1392
1483177486,1392,627
1483263936,627,2250
1483350401,2250,3995
1483468237,3995,65594
1483554695,65594,703
1483641156,703,856
1483727618,856,66437
1483814075,66437,448
1483904349,448,410
1483990842,410,12889
1484077307,12889,809
1484163758,809,679
1484250216,679,337
1484336683,337,8281
1484423065,8281,439
1484526805,439,160
1484613278,160,66595
1484699735,66595,16726
1484786197,16726,648
1484872656,648,66972
1484959122,66972,1020
1485045576,1020,65880
1485132045,65880,436
1485218502,436,381
1485304955,381,808
1485391415,808,4269
1485477883,4269,1097
1485564336,1097,898
1485605004,898,665
1485691477,665,5722
1485777936,5722,2295
1485864395,2295,475
1485950859,475,66032
1486037318,66032,954
1486123776,954,422
1486205567,422,270
1486273522,270,396
1486360220,396,212
1486446923,212,201
1486534579,201,385
1486619298,385,11064
1486705786,11064,1114
1486797235,1114,819
1486883815,819,850
1486970637,850,65657
1487057873,65657,435
1487142532,435,2129
1487228975,2129,384
1487315439,384,6363
1487401901,6363,8577
1487488358,8577,5459
1487574817,5459,524
1487661285,524,1209
1487747780,1209,74
1487900680,74,2282
1487987137,2282,677
