DateTime,AddedIPs,RemovedIPs
1454040735,0,10
1454055379,3,29
1454070024,33,0
1454084658,21,16
1454099321,0,10
1454113941,8,14
1454143222,32,32
1454173221,28,38
1454187864,9,9
1454202501,3,0
1454217653,5,3
1454232263,31,29
1454261552,25,7
1454276187,18,1
1454305457,7,3
1454320092,32,23
1454334743,23,0
1454349388,21,8
1454364045,8,6
1454378658,0,5
1454407940,32,27
1454422830,28,0
1454437459,26,14
1454466750,5,0
1454496020,28,26
1454510645,26,0
1454525314,11,4
1454539941,5,1
1454554572,8,0
1454569214,1,18
1454583913,30,0
1454598493,23,30
1454613156,7,15
1454627790,1,5
1454657059,0,2
1454671690,26,26
1454686347,0,22
1454700975,30,0
1454715610,0,11
1454730270,2,21
1454744895,1,0
1454774175,24,31
1454788840,13,27
1454803463,27,3
1454818094,0,6
1454847380,31,48
1454876650,23,20
1454891288,3,10
1454905944,7,0
1454935248,24,47
1454949849,12,27
1454964509,7,16
1454979148,15,0
1454993789,0,1
1455037712,25,78
1455066975,3,8
1455096284,28,27
1455110907,15,25
1455125579,16,11
1455154810,9,15
1455169463,2,1
1455184095,30,24
1455198738,29,26
1455228033,4,10
1455257302,5,2
1455271951,24,29
1455286579,28,0
1455315851,15,20
1455330548,1,4
1455345135,0,3
1455359771,32,25
1455374411,21,0
1455389056,4,12
1455418332,8,28
1455432976,1,31
1455447632,1,0
1455462277,31,28
1455476895,17,0
1455506425,12,7
1455535693,22,27
1455550358,27,15
1455564970,10,7
1455579626,6,14
1455608917,4,24
1455623542,33,0
1455638172,21,0
1455652819,16,8
1455682328,18,24
1455697247,2,0
1455726489,31,32
1455741154,20,8
1455755784,8,0
1455770437,3,2
1455785050,2,22
1455799694,23,30
1455814338,11,8
1455843707,11,7
1455872913,13,24
1455902196,25,42
1455932230,10,1
1455961457,10,29
1455976103,35,28
1455990752,0,6
1456005397,0,3
1456034668,0,1
1456063954,27,26
1456078597,13,18
1456093218,12,11
1456122488,6,13
1456137186,27,0
1456166419,30,39
1456195770,2,11
1456224978,30,32
1456239625,21,30
1456268929,11,29
1456283545,7,0
1456312819,31,30
1456342145,20,20
1456371393,7,12
1456386011,2,1
1456400680,28,24
1456415292,9,22
1456429933,17,11
1456444587,8,0
1456473854,0,12
1456503376,29,29
1456518039,4,14
1456532669,12,0
1456547318,1,7
1456576574,29,27
1456591208,19,0
1456605853,3,0
1456635138,17,0
1456649774,33,31
1456679059,27,17
1456693709,7,13
1456708335,3,6
1456737922,32,25
1456752503,0,29
1456782049,25,4
1456796669,4,0
1456811288,2,30
1456825947,32,0
1456840583,23,22
1456855216,19,12
1456869866,8,0
1456899605,8,30
1456928907,24,31
1456943669,13,0
1456973068,11,5
1456987695,6,1
1457002332,31,22
1457031623,16,23
1457060906,1,10
1457090457,34,26
1457105073,19,0
1457119689,18,5
1457148973,11,19
1457178246,32,18
1457192914,25,18
1457207551,9,5
1457222195,15,27
1457236812,1,0
1457266095,27,44
1457280752,26,0
1457310027,14,10
1457339298,11,28
1457368597,24,23
1457398373,13,3
1457412967,1,2
1457442263,26,56
1457456946,19,20
1457486197,16,16
1457515458,6,27
1457530102,28,0
1457544746,7,9
1457559399,15,12
1457588657,22,6
1457603452,2,32
1457618180,25,33
1457647479,31,2
1457662122,1,0
1457691405,32,31
1457706023,30,19
