DateTime,Entries,UniqueIPs
1480764722,1529,1529
1480779122,1497,1497
1480793522,1439,1439
1480807922,1422,1422
1480822322,1443,1443
1480836721,1457,1457
1480851122,1458,1458
1480865521,1455,1455
1480879922,1454,1454
1480894322,1460,1460
1480908721,1450,1450
1480923122,1442,1442
1480937522,1536,1536
1480951929,1620,1620
1480966323,1701,1701
1480980723,1781,1781
1480995722,1857,1857
1481010422,1938,1938
1481025722,2038,2038
1481040123,2081,2081
1481055722,2123,2123
1481070422,2148,2148
1481085421,2170,2170
1481100722,2190,2190
1481116022,2196,2196
1481130531,2255,2255
1481145122,2309,2309
1481159821,2310,2310
1481174222,2318,2318
1481188633,2379,2379
1481203021,2398,2398
1481217422,2425,2425
1481231822,2430,2430
1481246222,2451,2451
1481260622,2475,2475
1481275022,2498,2498
1481289422,2450,2450
1481303821,2431,2431
1481318222,2418,2418
1481332622,2404,2404
1481347022,2425,2425
1481361422,2420,2420
1481375822,2404,2404
1481390222,2392,2392
1481404922,2381,2381
1481419322,2414,2414
1481434022,2400,2400
1481448722,2406,2406
1481463122,2410,2410
1481477522,2425,2425
1481491922,2507,2507
1481506324,2541,2541
1481520722,2560,2560
1481535121,2517,2517
1481549522,2459,2459
1481563922,2414,2414
1481578322,2356,2356
1481592724,2281,2281
1481607121,2228,2228
1481621522,2206,2206
1481635922,2132,2132
1481650321,2089,2089
1481664722,2067,2067
1481679124,2080,2080
1481693823,2070,2070
1481708222,2048,2048
1481722622,2099,2099
1481737022,2062,2062
1481751421,2032,2032
1481765822,2033,2033
1481780221,2045,2045
1481794623,1993,1993
1481809023,1969,1969
1481823422,1972,1972
1481837822,1963,1963
1481852221,1942,1942
1481866622,1958,1958
1481881022,1931,1931
1481895421,1932,1932
1481909821,1946,1946
1481924222,1942,1942
1481938622,1951,1951
1481953022,1935,1935
1481967422,1949,1949
1481981822,1954,1954
1481996221,1958,1958
1482010622,1927,1927
1482025022,1888,1888
1482039421,1897,1897
1482053822,1882,1882
1482068222,1865,1865
1482082622,1899,1899
1482097022,1844,1844
1482111422,1824,1824
1482125821,1825,1825
1482140222,1890,1890
1482154622,1908,1908
1482169022,1865,1865
1482183422,1858,1858
1482197822,1852,1852
1482212221,1893,1893
1482226622,1818,1818
1482241021,1820,1820
1482255421,1840,1840
1482269822,1867,1867
1482284221,1831,1831
1482298625,1835,1835
1482313022,1882,1882
1482327422,1837,1837
1482341822,1842,1842
1482356222,1844,1844
1482370622,1836,1836
1482385022,1819,1819
1482399422,1816,1816
1482413822,1820,1820
1482428221,1806,1806
1482442622,1803,1803
1482457021,1815,1815
1482471422,1800,1800
1482485821,1784,1784
1482500222,1798,1798
1482514622,1794,1794
1482529322,1770,1770
1482543722,1757,1757
1482558422,1727,1727
1482573121,1713,1713
1482587521,1707,1707
1482602221,1708,1708
1482616621,1713,1713
1482631021,1710,1710
1482645422,1706,1706
1482659822,1718,1718
